,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,BOA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
David Bell,3.35,4.65,1.56,30,2.39,18.7,13.8,1,Y,6007,8086,28.0,9.250,31.875,4.03,12.7,,,,Ty Chandler,5.26,110.9,4.38,1.46,204,28.4,113.2,78.2,"1,308",19,6.39,5.7,5.2,0,0
Danny Gray,3.41,4.33,1.51,18,1.72,22.4,24.6,4,N,5117,8076,25.2,9.625,31.875,6.81,15.3,0,0,,Kevin Harris,6.04,97.0,4.62,1.66,221,31.7,128.5,63.3,"1,297",21,7.14,7.2,5.5,0,0
Erik Ezukanma,4.20,4.55,1.57,17,1.88,20.6,35.4,3,Y,6017,8113,26.8,9.375,33.500,7.03,15.7,0,0,,Tyler Badie,6.18,100.5,4.45,1.50,197,30.0,117.5,76.9,"1,942",54,6.42,10.2,5.4,0,0
Romeo Doubs,4.27,4.58,N/A,24,2.79,19.4,29.8,2,N,6017,8101,25.8,10.000,32.250,N/A,14.8,,,,Keaontay Ingram,6.23,105.0,4.53,1.53,221,30.0,119.7,58.1,"1,095",29,8.69,4.3,5.5,0,0
Calvin Austin,4.33,4.32,1.44,18,2.58,21.5,18.1,4,N,5076,8016,26.9,9.125,30.000,9.08,16.3,,,,Trestan Ebner,6.25,107.0,4.43,1.53,206,28.7,108.5,51.6,"1,083",29,4.83,-1.2,4.9,0,0
Khalil Shakir,5.05,4.43,1.49,27,3.24,19.6,11.2,2,N,5117,8047,26.6,9.500,29.000,8.32,13.8,,,,Brittain Brown,7.29,86.0,4.69,1.69,208,28.2,119.8,33.5,862,18,4.81,11.6,5.6,0,0
Montrell Washington,5.19,4.48,1.60,N/A,N/A,N/A,50.9,4,N,5087,8015,26.1,9.250,28.750,4.33,14.2,0,0,,Isiah Pacheco,7.30,118.5,4.37,1.56,216,31.0,115.1,54.4,812,19,8.86,1.8,4.3,,
Kyle Philips,5.20,4.58,1.49,19,2.21,20.2,-8.6,2,N,5112,8047,26.4,8.625,29.625,8.32,11.2,0,0,,D'Vonte Price,UDFA,114.1,4.38,1.52,210,27.7,117.3,88.3,765,15,7.81,17.6,6.0,0,0
Jalen Nailor,6.12,4.46,1.52,16,2.13,21.5,29.0,3,N,5110,8052,25.9,9.125,30.250,8.08,16.9,,,,Master Teague,UDFA,113.7,4.44,1.54,221,30.7,122.7,42.8,849,5,9.84,-7.9,5.5,0,0
Michael Woods ll,6.24,4.55,1.51,16,2.18,19.5,17.0,2,N,6014,8104,26.8,9.625,33.000,7.64,14.4,0,0,,Tyler Goodson,UDFA,103.2,4.42,1.51,197,29.1,123.6,61.4,"1,398",31,9.55,3.0,4.8,0,0
Bo Melton,7.08,4.39,1.53,22,2.02,20.3,28.1,3,N,5110,8062,26.4,9.000,31.250,9.25,12.3,,,,Bryant Koback,UDFA,102.8,4.49,1.55,209,29.8,130.9,79.4,"1,734",30,9.71,0.9,5.9,0,0
Dareke Young,7.12,4.47,1.57,N/A,N/A,N/A,N/A,N/A,N/A,6020,8105,28.8,10.125,32.625,9.93,N/A,0,0,,Zander Horvath,UDFA,101.0,4.61,1.57,228,29.3,121.9,N/A,744,30,9.83,12.0,4.4,0,0
Samori Toure,7.37,4.53,1.64,30,2.75,21.5,N/A,2,N,6007,8091,25.8,9.375,32.250,6.15,16.8,0,0,,Max Bogrhi,UDFA,99.2,4.52,1.53,207,30.6,57.0,83.2,"1,414",86,7.56,14.3,5.8,0,0
Kevin Austin,UDFA,4.43,1.48,9,1.96,21.4,44.6,4,N,6023,8112,25.5,9.000,32.875,9.94,18.4,0,0,,Abram Smith,UDFA,98.9,4.54,1.53,210,29.3,119.2,38.2,"1,676",13,6.62,7.0,6.1,0,0
Braylon Sanders,UDFA,4.48,1.48,8,1.29,N/A,54.2,N/A,N,6001,8075,26.3,10.000,31.500,7.62,21.1,0,0,,Jaylen Warren,UDFA,96.6,4.55,1.56,207,31.5,113.1,63.9,"1,441",25,4.82,2.8,5.0,,
Isaiah Weston,UDFA,4.42,1.49,N/A,2.74,21.9,71.0,2,N,6034,9000,26.6,9.500,32.500,9.62,23.0,0,0,,Julius Chestnut,UDFA,95.0,4.66,N/A,224,31.2,114.3,N/A,"1,674",N/A,N/A,14.5,5.8,0,0
Devon Williams,UDFA,4.65,1.58,10,1.50,N/A,31.2,N/A,Y,6050,9031,24.9,9.875,34.125,5.60,17.1,0,0,,Zonovan Knight,UDFA,95.0,4.58,1.61,209,29.1,109.7,37.4,924,21,5.86,17.0,5.5,0,0
Reggie Roberson Jr,UDFA,4.53,1.54,15,1.71,20.9,35.1,2,N,5110,8075,26.8,9.500,32.625,4.39,17.1,0,0,,B.J. Baylor,UDFA,94.3,4.55,1.63,202,29.0,122.4,53.2,"1,412",8,6.08,0.4,5.6,0,0
Makai Polk,UDFA,4.59,1.53,19,1.49,19.1,8.0,2,Y,6031,8113,24.4,9.500,32.250,4.90,10.8,0,0,,Kennedy Brooks,UDFA,94.2,4.59,1.52,209,29.1,112.7,39.2,"1,326",10,6.00,6.1,7.0,0,0
Tre Turner,UDFA,4.51,1.49,22,2.14,20.4,24.4,3,N,6012,8080,23.6,8.625,30.750,3.55,17.1,0,0,,Raheem Blackshear,UDFA,92.1,4.53,1.52,194,28.5,113.0,59.0,"1,398",44,6.02,-1.6,4.8,0,0
Dontario Drummond,UDFA,4.61,1.57,17,1.24,24.0,5.7,5,N,6007,8083,28.4,9.250,31.500,5.70,14.3,0,0,,Leddie Brown,UDFA,91.9,4.64,1.56,213,28.9,110.0,87.5,"1,282",36,6.25,5.0,4.7,0,0
Dai'Jean Dixon,UDFA,4.62,1.55,N/A,3.05,19.9,N/A,3,N,6025,N/A,25.1,N/A,N/A,5.90,N/A,0,0,,Sincere McCormick,UDFA,91.6,4.60,1.60,205,30.0,115.0,76.5,"1,663",24,3.98,0.0,5.4,0,0
Josh Johnson ,UDFA,4.62,1.56,18,2.66,21.1,-4.4,4,N,5104,8063,25.5,8.625,31.875,3.72,12.7,0,0,,Jerrion Ealy,UDFA,90.6,4.52,1.55,189,28.7,122.7,62.8,988,32,6.16,5.5,5.8,0,0
Charleston Rambo,UDFA,4.57,1.53,14,2.53,22.1,7.3,5,N,6005,8085,23.3,9.750,32.000,5.82,15.2,0,0,,Jashaun Corbin,UDFA,90.2,4.60,1.58,202,28.2,116.8,41.6,"1,031",25,5.39,-8.7,5.5,0,0
Ty Fryfogle,UDFA,4.53,1.52,17,2.47,21.6,35.8,4,N,6011,8077,26.9,9.750,30.750,7.20,15.3,0,0,,Zaquandre White,UDFA,89.7,4.63,1.65,206,27.9,121.7,40.7,779,19,4.15,22.8,6.2,0,0
Tanner Conner,UDFA,4.50,1.61,N/A,N/A,N/A,N/A,N/A,N,6030,8107,28.2,9.500,31.875,8.85,N/A,0,0,,Ronnie Rivers,UDFA,87.1,4.60,1.57,195,29.3,121.6,75.1,"1,251",43,5.98,2.5,5.0,0,0
Justyn Ross,UDFA,4.64,1.76,22,1.97,18.7,20.5,1,Y,6035,8116,25.0,9.625,32.125,2.64,15.0,0,0,,CJ Verdell,UDFA,83.0,4.65,1.58,194,29.5,109.2,47.9,"1,345",27,2.34,-1.4,5.4,0,0
Kalil Pimpleton,UDFA,4.49,1.52,19,N/A,N/A,3.1,3,N,5075,8004,26.3,8.875,28.875,6.55,12.5,0,0,,Cam'Ron Harris,UDFA,N/A,N/A,N/A,N/A,31.6,N/A,50.9,774,18,N/A,0.5,5.2,0,0
Lance McCutcheon,UDFA,4.53,1.58,N/A,N/A,22.5,36.1,4,N,6021,8104,26.6,9.250,32.375,9.24u,18.6,0,0,,Jerry Howard,UDFA,100.9,4.58,1.57,222,31.0,N/A,N/A,"1,053",6,5.28,-1.4,5.1,0,0
Shemar Bridges,UDFA,4.68,1.62,N/A,N/A,N/A,N/A,N/A,N,6035,9014,25.7,9.625,33.875,4.13,N/A,0,0,,Jordan Mason,UDFA,101.4,4.58,1.57,223,31.1,115.6,48.2,942,10,7.15,-4.6,5.2,,
Rashid Shaheed,UDFA,N/A,N/A,N/A,N/A,20.0,49.5,2,N,5105,8056,25.5,9.500,31.125,N/A,17.9,,,,,,,,,,,,,,,,,,,
