player_name,draft_year,college,season,player_rec_yards,team_rec_yards,dominator_rating
Isaiah Hodgins,2020,Oregon State,2019,1171.0,3061.0,38.25547206795165
Dezmon Patmon,2020,Washington State,2019,762.0,5679.0,13.417855256207078
Freddie Swain,2020,Florida,2019,517.0,3910.0,13.222506393861893
Jauan Jennings,2020,Tennessee,2019,969.0,2878.0,33.66921473245309
K.J. Hill,2020,Ohio State,2019,636.0,3684.0,17.263843648208468
Tyrie Cleveland,2020,Florida,2019,351.0,3910.0,8.976982097186701
Ja'Marr Chase,2021,LSU,2020,1780.0,3121.0,57.03300224287088
Jaylen Waddle,2021,Alabama,2020,591.0,4656.0,12.693298969072163
DeVonta Smith,2021,Alabama,2020,1856.0,4656.0,39.86254295532646
Kadarius Toney,2021,Florida,2020,984.0,4543.0,21.65969623596742
Rashod Bateman,2021,Minnesota,2020,472.0,1394.0,33.85939741750359
Elijah Moore,2021,Ole Miss,2020,1193.0,3450.0,34.57971014492753
Rondale Moore,2021,Purdue,2020,270.0,1854.0,14.563106796116504
D'Wayne Eskridge,2021,Western Michigan,2020,768.0,1704.0,45.07042253521127
Tutu Atwell,2021,Louisville,2020,625.0,2686.0,23.26880119136262
Terrace Marshall Jr.,2021,LSU,2020,731.0,3121.0,23.42198013457225
Josh Palmer,2021,Tennessee,2020,475.0,2047.0,23.20468978993649
Dyami Brown,2021,North Carolina,2020,1084.0,3617.0,29.969588056400333
Amari Rodgers,2021,Clemson,2020,1020.0,4182.0,24.390243902439025
Nico Collins,2021,Michigan,2020,729.0,1502.0,48.53528628495339
Anthony Schwartz,2021,Auburn,2020,652.0,2422.0,26.919900908340217
Dez Fitzpatrick,2021,Louisville,2020,833.0,2686.0,31.0126582278481
Amon-Ra St. Brown,2021,USC,2020,478.0,1916.0,24.947807933194156
Jaelon Darden,2021,North Texas,2020,1190.0,2830.0,42.04946996466431
Tylan Wallace,2021,Oklahoma State,2020,917.0,2630.0,34.86692015209126
Jacob Harris,2021,UCF,2020,539.0,3521.0,15.308151093439365
Ihmir Smith-Marsette,2021,Iowa,2020,345.0,1581.0,21.821631878557877
Simi Fehoko,2021,Stanford,2020,584.0,1726.0,33.83545770567787
