method1_final_only,method2_final_age,method3_best_only,method4_best_age,method5_earliest,player_name,draft_year,pick,best_ppg,hit24,num_seasons,final_year,final_yards,best_year,best_yards
0.4427710843373494,0.35421686746987957,0.4427710843373494,0.35421686746987957,0.35421686746987957,Cameron Artis-Payne,2015,174,2.170588235294117,0,1,2014,147,2014,147
0.5108433734939759,0.40867469879518076,0.5108433734939759,0.40867469879518076,0.40867469879518076,Marcus Murphy,2015,230,2.2705882352941176,0,1,2014,212,2014,212
0.6338461538461538,0.6338461538461538,0.6338461538461538,0.6338461538461538,0.5916870415647922,Ezekiel Elliott,2016,4,21.8,1,2,2015,206,2015,206
0.2040358744394619,0.1836322869955157,0.29490022172949004,0.29490022172949004,0.1836322869955157,Derrick Henry,2016,45,22.43529411764706,1,2,2015,91,2014,133
0.6188340807174888,0.5569506726457399,0.6188340807174888,0.5569506726457399,0.352549889135255,Kenyan Drake,2016,73,12.411764705882351,1,2,2015,276,2015,276
0.8,0.7200000000000001,1.1144708423326133,1.1144708423326133,1.1144708423326133,C.J. Prosise,2016,90,3.588235294117647,0,2,2015,308,2014,516
0.9749478079331941,0.8774530271398747,0.9749478079331941,0.8774530271398747,0.8244111349036403,Kenneth Dixon,2016,134,6.023529411764706,0,2,2015,467,2015,467
0.9034090909090909,0.7227272727272728,0.9034090909090909,0.7227272727272728,0.6476190476190476,Devontae Booker,2016,136,8.476470588235296,0,2,2015,318,2015,318
0.6209677419354839,0.49677419354838714,0.6209677419354839,0.49677419354838714,0.5280858676207513,DeAndre Washington,2016,143,7.170588235294118,0,2,2015,385,2015,385
0.4745098039215686,0.4745098039215686,0.4745098039215686,0.4745098039215686,0.5082758620689656,Paul Perkins,2016,149,5.029411764705882,0,2,2015,242,2015,242
0.2299349240780911,0.2299349240780911,0.2299349240780911,0.2299349240780911,0.2299349240780911,Jordan Howard,2016,150,13.53529411764706,1,1,2015,106,2015,106
0.372960372960373,0.3356643356643357,0.6104868913857678,0.6104868913857678,0.6104868913857678,Wendell Smallwood,2016,153,7.547058823529412,0,2,2015,160,2014,326
0.181058495821727,0.181058495821727,0.181058495821727,0.181058495821727,0.181058495821727,Jonathan Williams,2016,156,2.3764705882352946,0,1,2014,65,2014,65
0.2540106951871658,0.22860962566844922,0.2540106951871658,0.22860962566844922,0.22860962566844922,Alex Collins,2016,171,10.058823529411764,1,2,2015,95,2015,95
0.49144254278728605,0.44229828850855746,0.49144254278728605,0.44229828850855746,0.43448275862068964,Darius Jackson,2016,216,0.0941176470588235,0,2,2015,201,2015,201
0.7954545454545454,0.7159090909090909,0.7954545454545454,0.7159090909090909,0.7159090909090909,Dwayne Washington,2016,236,2.864705882352941,0,2,2015,315,2015,315
0.04363636363636364,0.03490909090909091,0.6654205607476635,0.5988785046728972,0.5988785046728972,Daniel Lasco,2016,237,0.3705882352941176,0,2,2015,24,2014,356
