player_name,draft_year,college,season,cfbd_name,player_rec_yards,player_rec_tds,player_receptions,team_rec_yards,team_rec_tds,dominator_rating
Frank Darby,2021,Arizona State,2019,Frank Darby,616.0,8.0,31.0,3235.0,21.0,28.6
Frank Darby,2021,Arizona State,2020,Frank Darby,46.0,1.0,6.0,777.0,5.0,13.0
Marquez Stevenson,2021,Houston,2018,Marquez Stevenson,1019.0,9.0,75.0,3841.0,45.0,23.3
Marquez Stevenson,2021,Houston,2019,Marquez Stevenson,907.0,9.0,52.0,2440.0,19.0,42.3
Marquez Stevenson,2021,Houston,2020,Marquez Stevenson,307.0,4.0,20.0,2126.0,15.0,20.6
Shi Smith,2021,South Carolina,2017,Shi Smith,409.0,3.0,29.0,2794.0,18.0,15.7
Shi Smith,2021,South Carolina,2018,Shi Smith,673.0,4.0,45.0,3547.0,32.0,15.7
Shi Smith,2021,South Carolina,2019,Shi Smith,489.0,2.0,43.0,2667.0,12.0,17.5
Shi Smith,2021,South Carolina,2020,Shi Smith,621.0,4.0,55.0,1872.0,8.0,41.6
Racey McMath,2021,LSU,2018,Racey McMath,42.0,0.0,2.0,2969.0,17.0,0.7
Racey McMath,2021,LSU,2019,Racey McMath,285.0,3.0,17.0,6024.0,61.0,4.8
Racey McMath,2021,LSU,2020,Racey McMath,195.0,1.0,14.0,3121.0,24.0,5.2
Jalen Camp,2021,Georgia Tech,2017,Jalen Camp,49.0,0.0,1.0,927.0,10.0,2.6
Jalen Camp,2021,Georgia Tech,2018,Jalen Camp,165.0,0.0,12.0,1089.0,7.0,7.6
Jalen Camp,2021,Georgia Tech,2019,Jalen Camp,134.0,1.0,7.0,1607.0,14.0,7.7
Jalen Camp,2021,Georgia Tech,2020,Jalen Camp,392.0,4.0,25.0,1991.0,14.0,24.1
Seth Williams,2021,Auburn,2018,Seth Williams,534.0,5.0,26.0,2892.0,21.0,21.1
Seth Williams,2021,Auburn,2019,Seth Williams,830.0,8.0,59.0,2684.0,20.0,35.5
Seth Williams,2021,Auburn,2020,Seth Williams,744.0,4.0,47.0,2422.0,12.0,32.0
Dazz Newsome,2021,North Carolina,2017,Dazz Newsome,227.0,0.0,18.0,2705.0,20.0,4.2
Dazz Newsome,2021,North Carolina,2018,Dazz Newsome,506.0,2.0,44.0,2749.0,14.0,16.3
Dazz Newsome,2021,North Carolina,2019,Dazz Newsome,1018.0,10.0,72.0,3716.0,39.0,26.5
Dazz Newsome,2021,North Carolina,2020,Dazz Newsome,684.0,6.0,54.0,3617.0,31.0,19.1
Tre Nixon,2021,UCF,2018,Tre Nixon,562.0,4.0,40.0,3347.0,29.0,15.3
Tre Nixon,2021,UCF,2019,Tre Nixon,830.0,7.0,49.0,4117.0,36.0,19.8
Tre Nixon,2021,UCF,2020,Tre Nixon,258.0,2.0,18.0,3521.0,32.0,6.8
Ben Skowronek,2021,Notre Dame,2020,Ben Skowronek,439.0,5.0,29.0,2849.0,15.0,24.4
Kawaan Baker,2021,South Alabama,2017,Kawaan Baker,102.0,1.0,7.0,2845.0,15.0,5.1
Kawaan Baker,2021,South Alabama,2018,Kawaan Baker,494.0,4.0,33.0,2439.0,19.0,20.7
Kawaan Baker,2021,South Alabama,2019,Kawaan Baker,574.0,3.0,35.0,1906.0,14.0,25.8
Kawaan Baker,2021,South Alabama,2020,Kawaan Baker,656.0,8.0,50.0,2718.0,18.0,34.3
Dax Milne,2021,BYU,2018,Dax Milne,75.0,1.0,11.0,2753.0,18.0,4.1
Dax Milne,2021,BYU,2019,Dax Milne,285.0,2.0,21.0,3700.0,20.0,8.9
Dax Milne,2021,BYU,2020,Dax Milne,1189.0,8.0,70.0,3984.0,33.0,27.0
Drake London,2022,USC,2019,Drake London,567.0,5.0,39.0,4365.0,35.0,13.6
Drake London,2022,USC,2020,Drake London,502.0,3.0,33.0,1916.0,17.0,21.9
Drake London,2022,USC,2021,Drake London,1084.0,7.0,88.0,3580.0,21.0,31.8
Garrett Wilson,2022,Ohio State,2019,Garrett Wilson,432.0,5.0,30.0,3684.0,48.0,11.1
Garrett Wilson,2022,Ohio State,2020,Garrett Wilson,723.0,6.0,43.0,2100.0,22.0,30.9
Garrett Wilson,2022,Ohio State,2021,Garrett Wilson,1058.0,12.0,70.0,4952.0,46.0,23.7
Chris Olave,2022,Ohio State,2018,Chris Olave,197.0,3.0,12.0,5020.0,50.0,5.0
Chris Olave,2022,Ohio State,2019,Chris Olave,849.0,12.0,49.0,3684.0,48.0,24.0
Chris Olave,2022,Ohio State,2020,Chris Olave,729.0,7.0,50.0,2100.0,22.0,33.3
Chris Olave,2022,Ohio State,2021,Chris Olave,936.0,13.0,65.0,4952.0,46.0,23.6
Jameson Williams,2022,Alabama,2021,Jameson Williams,1572.0,15.0,79.0,5073.0,48.0,31.1
Jahan Dotson,2022,Penn State,2018,Jahan Dotson,203.0,0.0,13.0,2842.0,21.0,3.6
Jahan Dotson,2022,Penn State,2019,Jahan Dotson,488.0,5.0,27.0,2877.0,25.0,18.5
Jahan Dotson,2022,Penn State,2020,Jahan Dotson,884.0,8.0,52.0,2298.0,17.0,42.8
Jahan Dotson,2022,Penn State,2021,Jahan Dotson,1182.0,12.0,91.0,3491.0,25.0,40.9
Treylon Burks,2022,Arkansas,2019,Treylon Burks,475.0,0.0,29.0,2315.0,14.0,10.3
Treylon Burks,2022,Arkansas,2020,Treylon Burks,820.0,7.0,51.0,2386.0,20.0,34.7
Treylon Burks,2022,Arkansas,2021,Treylon Burks,1104.0,11.0,66.0,2781.0,22.0,44.8
Wan'Dale Robinson,2022,Kentucky,2021,Wan'Dale Robinson,1334.0,7.0,104.0,2933.0,24.0,37.3
John Metchie,2022,Alabama,2019,John Metchie,23.0,0.0,4.0,4449.0,49.0,0.3
John Metchie,2022,Alabama,2020,John Metchie,916.0,6.0,55.0,4656.0,42.0,17.0
John Metchie,2022,Alabama,2021,John Metchie,1142.0,8.0,96.0,5073.0,48.0,19.6
Tyquan Thornton,2022,Baylor,2018,Tyquan Thornton,354.0,3.0,20.0,3775.0,22.0,11.5
Tyquan Thornton,2022,Baylor,2019,Tyquan Thornton,782.0,5.0,45.0,3571.0,24.0,21.4
Tyquan Thornton,2022,Baylor,2020,Tyquan Thornton,158.0,1.0,16.0,1979.0,14.0,7.6
Tyquan Thornton,2022,Baylor,2021,Tyquan Thornton,948.0,10.0,62.0,2843.0,24.0,37.5
