player_name,draft_year,college,pick,season_used,player_rec_yards,player_rec_tds,team_rec_yards,team_rec_tds,yards_market_share,td_market_share,dominator_rating,dominator_pct,status
Demarcus Ayers,2016,Houston,229,2015,1222.0,6.0,3477.0,22.0,0.3514524014955421,0.2727272727272727,0.3120898371114074,31.208983711140743,calculated
Daniel Braverman,2016,Western Michigan,230,2015,1367.0,13.0,3739.0,30.0,0.3656057769457074,0.4333333333333333,0.3994695551395203,39.946955513952034,calculated
Devin Fuller,2016,UCLA,238,2015,,,3483.0,20.0,,,,,player_not_found
Charone Peake,2016,Clemson,241,2015,716.0,5.0,4373.0,35.0,0.1637319917676652,0.1428571428571428,0.153294567312404,15.329456731240404,calculated
Kenny Lawler,2016,California,243,2015,658.0,13.0,4233.0,37.0,0.1554453106543822,0.3513513513513513,0.2533983310028668,25.33983310028668,calculated
Corey Davis,2017,Western Michigan,5,2016,1500.0,19.0,3533.0,33.0,0.4245683555052363,0.5757575757575758,0.500162965631406,50.01629656314061,calculated
Mike Williams,2017,Clemson,7,2016,1361.0,11.0,5009.0,45.0,0.2717109203433819,0.2444444444444444,0.2580776823939131,25.807768239391315,calculated
John Ross,2017,Washington,9,2016,1150.0,17.0,3623.0,47.0,0.3174165056582942,0.3617021276595745,0.3395593166589343,33.95593166589344,calculated
Zay Jones,2017,East Carolina,37,2016,1731.0,8.0,3998.0,26.0,0.4329664832416208,0.3076923076923077,0.3703293954669642,37.032939546696426,calculated
Curtis Samuel,2017,Ohio St.,40,2016,865.0,7.0,2781.0,26.0,0.3110391945343401,0.2692307692307692,0.2901349818825547,29.013498188255472,calculated
JuJu Smith-Schuster,2017,USC,62,2016,914.0,10.0,3593.0,33.0,0.2543835235179515,0.303030303030303,0.2787069132741273,27.87069132741273,calculated
Cooper Kupp,2017,Eastern Washington,69,2016,,,,,,,,,fcs_school
Taywan Taylor,2017,Western Kentucky,72,2016,1730.0,17.0,4717.0,42.0,0.3667585329658681,0.4047619047619047,0.3857602188638864,38.576021886388645,calculated
ArDarius Stewart,2017,Alabama,79,2016,864.0,8.0,3154.0,26.0,0.2739378566899175,0.3076923076923077,0.2908150821911126,29.081508219111264,calculated
Carlos Henderson,2017,Louisiana Tech,82,2016,1535.0,19.0,5087.0,43.0,0.3017495576960881,0.4418604651162791,0.3718050114061836,37.18050114061836,calculated
Chris Godwin,2017,Penn St.,84,2016,982.0,11.0,3650.0,29.0,0.269041095890411,0.3793103448275862,0.3241757203589985,32.41757203589985,calculated
Kenny Golladay,2017,Northern Illinois,96,2016,1164.0,8.0,2696.0,20.0,0.4317507418397626,0.4,0.4158753709198813,41.58753709198813,calculated
Chad Williams,2017,Grambling St.,98,2016,,,,,,,,,fcs_school
Amara Darboh,2017,Michigan,106,2016,862.0,7.0,2756.0,20.0,0.3127721335268505,0.35,0.3313860667634252,33.138606676342526,calculated
Dede Westbrook,2017,Oklahoma,110,2016,1524.0,17.0,4143.0,43.0,0.3678493845039826,0.3953488372093023,0.3815991108566424,38.15991108566424,calculated
Josh Reynolds,2017,Texas A&M,117,2016,1039.0,12.0,3317.0,25.0,0.3132348507687669,0.48,0.3966174253843835,39.66174253843835,calculated
Mack Hollins,2017,North Carolina,118,2016,309.0,4.0,3811.0,30.0,0.081081081081081,0.1333333333333333,0.1072072072072072,10.72072072072072,calculated
Josh Malone,2017,Tennessee,128,2016,972.0,11.0,3100.0,28.0,0.3135483870967742,0.3928571428571428,0.3532027649769585,35.32027649769585,calculated
Ryan Switzer,2017,North Carolina,133,2016,1112.0,6.0,3811.0,30.0,0.2917869325636316,0.2,0.2458934662818158,24.58934662818158,calculated
Jehu Chesson,2017,Michigan,139,2016,500.0,2.0,2756.0,20.0,0.1814223512336719,0.1,0.140711175616836,14.0711175616836,calculated
Chad Hansen,2017,California,141,2016,1249.0,11.0,3920.0,34.0,0.3186224489795918,0.3235294117647059,0.3210759303721489,32.10759303721489,calculated
Shelton Gibson,2017,West Virginia,166,2016,951.0,8.0,3343.0,26.0,0.2844750224349386,0.3076923076923077,0.2960836650636231,29.60836650636232,calculated
Rodney Adams,2017,South Florida,170,2016,822.0,5.0,3020.0,27.0,0.2721854304635762,0.1851851851851851,0.2286853078243806,22.868530782438068,calculated
Isaiah McKenzie,2017,Georgia,172,2016,633.0,7.0,2515.0,16.0,0.25168986083499,0.4375,0.344594930417495,34.459493041749504,calculated
DeAngelo Yancey,2017,Purdue,175,2016,951.0,10.0,3539.0,25.0,0.2687199773947443,0.4,0.3343599886973721,33.43599886973722,calculated
Trent Taylor,2017,Louisiana Tech,177,2016,1803.0,12.0,5087.0,43.0,0.3544328680951444,0.2790697674418604,0.3167513177685024,31.675131776850247,calculated
Robert Davis,2017,Georgia St.,209,2016,968.0,5.0,2955.0,17.0,0.327580372250423,0.2941176470588235,0.3108490096546232,31.084900965462325,calculated
Stacy Coley,2017,Miami (FL),219,2016,754.0,9.0,3564.0,27.0,0.2115600448933782,0.3333333333333333,0.2724466891133558,27.24466891133558,calculated
David Moore,2017,East Central (OK),226,2016,,,,,,,,,fcs_school
Isaiah Ford,2017,Virginia Tech,237,2016,1094.0,7.0,3666.0,31.0,0.298417894162575,0.2258064516129032,0.2621121728877391,26.211217288773916,calculated
Noah Brown,2017,Ohio St.,239,2016,402.0,7.0,2781.0,26.0,0.1445523193096008,0.2692307692307692,0.206891544270185,20.6891544270185,calculated
Malachi Dupre,2017,LSU,247,2016,593.0,3.0,2281.0,12.0,0.2599736957474792,0.25,0.2549868478737396,25.49868478737396,calculated
D.J. Moore,2018,Maryland,24,2017,1033.0,8.0,1940.0,15.0,0.5324742268041237,0.5333333333333333,0.5329037800687285,53.29037800687285,calculated
Calvin Ridley,2018,Alabama,26,2017,967.0,5.0,2708.0,28.0,0.3570901033973412,0.1785714285714285,0.2678307659843849,26.783076598438488,calculated
Courtland Sutton,2018,SMU,40,2017,1085.0,12.0,3823.0,35.0,0.283808527334554,0.3428571428571428,0.3133328350958484,31.33328350958484,calculated
Dante Pettis,2018,Washington,44,2017,761.0,7.0,2881.0,19.0,0.2641443943075321,0.3684210526315789,0.3162827234695555,31.628272346955555,calculated
Christian Kirk,2018,Texas A&M,47,2017,919.0,10.0,3266.0,22.0,0.2813839559093692,0.4545454545454545,0.3679647052274118,36.79647052274119,calculated
Anthony Miller,2018,Memphis,51,2017,1462.0,18.0,4355.0,39.0,0.3357060849598163,0.4615384615384615,0.3986222732491389,39.86222732491389,calculated
James Washington,2018,Oklahoma St.,60,2017,1549.0,13.0,5059.0,37.0,0.3061869934769717,0.3513513513513513,0.3287691724141616,32.87691724141616,calculated
DJ Chark,2018,LSU,61,2017,874.0,3.0,2645.0,17.0,0.3304347826086956,0.1764705882352941,0.2534526854219949,25.345268542199488,calculated
Michael Gallup,2018,Colorado St.,81,2017,1413.0,7.0,3799.0,29.0,0.3719399842063701,0.2413793103448276,0.3066596472755988,30.665964727559885,calculated
Tre'Quan Smith,2018,Central Florida,91,2017,1171.0,13.0,4313.0,38.0,0.2715047530721076,0.3421052631578947,0.3068050081150011,30.68050081150012,calculated
Keke Coutee,2018,Texas Tech,103,2017,1429.0,10.0,4338.0,35.0,0.3294144767173813,0.2857142857142857,0.3075643812158335,30.75643812158335,calculated
Antonio Callaway,2018,Florida,105,2016,721.0,3.0,2805.0,18.0,0.2570409982174688,0.16666666666666666,0.21185383244206774,21.185383244206772,fixed_manual
DaeSean Hamilton,2018,Penn St.,113,2017,857.0,9.0,3772.0,32.0,0.2272004241781548,0.28125,0.2542252120890774,25.422521208907742,calculated
