,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Marvin McNutt,6.24,4.54,1.61,24,3.19,27.1,20.2,3,N,6026,8106,27.0,10.000,32.000,7.75,16.8,0,0,,,,,,,,,,,,,,,,,
Tommy Streeter,6.28,4.40,1.55,11,2.39,48.3,22.9,4,Y,6047,9035,26.1,9.500,34.750,8.68,18.6,0,0,,,,,,,,,,,,,,,,,
LaVon Brazill,6.36,4.48,1.54,15,2.69,5.6,20.5,3,N,5105,8065,26.8,9.750,32.000,5.03,13.4,0,0,,,,,,,,,,,,,,,,,
Rishard Matthews,7.20,4.62,1.65,33,3.33,19.6,20.9,3,N,6003,8087,28.5,9.125,32.500,6.28,15.3,2,35,,,,,,,,,,,,,,,,,
Toney Clemons,7.24,4.45,1.53,11,1.51,14.4,22.9,5,N,6021,8096,27.0,N/A,31.625,9.10,13.5,0,0,,,,,,,,,,,,,,,,,
Jeremy Ebert,7.28,4.46,1.54,19,2.60,26.3,21.4,3,N,5106,8041,21.3,N/A,29.375,7.84,13.9,0,0,,,,,,,,,,,,,,,,,
Junior Hemingway,7.31,4.53,1.57,12,2.46,36.7,21.7,5,N,6007,8093,29.3,9.625,32.500,9.72,18.6,0,0,,,,,,,,,,,,,,,,,
Jordan White,7.37,4.69,1.62,26,3.45,21.3,21.1,4,N,5116,8072,28.2,9.250,31.500,4.89,13.7,0,0,,,,,,,,,,,,,,,,,
Jermaine Kearse,UDFA,4.58,1.60,28,2.67,32.4,19.6,2,N,6007,8091,27.6,9.250,32.250,6.18,16.0,0,0,,,,,,,,,,,,,,,,,
Griff Whalen,UDFA,4.60,1.56,7,1.80,6.4,N/A,N/A,N,5104,N/A,24.4,N/A,N/A,6.03,13.2,0,0,,,,,,,,,,,,,,,,,
Josh Gordon,UDFA,4.57,1.57,11,1.52,44.2,19.4,2,Y,6031,8113,28.1,9.250,32.250,8.93,16.8,1,2,,,,,,,,,,,,,,,,,
Cole Beasley,UDFA,4.54,1.57,18,2.18,-8.0,21.4,3,N,5077,8006,26.9,N/A,28.875,4.94,11.6,2,30,,,,,,,,,,,,,,,,,
Rod Streater,UDFA,4.51,1.60,22,2.03,N/A,22.6,3,N,6023,8100,25.0,9.375,31.625,9.33,16.0,0,0,,,,,,,,,,,,,,,,,
