nfl_name,position,draft_year,birth_date,college_name
Tyler Scott,WR,2023.0,2001-10-12,Cincinnati
Trey Sermon,RB,2021.0,1999-01-30,Ohio State; Oklahoma
Khalil Shakir,WR,2022.0,2000-02-03,Boise State
Tajae Sharpe,WR,2016.0,1994-12-23,UMass Amherst
Laviska Shenault Jr.,WR,2020.0,1998-10-05,Colorado
Sterling Shepard,WR,2016.0,1993-02-10,Oklahoma
Will Shipley,RB,2024.0,2002-08-29,Clemson
Devin Singletary,RB,2019.0,1997-09-03,Florida Atlantic
Cam Skattebo,RB,2025.0,2002-02-05,Arizona State; Sacramento State
Ben Skowronek,WR,2021.0,1997-06-27,Notre Dame; Northwestern
Darius Slayton,WR,2019.0,1997-01-12,Auburn
Wendell Smallwood,RB,2016.0,1994-01-20,West Virginia
DeAndre Smelter,WR,2015.0,1991-12-03,Georgia Tech
Ainias Smith,WR,2024.0,2001-05-31,Texas A&M
Arian Smith,WR,2025.0,2001-10-11,Georgia
Brashard Smith,RB,2025.0,2003-04-11,SMU; Miami
DeVonta Smith,WR,2021.0,1998-11-14,Alabama
Devin Smith,WR,2015.0,1992-03-03,Ohio State
Ito Smith,RB,2018.0,1995-09-11,Southern Mississippi
Shi Smith,WR,2021.0,1998-10-26,South Carolina
Sutton Smith,RB,2019.0,1996-03-22,Northern Illinois
Tre'Quan Smith,WR,2018.0,1996-01-07,UCF
Ihmir Smith-Marsette,WR,2021.0,1999-08-29,Iowa
Jaxon Smith-Njigba,WR,2023.0,2002-02-14,Ohio State
JuJu Smith-Schuster,WR,2017.0,1996-11-22,USC
Benny Snell,RB,2019.0,1998-02-27,Kentucky
Tyjae Spears,RB,2023.0,2001-06-15,Tulane
Evan Spencer,WR,2015.0,1993-05-26,Ohio State
Isaiah Spiller,RB,2022.0,2001-08-09,Texas A&M
Amon-Ra St. Brown,WR,2021.0,1999-10-24,USC
Equanimeous St. Brown,WR,2018.0,1996-09-30,Notre Dame
Marquez Stevenson,WR,2021.0,1998-03-26,Houston
Rhamondre Stevenson,RB,2021.0,1998-02-23,Oklahoma; Cerritos College
ArDarius Stewart,WR,2017.0,1993-12-08,Alabama
Mike Strachan,WR,2021.0,1997-08-13,Charleston
Jaelen Strong,WR,2015.0,1994-01-25,Arizona State; Pierce College
Pierre Strong,RB,2022.0,1998-12-10,South Dakota State
Courtland Sutton,WR,2018.0,1995-10-10,SMU
Freddie Swain,WR,2020.0,1998-08-04,Florida
D'Andre Swift,RB,2020.0,1999-01-14,Georgia
Ryan Switzer,WR,2017.0,1994-11-04,North Carolina
Auden Tate,WR,2018.0,1997-02-03,Florida State
Jonathan Taylor,RB,2020.0,1999-01-19,Wisconsin
Kelvin Taylor,RB,2016.0,1993-09-28,Florida
Taywan Taylor,WR,2017.0,1995-03-02,Western Kentucky
Trent Taylor,WR,2017.0,1994-04-30,Louisiana Tech
Isaac TeSlaa,WR,2025.0,2002-02-20,Arkansas; Hillsdale
Brian Thomas Jr.,WR,2024.0,2002-10-08,LSU
Michael Thomas,WR,2016.0,1993-03-03,Ohio State
Mike Thomas,WR,2016.0,1994-08-16,Southern Mississippi; Dodge City CC; College of DuPage
Darwin Thompson,RB,2019.0,1997-02-12,Utah State; Northeast Oklahoma
Dont'e Thornton Jr.,WR,2025.0,2002-11-30,Tennessee; Oregon
Tyquan Thornton,WR,2022.0,2000-08-07,Baylor
Jamari Thrash,WR,2024.0,2000-12-19,Louisville; Georgia State
Cedric Tillman,WR,2023.0,2000-04-19,Tennessee
Jalen Tolbert,WR,2022.0,1999-02-27,South Alabama
Kadarius Toney,WR,2021.0,1999-01-27,Florida
Samori Toure,WR,2022.0,1998-03-24,Nebraska
Tyrone Tracy Jr.,RB,2024.0,1999-11-23,Purdue; Iowa
Laquon Treadwell,WR,2016.0,1995-06-14,Mississippi
Tre Tucker,WR,2023.0,2001-03-08,Cincinnati
Bhayshul Tuten,RB,2025.0,2002-02-14,Virginia Tech; North Carolina A&T
John Ursua,WR,2019.0,1994-01-17,Hawaii
Sione Vaki,RB,2024.0,2001-07-30,Utah
Marquez Valdes-Scantling,WR,2018.0,1994-10-10,University of South Florida; N.C. State
Deuce Vaughn,RB,2023.0,2001-11-02,Kansas State
Ke'Shawn Vaughn,RB,2020.0,1997-05-04,Vanderbilt; Illinois
Devaughn Vele,WR,2024.0,1997-12-12,Utah
Kimani Vidal,RB,2024.0,2001-08-28,Troy
Danny Vitale,RB,2016.0,1993-10-26,Northwestern
Jaylen Waddle,WR,2021.0,1998-11-25,Alabama
Devontez Walker,WR,2024.0,2001-06-19,North Carolina; Kent State; North Carolina Central
Kenneth Walker III,RB,2022.0,2000-10-20,Michigan State; Wake Forest
Tylan Wallace,WR,2021.0,1999-05-13,Oklahoma State
Mark Walton,RB,2018.0,1997-03-29,Miami
Casey Washington,WR,2024.0,2001-03-06,Illinois
Parker Washington,WR,2023.0,2002-03-21,Penn State
DeAndre Washington,RB,2016.0,1993-02-22,Texas Tech
Dwayne Washington,RB,2016.0,1994-04-24,Washington
James Washington,WR,2018.0,1996-04-02,Oklahoma State
Malik Washington,WR,2024.0,2000-10-20,Virginia; Northwestern
Montrell Washington,WR,2022.0,1999-03-14,Samford
Tahj Washington,WR,2024.0,2001-05-16,USC; Memphis
Jordan Watkins,WR,2025.0,2002-02-15,Mississippi; Louisville
Quez Watkins,WR,2020.0,1998-06-09,Southern Mississippi
Christian Watson,WR,2022.0,1999-05-12,North Dakota State
Justin Watson,WR,2018.0,1996-04-04,Penn
Mike Weber,RB,2019.0,1997-08-27,Ohio State
Dede Westbrook,WR,2017.0,1993-11-21,Oklahoma; Blinn College
LaJohntay Wester,WR,2025.0,2002-03-29,Colorado; Florida Atlantic
Rachaad White,RB,2022.0,1999-01-12,Arizona State; Mt. San Antonio; Kearney State
Ricky White III,WR,2025.0,2002-02-06,UNLV; Michigan State
Zamir White,RB,2022.0,1999-09-18,Georgia
Jordan Whittington,WR,2024.0,2000-10-01,Texas
Kerrith Whyte,RB,2019.0,1996-10-31,Florida Atlantic
Dontayvion Wicks,WR,2023.0,2001-06-16,Virginia
Jordan Wilkins,RB,2018.0,1994-07-18,Mississippi
Avery Williams,RB,2021.0,1998-07-15,Boise State
Chad Williams,WR,2017.0,1994-10-19,Grambling State
Dexter Williams,RB,2019.0,1997-01-06,Notre Dame
Jamaal Williams,RB,2017.0,1995-04-03,BYU
Jameson Williams,WR,2022.0,2001-03-26,Alabama; Ohio State
Javonte Williams,RB,2021.0,2000-04-25,North Carolina
Jonathan Williams,RB,2016.0,1994-02-02,Arkansas
Karlos Williams,RB,2015.0,1993-05-04,Florida State
Kyle Williams,WR,2025.0,2002-11-13,Washington State
Kyren Williams,RB,2022.0,2000-08-26,Notre Dame
Mike Williams,WR,2017.0,1994-10-04,Clemson
Savion Williams,WR,2025.0,2001-11-22,TCU
Seth Williams,WR,2021.0,2000-04-10,Auburn
Trayveon Williams,RB,2019.0,1997-10-18,Texas A&M
Cedrick Wilson Jr.,WR,2018.0,1995-11-20,Boise State; Coffeyville CC
Garrett Wilson,WR,2022.0,2000-07-22,Ohio State
Johnny Wilson,WR,2024.0,2001-04-03,Florida State; Arizona State
Michael Wilson,WR,2023.0,2000-02-23,Stanford
Roman Wilson,WR,2024.0,2001-06-19,Michigan
Javon Wims,WR,2018.0,1994-09-11,Georgia; Hinds CC
Juwann Winfree,WR,2019.0,1996-09-04,Colorado
Mike Woods,WR,2022.0,2000-03-19,Oklahoma; Arkansas
Xavier Worthy,WR,2024.0,2003-04-27,Texas
Jaylen Wright,RB,2024.0,2003-04-01,Tennessee
DeAngelo Yancey,WR,2017.0,1994-11-18,Purdue
T.J. Yeldon,RB,2015.0,1993-10-02,Alabama
Dareke Young,WR,2022.0,1999-06-04,Lenoir Rhyne
