nfl_name,position,draft_year,birth_date,college_name
Braxton Berrios,WR,2018.0,1995-10-06,Miami
Tank Bigsby,RB,2023.0,2002-08-30,Auburn
Jaydon Blue,RB,2025.0,2004-01-08,Texas
Devontae Booker,RB,2016.0,1992-05-27,Utah; American River
Kayshon Boutte,WR,2023.0,2002-05-07,LSU
Lynn Bowden,WR,2020.0,1997-10-14,Kentucky
Tyler Boyd,WR,2016.0,1994-11-15,Pittsburgh
Miles Boykin,WR,2019.0,1996-10-12,Notre Dame
Daniel Braverman,WR,2016.0,1993-09-28,Western Michigan
Gary Brightwell,RB,2021.0,1998-02-28,Arizona
Jalen Brooks,WR,2023.0,2000-05-07,South Carolina; Tarleton State; Wingate
Jonathon Brooks,RB,2024.0,2003-07-21,Texas
Tahj Brooks,RB,2025.0,2002-05-13,Texas Tech
Zac Brooks,RB,2016.0,1993-02-01,Clemson
A.J. Brown,WR,2019.0,1997-06-30,Mississippi
Brittain Brown,RB,2022.0,1997-10-10,UCLA
Chase Brown,RB,2023.0,2000-03-21,Illinois; Western Michigan
Da'Ron Brown,WR,2015.0,1991-09-21,Northern Illinois
Dyami Brown,WR,2021.0,1999-11-01,North Carolina
Marquise Brown,WR,2019.0,1997-06-04,Oklahoma; College of the Canyons
Noah Brown,WR,2017.0,1996-01-06,Ohio State
Pat Bryant,WR,2025.0,2002-12-10,Illinois
Aaron Burbridge,WR,2016.0,1993-12-23,Michigan State
Luther Burden III,WR,2025.0,2003-12-12,Missouri
Treylon Burks,WR,2022.0,2000-03-23,Arkansas
Jermaine Burton,WR,2024.0,2001-06-28,Alabama; Georgia
Deon Cain,WR,2018.0,1996-08-09,Clemson
Raymond Calais,RB,2020.0,1998-04-02,Louisiana-Lafayette
Antonio Callaway,WR,2018.0,1997-01-09,Florida
Jalen Camp,WR,2021.0,1998-07-10,Georgia Tech
Parris Campbell,WR,2019.0,1997-07-16,Ohio State
Trenton Cannon,RB,2018.0,1994-07-23,Virginia State; Shepherd
Dylan Cantrell,WR,2018.0,1994-06-29,Texas Tech
Leonte Carroo,WR,2016.0,1994-01-24,Rutgers
Chris Carson,RB,2017.0,1994-09-16,Oklahoma State; Butler County JC
Quintez Cephus,WR,2020.0,1998-04-01,Wisconsin
Ty Chandler,RB,2022.0,1998-05-12,North Carolina
Zach Charbonnet,RB,2023.0,2001-01-08,UCLA; Michigan
DJ Chark,WR,2018.0,1996-09-23,LSU
Ja'Marr Chase,WR,2021.0,2000-03-01,LSU
Jehu Chesson,WR,2017.0,1993-12-20,Michigan
Nick Chubb,RB,2018.0,1995-12-27,Georgia
Kaelin Clay,WR,2015.0,1992-01-02,Utah; Mt. San Antonio; California
Chase Claypool,WR,2020.0,1998-07-07,Notre Dame
Tyrie Cleveland,WR,2020.0,1997-09-20,Florida
Sammie Coates,WR,2015.0,1993-03-31,Auburn
David Cobb,RB,2015.0,1993-06-03,Minnesota
Tarik Cohen,RB,2017.0,1995-07-26,North Carolina A&T
Corey Coleman,WR,2016.0,1994-07-06,Baylor
Keon Coleman,WR,2024.0,2003-05-17,Florida State; Michigan State
