draft_year,player_name,position,college,pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,full_athletic_data,draft_capital_score,breakout_score,athletic_score,slap_score,position_convert,tier
2021,D'Wayne Eskridge,WR,Western Michigan,56,24.0,768.0,155.0,190.0,4.38,combine,combine,True,51.3,63.2,62.5,74.8,False,Average
2021,Tutu Atwell,WR,Louisville,57,21.0,625.0,315.0,155.0,4.42,combine,combine,True,51.1,49.9,2.717391304347826,33.6,False,Below Avg
2021,Terrace Marshall Jr.,WR,LSU,59,21.0,731.0,421.0,205.0,4.4,combine,combine,True,50.7,50.2,83.69565217391305,71.8,False,Below Avg
2021,Josh Palmer,WR,Tennessee,77,21.0,475.0,285.0,210.0,4.52,pro_day,pro_day,True,48.0,49.8,52.71739130434783,58.0,False,Below Avg
2021,Dyami Brown,WR,North Carolina,82,21.0,1084.0,357.0,189.0,4.46,combine,pro_day,True,47.4,60.7,29.347826086956523,58.8,False,Below Avg
2021,Amari Rodgers,WR,Clemson,85,21.0,1020.0,490.0,212.0,4.52,combine,combine,True,47.0,51.7,56.52173913043478,60.3,False,Below Avg
2021,Trey Sermon,RB,Ohio State,88,22.0,95.0,225.0,215.0,4.57,combine,combine,True,51.7,44.1,26.666666666666668,45.285,False,Below Avg
2021,Nico Collins,WR,Michigan,89,22.0,729.0,410.0,215.0,4.43,combine,combine,True,46.6,82.7,89.67391304347827,93.9,False,Below Avg
2021,Anthony Schwartz,WR,Auburn,91,21.0,652.0,362.0,186.0,4.27,combine,combine,True,46.4,55.8,91.30434782608695,73.3,False,Below Avg
2021,Michael Carter,RB,North Carolina,107,22.0,267.0,357.0,201.0,4.5,combine,combine,True,48.8,59.4,23.809523809523807,48.76142857142857,False,Below Avg
2021,Dez Fitzpatrick,WR,Louisville,109,23.0,833.0,315.0,208.0,4.43,combine,combine,True,44.8,52.4,79.34782608695652,67.2,False,Below Avg
2021,Amon-Ra St. Brown,WR,USC,112,21.0,478.0,263.0,197.0,4.51,combine,combine,True,44.6,52.6,27.173913043478255,38.9,False,Below Avg
2021,Kene Nwangwu,RB,Iowa State,119,23.0,22.0,372.0,,,missing,missing,False,47.4,26.7,,,False,
2021,Rhamondre Stevenson,RB,Oklahoma,120,23.0,211.0,362.0,231.0,4.64,combine,combine,True,47.3,48.6,30.47619047619048,45.231428571428566,False,Below Avg
2021,Chuba Hubbard,RB,Oklahoma State,126,22.0,52.0,340.0,210.0,4.48,combine,combine,True,46.6,31.4,53.333333333333336,42.29,False,Below Avg
2021,Jaelon Darden,WR,North Texas,129,22.0,1190.0,336.0,174.0,4.47,combine,combine,True,43.5,73.3,9.239130434782608,55.0,False,Below Avg
2021,Tylan Wallace,WR,Oklahoma State,131,22.0,917.0,340.0,194.0,4.48,combine,combine,True,43.4,62.9,31.521739130434785,53.4,False,Below Avg
2021,Jacob Harris,WR,UCF,141,24.0,539.0,408.0,219.0,4.39,combine,combine,True,42.9,29.8,96.7391304347826,46.6,False,Below Avg
