player_id,player_name,rec_yards,receptions,rec_tds,games_rec,rush_yards,rush_att,rush_tds,games_rush,games,fantasy_ppr,ppg
00-0033885,D.Njoku,293.0,33.0,4.0,11.0,0.0,0.0,0.0,0.0,11.0,86.3,7.845454545454545
00-0037837,C.Austin,372.0,31.0,3.0,14.0,0.0,0.0,0.0,0.0,14.0,86.2,6.1571428571428575
00-0033858,J.Smith,222.0,38.0,2.0,17.0,70.0,9.0,1.0,6.0,17.0,85.2,5.011764705882353
00-0031408,M.Evans,368.0,30.0,3.0,8.0,0.0,0.0,0.0,0.0,8.0,84.8,10.6
00-0035208,O.Zaccheaus,313.0,39.0,2.0,14.0,25.0,4.0,0.0,4.0,14.0,84.8,6.057142857142857
00-0032385,S.Shepard,371.0,39.0,1.0,13.0,19.0,4.0,0.0,4.0,13.0,84.0,6.461538461538462
00-0036309,D.Mooney,443.0,32.0,1.0,15.0,0.0,0.0,0.0,0.0,15.0,82.3,5.486666666666666
00-0033526,S.Perine,87.0,17.0,0.0,11.0,382.0,84.0,3.0,13.0,13.0,81.9,6.300000000000001
00-0033921,C.Godwin,360.0,33.0,2.0,9.0,0.0,0.0,0.0,0.0,9.0,81.0,9.0
00-0035644,N.Fant,288.0,34.0,3.0,13.0,0.0,0.0,0.0,0.0,13.0,80.8,6.2153846153846155
00-0038104,T.Thornton,438.0,19.0,3.0,11.0,0.0,0.0,0.0,0.0,11.0,80.8,7.345454545454545
00-0036290,C.Kmet,347.0,30.0,2.0,16.0,0.0,0.0,0.0,0.0,16.0,76.7,4.79375
00-0040669,I.TeSlaa,239.0,16.0,6.0,14.0,0.0,0.0,0.0,0.0,14.0,75.9,5.421428571428572
00-0038393,D.Wicks,332.0,30.0,2.0,13.0,6.0,1.0,0.0,1.0,13.0,75.80000000000001,5.830769230769231
00-0035500,G.Dortch,206.0,29.0,3.0,10.0,15.0,7.0,1.0,5.0,10.0,75.1,7.51
00-0040134,P.Bryant,378.0,31.0,1.0,12.0,0.0,0.0,0.0,0.0,12.0,74.8,6.233333333333333
00-0039066,M.Mayer,328.0,35.0,1.0,12.0,0.0,0.0,0.0,0.0,12.0,73.8,6.1499999999999995
00-0033857,J.Smith-Schuster,345.0,33.0,1.0,16.0,0.0,0.0,0.0,0.0,16.0,73.5,4.59375
00-0038558,D.Washington,364.0,31.0,1.0,13.0,0.0,0.0,0.0,0.0,13.0,73.4,5.6461538461538465
00-0033955,J.McNichols,196.0,25.0,0.0,13.0,221.0,45.0,1.0,15.0,15.0,72.7,4.846666666666667
00-0033873,P.Mahomes,-10.0,1.0,0.0,1.0,422.0,64.0,5.0,14.0,14.0,72.2,5.1571428571428575
00-0037614,J.Metchie,274.0,33.0,2.0,12.0,-5.0,3.0,0.0,3.0,12.0,71.9,5.991666666666667
00-0033110,T.Higbee,281.0,25.0,3.0,9.0,0.0,0.0,0.0,0.0,9.0,71.1,7.8999999999999995
00-0034829,M.Gesicki,307.0,28.0,2.0,12.0,0.0,0.0,0.0,0.0,12.0,70.7,5.891666666666667
00-0039851,D.Maye,2.0,1.0,0.0,1.0,450.0,104.0,4.0,17.0,17.0,70.2,4.129411764705883
00-0036415,V.Jefferson,350.0,29.0,1.0,14.0,0.0,0.0,0.0,0.0,14.0,70.0,5.0
00-0040667,M.Golden,361.0,29.0,0.0,14.0,49.0,10.0,0.0,5.0,14.0,70.0,5.0
00-0040727,T.Harris,324.0,30.0,1.0,16.0,10.0,2.0,0.0,2.0,16.0,69.4,4.3375
00-0039798,I.Davis,186.0,21.0,0.0,12.0,236.0,43.0,1.0,13.0,13.0,69.2,5.323076923076924
00-0040138,J.Noel,292.0,26.0,2.0,13.0,12.0,6.0,0.0,6.0,13.0,68.4,5.261538461538462
00-0032211,T.Lockett,291.0,32.0,1.0,17.0,0.0,0.0,0.0,0.0,17.0,67.1,3.9470588235294115
00-0030564,D.Hopkins,330.0,22.0,2.0,17.0,0.0,0.0,0.0,0.0,17.0,67.0,3.9411764705882355
00-0039918,C.Williams,22.0,2.0,1.0,1.0,383.0,77.0,3.0,17.0,17.0,66.5,3.911764705882353
00-0039424,D.Vele,293.0,25.0,2.0,9.0,0.0,0.0,0.0,0.0,9.0,66.3,7.366666666666666
00-0039732,B.Nix,0.0,0.0,0.0,1.0,356.0,83.0,5.0,17.0,17.0,65.6,3.8588235294117643
00-0034975,J.Hill,169.0,21.0,1.0,8.0,93.0,18.0,2.0,8.0,8.0,65.2,8.15
00-0037252,G.Dulcich,335.0,26.0,1.0,9.0,-7.0,1.0,0.0,1.0,9.0,64.8,7.199999999999999
00-0037005,T.Tremble,249.0,27.0,2.0,15.0,0.0,0.0,0.0,0.0,15.0,63.9,4.26
00-0040718,T.Hunter,298.0,28.0,1.0,7.0,0.0,1.0,0.0,1.0,7.0,63.8,9.114285714285714
