player_name,draft_year,final_season,college,cfbd_school,cfbd_name,draft_age,rec_yards,receptions,rec_tds,team_pass_att
James Washington,2018,2017,Oklahoma St.,Oklahoma State,James Washington,22.0,1549.0,74.0,13.0,503.0
DJ Chark,2018,2017,LSU,LSU,D.J. Chark,21.0,874.0,40.0,3.0,300.0
Michael Gallup,2018,2017,Colorado St.,Colorado State,Michael Gallup,22.0,1413.0,100.0,7.0,459.0
Tre'Quan Smith,2018,2017,Central Florida,UCF,Tre'Quan Smith,22.0,1171.0,59.0,13.0,424.0
Keke Coutee,2018,2017,Texas Tech,Texas Tech,Keke Coutee,21.0,1429.0,93.0,10.0,541.0
Antonio Callaway,2018,2017,Florida,Florida,,21.0,,,,312.0
DaeSean Hamilton,2018,2017,Penn St.,Penn State,DaeSean Hamilton,23.0,857.0,53.0,9.0,458.0
Jaleel Scott,2018,2017,New Mexico St.,New Mexico State,Jaleel Scott,23.0,1079.0,76.0,9.0,641.0
J'Mon Moore,2018,2017,Missouri,Missouri,J'Mon Moore,23.0,1082.0,65.0,10.0,430.0
Justin Watson,2018,2017,Pennsylvania,Pennsylvania,,22.0,,,,
Daurice Fountain,2018,2017,Northern Iowa,Northern Iowa,Daurice Fountain,22.0,30.0,3.0,0.0,
Jordan Lasley,2018,2017,UCLA,UCLA,Jordan Lasley,21.0,1264.0,69.0,9.0,535.0
Marquez Valdes-Scantling,2018,2017,South Florida,South Florida,Marquez Valdes-Scantling,23.0,879.0,53.0,6.0,367.0
Damion Ratley,2018,2017,Texas A&M,Texas A&M,Damion Ratley,23.0,694.0,30.0,6.0,449.0
Deon Cain,2018,2017,Clemson,Clemson,Deon Cain,22.0,734.0,58.0,6.0,470.0
Ray-Ray McCloud,2018,2017,Clemson,Clemson,Ray-Ray McCloud,21.0,503.0,49.0,1.0,470.0
Dylan Cantrell,2018,2017,Texas Tech,Texas Tech,Dylan Cantrell,24.0,816.0,71.0,7.0,541.0
Russell Gage,2018,2017,LSU,LSU,Russell Gage,22.0,285.0,21.0,3.0,300.0
Tremon Smith,2018,2017,Central Arkansas,Central Arkansas,,22.0,,,,
Equanimeous St. Brown,2018,2017,Notre Dame,Notre Dame,Equanimeous St. Brown,21.0,515.0,33.0,4.0,351.0
Cedrick Wilson Jr.,2018,2017,Boise St.,Boise State,Cedrick Wilson,22.0,1511.0,83.0,7.0,449.0
Braxton Berrios,2018,2017,Miami (FL),Miami,Braxton Berrios,22.0,670.0,54.0,9.0,425.0
Javon Wims,2018,2017,Georgia,Georgia,Javon Wims,23.0,724.0,46.0,7.0,305.0
Marcell Ateman,2018,2017,Oklahoma St.,Oklahoma State,Marcell Ateman,23.0,1156.0,59.0,8.0,503.0
Richie James,2018,2017,Middle Tenn. St.,Middle Tennessee,Richie James,23.0,290.0,31.0,3.0,473.0
Auden Tate,2018,2017,Florida St.,Florida State,Auden Tate,21.0,548.0,40.0,10.0,345.0
Austin Proehl,2018,2017,North Carolina,North Carolina,Austin Proehl,22.0,337.0,21.0,1.0,407.0
Trey Quinn,2018,2017,SMU,SMU,Trey Quinn,22.0,1236.0,114.0,13.0,487.0
