player_name,draft_year,pick,round,college,teammate_count,best_teammate_pick,total_teammate_dc,avg_teammate_dc,teammate_names
JuJu Smith-Schuster,2017,62,2,USC,0,,0.0,0.0,
Cooper Kupp,2017,69,3,Eastern Washington,0,,0.0,0.0,
Taywan Taylor,2017,72,3,Western Kentucky,1,110.0,58.2,58.2,"Tyler Higbee (Rd4 #110, 2016)"
ArDarius Stewart,2017,79,3,Alabama,2,19.0,171.8,85.9,"O.J. Howard (Rd1 #19, 2017); Calvin Ridley (Rd1 #26, 2018)"
Carlos Henderson,2017,82,3,Louisiana Tech,1,177.0,43.0,43.0,"Trent Taylor (Rd5 #177, 2017)"
Chris Godwin,2017,84,3,Penn St.,2,42.0,135.5,67.7,"Mike Gesicki (Rd2 #42, 2018); DaeSean Hamilton (Rd4 #113, 2018)"
Kenny Golladay,2017,96,3,Northern Illinois,0,,0.0,0.0,
Chad Williams,2017,98,3,Grambling St.,0,,0.0,0.0,
Amara Darboh,2017,106,3,Michigan,2,139.0,101.1,50.6,"Jehu Chesson (Rd4 #139, 2017); Jake Butt (Rd5 #145, 2017)"
Dede Westbrook,2017,110,4,Oklahoma,2,40.0,143.2,71.6,"Sterling Shepard (Rd2 #40, 2016); Mark Andrews (Rd3 #86, 2018)"
Josh Reynolds,2017,117,4,Texas A&M,2,47.0,119.7,59.8,"Christian Kirk (Rd2 #47, 2018); Damion Ratley (Rd6 #175, 2018)"
Mack Hollins,2017,118,4,North Carolina,2,133.0,80.5,40.3,"Ryan Switzer (Rd4 #133, 2017); Austin Proehl (Rd7 #255, 2018)"
Josh Malone,2017,128,4,Tennessee,0,,0.0,0.0,
Ryan Switzer,2017,133,4,North Carolina,2,118.0,84.1,42.0,"Mack Hollins (Rd4 #118, 2017); Austin Proehl (Rd7 #255, 2018)"
Jehu Chesson,2017,139,4,Michigan,2,106.0,109.0,54.5,"Amara Darboh (Rd3 #106, 2017); Jake Butt (Rd5 #145, 2017)"
Chad Hansen,2017,141,4,California,2,163.0,76.0,38.0,"Trevor Davis (Rd5 #163, 2016); Kenny Lawler (Rd7 #243, 2016)"
Shelton Gibson,2017,166,5,West Virginia,0,,0.0,0.0,
Rodney Adams,2017,170,5,South Florida,1,174.0,43.6,43.6,"Marquez Valdes-Scantling (Rd5 #174, 2018)"
Isaiah McKenzie,2017,172,5,Georgia,2,112.0,91.3,45.6,"Malcolm Mitchell (Rd4 #112, 2016); Javon Wims (Rd7 #224, 2018)"
DeAngelo Yancey,2017,175,5,Purdue,0,,0.0,0.0,
Trent Taylor,2017,177,5,Louisiana Tech,1,82.0,65.5,65.5,"Carlos Henderson (Rd3 #82, 2017)"
Robert Davis,2017,209,6,Georgia St.,0,,0.0,0.0,
Stacy Coley,2017,219,7,Miami (FL),3,29.0,178.3,59.4,"David Njoku (Rd1 #29, 2017); Chris Herndon (Rd4 #107, 2018); Braxton Berrios (Rd6 #210, 2018)"
David Moore,2017,226,7,East Central (OK),0,,0.0,0.0,
Isaiah Ford,2017,237,7,Virginia Tech,1,201.0,38.1,38.1,"Bucky Hodges (Rd6 #201, 2017)"
Noah Brown,2017,239,7,Ohio St.,4,40.0,282.0,70.5,"Michael Thomas (Rd2 #47, 2016); Braxton Miller (Rd3 #85, 2016); Nick Vannett (Rd3 #94, 2016); Curtis Samuel (Rd2 #40, 2017)"
Malachi Dupre,2017,247,7,LSU,2,61.0,111.2,55.6,"DJ Chark (Rd2 #61, 2018); Russell Gage (Rd6 #194, 2018)"
D.J. Moore,2018,24,1,Maryland,0,,0.0,0.0,
Calvin Ridley,2018,26,1,Alabama,3,19.0,229.1,76.4,"O.J. Howard (Rd1 #19, 2017); ArDarius Stewart (Rd3 #79, 2017); Irv Smith Jr. (Rd2 #50, 2019)"
Courtland Sutton,2018,40,2,SMU,1,256.0,27.7,27.7,"Trey Quinn (Rd7 #256, 2018)"
Dante Pettis,2018,44,2,Washington,3,9.0,223.3,74.4,"John Ross (Rd1 #9, 2017); Will Dissly (Rd4 #120, 2018); Drew Sample (Rd2 #52, 2019)"
Christian Kirk,2018,47,2,Texas A&M,3,75.0,167.3,55.8,"Josh Reynolds (Rd4 #117, 2017); Damion Ratley (Rd6 #175, 2018); Jace Sternberger (Rd3 #75, 2019)"
Anthony Miller,2018,51,2,Memphis,0,,0.0,0.0,
James Washington,2018,60,2,Oklahoma St.,1,228.0,32.9,32.9,"Marcell Ateman (Rd7 #228, 2018)"
DJ Chark,2018,61,2,LSU,3,137.0,120.5,40.2,"Malachi Dupre (Rd7 #247, 2017); Russell Gage (Rd6 #194, 2018); Foster Moreau (Rd4 #137, 2019)"
Michael Gallup,2018,81,3,Colorado St.,1,247.0,29.3,29.3,"Olabisi Johnson (Rd7 #247, 2019)"
Tre'Quan Smith,2018,91,3,Central Florida,1,98.0,61.2,61.2,"Jordan Akins (Rd3 #98, 2018)"
Keke Coutee,2018,103,4,Texas Tech,1,191.0,40.1,40.1,"Dylan Cantrell (Rd6 #191, 2018)"
Antonio Callaway,2018,105,4,Florida,0,,0.0,0.0,
DaeSean Hamilton,2018,113,4,Penn St.,2,42.0,143.0,71.5,"Chris Godwin (Rd3 #84, 2017); Mike Gesicki (Rd2 #42, 2018)"
