player_name,draft_year,pick,round,college,best_ppr,hit24,yprr,yards,receptions,grades_offense,pff_file
Richie James,2018,240,7,Middle Tenn. St.,157.70000000000002,0,1.93,290,31,66.7,data/receiving_summary (4).csv
Auden Tate,2018,253,7,Florida St.,101.5,0,1.79,548,40,75.7,data/receiving_summary (4).csv
Austin Proehl,2018,255,7,North Carolina,0.0,0,2.32,337,21,71.4,data/receiving_summary (4).csv
Trey Quinn,2018,256,7,SMU,51.8,0,2.62,1236,114,89.8,data/receiving_summary (4).csv
Marquise Brown,2019,25,1,Oklahoma,226.3,1,3.56,1318,75,85.0,data/receiving_summary (5).csv
N'Keal Harry,2019,32,1,Arizona St.,30.4,0,2.71,1088,73,86.0,data/receiving_summary (5).csv
Deebo Samuel,2019,36,2,South Carolina,385.1,1,2.46,882,62,83.3,data/receiving_summary (5).csv
A.J. Brown,2019,51,2,Mississippi,333.2,1,3.01,1307,84,79.3,data/receiving_summary (5).csv
Mecole Hardman,2019,56,2,Georgia,178.5,0,2.41,543,35,70.4,data/receiving_summary (5).csv
JJ Arcega-Whiteside,2019,57,2,Stanford,0.0,0,3.03,1059,63,90.3,data/receiving_summary (5).csv
Parris Campbell,2019,59,2,Ohio St.,149.1,0,3.47,1071,91,86.0,data/receiving_summary (5).csv
Andy Isabella,2019,62,2,Massachusetts,54.8,0,4.15,1696,101,93.2,data/receiving_summary (5).csv
D.K. Metcalf,2019,64,2,Mississippi,0.0,0,2.83,569,26,71.9,data/receiving_summary (5).csv
Diontae Johnson,2019,66,3,Toledo,288.8,1,2.3,761,49,72.4,data/receiving_summary (5).csv
Jalen Hurd,2019,67,3,Baylor,0.0,0,2.1,946,69,76.8,data/receiving_summary (5).csv
Terry McLaurin,2019,76,3,Ohio St.,322.5,1,2.19,701,35,73.7,data/receiving_summary (5).csv
Miles Boykin,2019,93,3,Notre Dame,74.6,0,1.99,867,59,79.0,data/receiving_summary (5).csv
Hakeem Butler,2019,103,4,Iowa St.,0.0,0,3.27,1318,60,82.4,data/receiving_summary (5).csv
Gary Jennings Jr,2019,120,4,West Virginia,0.0,0,2.69,917,54,81.4,data/receiving_summary (5).csv
Riley Ridley,2019,126,4,Georgia,13.5,0,1.81,559,43,75.5,data/receiving_summary (5).csv
Hunter Renfrow,2019,149,5,Clemson,272.9,1,1.71,545,49,71.9,data/receiving_summary (5).csv
Darius Slayton,2019,171,5,Auburn,170.0,0,1.82,670,35,64.4,data/receiving_summary (5).csv
KeeSean Johnson,2019,174,6,Fresno St.,46.0,0,3.06,1345,96,83.8,data/receiving_summary (5).csv
Travis Fulgham,2019,184,6,Old Dominion,115.9,0,2.2,1083,63,80.1,data/receiving_summary (5).csv
Juwann Winfree,2019,187,6,Colorado,11.8,0,1.22,324,28,67.7,data/receiving_summary (5).csv
Marcus Green,2019,203,6,La-Monroe,0.0,0,2.84,851,50,71.4,data/receiving_summary (5).csv
Kelvin Harmon,2019,206,6,North Carolina St.,66.5,0,2.83,1186,81,83.5,data/receiving_summary (5).csv
Scott Miller,2019,208,6,Bowling Green,121.0,0,3.06,1137,70,82.7,data/receiving_summary (5).csv
John Ursua,2019,236,7,Hawaii,2.1,0,2.33,1343,89,71.5,data/receiving_summary (5).csv
Terry Godwin,2019,237,7,Georgia,6.5,0,2.26,373,22,73.8,data/receiving_summary (5).csv
Dillon Mitchell,2019,239,7,Oregon,0.0,0,2.9,1184,75,80.8,data/receiving_summary (5).csv
Olabisi Johnson,2019,247,7,Colorado St.,82.7,0,1.99,796,54,74.8,data/receiving_summary (5).csv
Henry Ruggs III,2020,12,1,Alabama,0.0,0,2.45,744,40,75.0,data/receiving_summary (21).csv
Jerry Jeudy,2020,15,1,Alabama,240.9,1,3.3,1163,77,85.6,data/receiving_summary (21).csv
CeeDee Lamb,2020,17,1,Oklahoma,425.7000000000001,1,3.99,1325,62,90.0,data/receiving_summary (21).csv
Jalen Reagor,2020,21,1,TCU,81.2,0,1.49,611,43,69.2,data/receiving_summary (21).csv
Justin Jefferson,2020,22,1,LSU,379.0,1,2.64,1540,111,85.4,data/receiving_summary (21).csv
Brandon Aiyuk,2020,25,1,Arizona St.,279.1,1,3.04,1192,65,77.8,data/receiving_summary (21).csv
Tee Higgins,2020,33,2,Clemson,280.0,1,3.67,1167,59,90.5,data/receiving_summary (21).csv
Michael Pittman Jr.,2020,34,2,USC,0.0,0,2.32,1269,101,81.2,data/receiving_summary (21).csv
Laviska Shenault Jr.,2020,42,2,Colorado,157.1,0,2.98,764,56,86.3,data/receiving_summary (21).csv
KJ Hamler,2020,46,2,Penn St.,0.0,0,2.48,904,56,72.5,data/receiving_summary (21).csv
Chase Claypool,2020,49,2,Notre Dame,237.8,1,2.48,1037,66,83.3,data/receiving_summary (21).csv
Van Jefferson,2020,57,2,Florida,188.9,0,2.0,657,49,70.4,data/receiving_summary (21).csv
Denzel Mims,2020,59,2,Baylor,60.7,0,2.36,1015,66,81.9,data/receiving_summary (21).csv
Bryan Edwards,2020,81,3,South Carolina,116.2,0,2.58,816,71,77.9,data/receiving_summary (21).csv
Devin Duvernay,2020,92,3,Texas,110.1,0,3.0,1392,105,89.4,data/receiving_summary (21).csv
Joe Reed,2020,151,5,Virginia,8.9,0,1.54,683,78,71.4,data/receiving_summary (21).csv
Tyler Johnson,2020,161,5,Minnesota,81.5,0,3.64,1317,87,91.5,data/receiving_summary (21).csv
Collin Johnson,2020,165,5,Texas,59.2,0,2.06,555,38,78.1,data/receiving_summary (21).csv
Quintez Cephus,2020,166,5,Wisconsin,66.9,0,3.1,901,59,82.5,data/receiving_summary (21).csv
John Hightower,2020,168,5,Boise St.,28.8,0,2.48,943,51,73.4,data/receiving_summary (21).csv
Darnell Mooney,2020,173,5,Tulane,219.7,0,1.98,716,47,72.5,data/receiving_summary (21).csv
K.J. Osborn,2020,176,5,Miami (FL),165.6,0,1.31,547,50,64.5,data/receiving_summary (21).csv
Donovan Peoples-Jones,2020,187,6,Michigan,161.1,0,1.73,443,33,70.0,data/receiving_summary (21).csv
Quez Watkins,2020,200,6,Southern Miss,121.5,0,3.03,1172,63,75.7,data/receiving_summary (21).csv
James Proche,2020,201,6,SMU,36.2,0,2.54,1219,110,86.3,data/receiving_summary (21).csv
Isaiah Hodgins,2020,207,6,Oregon St.,126.0,0,2.67,1158,86,90.1,data/receiving_summary (21).csv
Dezmon Patmon,2020,212,6,Washington St.,10.1,0,2.18,757,59,72.7,data/receiving_summary (21).csv
Freddie Swain,2020,214,6,Florida,86.5,0,2.33,517,38,76.8,data/receiving_summary (21).csv
Jauan Jennings,2020,217,7,Tennessee,210.5,0,3.09,969,59,88.9,data/receiving_summary (21).csv
K.J. Hill,2020,220,7,Ohio St.,14.3,0,1.77,636,57,72.0,data/receiving_summary (21).csv
Tyrie Cleveland,2020,252,7,Florida,12.3,0,1.83,351,25,64.3,data/receiving_summary (21).csv
Jaylen Waddle,2021,6,1,Alabama,267.40000000000003,1,4.38,591,28,82.6,data/receiving_summary (20).csv
DeVonta Smith,2021,10,1,Alabama,295.3,1,4.39,1856,117,94.9,data/receiving_summary (20).csv
Kadarius Toney,2021,20,1,Florida,81.6,0,2.62,977,70,84.2,data/receiving_summary (20).csv
