player_name,position,draft_year,pick,college,rec_yards,team_pass_attempts,age,weight,forty,draft_capital_score,breakout_score,athletic_score,slap_score,tier
Laviska Shenault Jr.,WR,2020,42,Colorado,764.0,411.0,21.0,227.0,4.58,54.9,50.1,54.1,71.1,Good
Antonio Gandy-Golden,WR,2020,142,Liberty,1396.0,452.0,22.0,223.0,4.6,42.8,68.8,48.4,70.8,Good
De'Von Achane,RB,2023,84,Texas A&M,196.0,391.0,21.0,188.0,4.32,52.4,50.4,58.4,70.5,Good
Dax Milne,WR,2021,258,BYU,1189.0,375.0,22.0,,4.54,39.1,70.3,,70.1,Good
Javon Baker,WR,2024,110,Central Florida,1139.0,366.0,22.0,202.0,4.54,44.8,69.2,41.2,69.8,Average
Tyjae Spears,RB,2023,81,Tulane,256.0,379.0,22.0,201.0,4.47,53.0,56.0,45.2,69.5,Average
Simi Fehoko,WR,2021,179,Stanford,584.0,220.0,23.0,222.0,4.44,41.2,55.5,71.8,69.2,Average
Terrace Marshall Jr.,WR,2021,59,LSU,731.0,421.0,21.0,205.0,4.4,50.7,47.6,64.0,68.8,Average
Jaelon Darden,WR,2021,129,North Texas,1190.0,336.0,22.0,174.0,4.47,43.5,77.1,28.5,68.5,Average
Jaydon Blue,RB,2025,149,Texas,368.0,541.0,21.0,196.0,4.38,44.5,59.7,55.8,68.2,Average
Dont'e Thornton,WR,2025,108,Tennessee,661.0,373.0,22.0,205.0,4.3,44.9,44.7,80.9,67.9,Average
DJ Giddens,RB,2025,151,Kansas State,258.0,381.0,22.0,212.0,4.43,44.4,56.0,62.2,67.5,Average
MarShawn Lloyd,RB,2024,88,USC,232.0,461.0,23.0,220.0,4.46,51.7,45.3,64.3,67.2,Average
John Metchie,WR,2022,44,Alabama,1142.0,571.0,22.0,187.0,,54.2,48.9,,66.9,Average
Dez Fitzpatrick,WR,2021,109,Louisville,833.0,315.0,23.0,208.0,4.43,44.8,55.3,61.8,66.6,Average
Rashee Rice,WR,2023,55,SMU,1355.0,513.0,23.0,204.0,4.51,51.5,55.2,46.8,66.2,Average
Tre Harris,WR,2025,55,Ole Miss,1063.0,434.0,23.0,,,51.5,52.1,,65.9,Average
Malik Washington,WR,2024,184,Virginia,1426.0,396.0,23.0,191.0,4.47,41.1,70.8,42.1,65.6,Average
Ja'Lynn Polk,WR,2024,37,Washington,1159.0,575.0,22.0,203.0,4.52,56.6,49.2,44.7,65.3,Average
Anthony Schwartz,WR,2021,91,Auburn,652.0,362.0,21.0,186.0,4.27,46.4,48.9,68.1,64.9,Average
Troy Franklin,WR,2024,102,Oregon,1383.0,514.0,21.0,176.0,4.41,45.4,67.0,38.0,64.6,Average
Jaylin Noel,WR,2025,79,Iowa State,1194.0,472.0,23.0,194.0,4.39,47.7,53.4,56.2,64.3,Average
Khalil Shakir,WR,2022,148,Boise State,1117.0,410.0,22.0,196.0,4.43,42.5,62.1,51.9,64.0,Average
Velus Jones Jr.,WR,2022,71,Tennessee,807.0,375.0,25.0,204.0,4.31,48.8,38.5,78.2,63.6,Average
