player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS
Dylan Cantrell,WR,2018,191,6,Texas Tech,6,999.0,0.0,0,0,9.86
Russell Gage,WR,2018,194,6,LSU,6,66.0,27.6,0,0,8.0
Tremon Smith,WR,2018,196,6,Central Arkansas,6,999.0,0.0,0,0,
Equanimeous St. Brown,WR,2018,207,6,Notre Dame,6,440.0,14.4,0,0,9.85
Cedrick Wilson Jr.,WR,2018,208,6,Boise St.,6,668.0,10.7,0,0,
Braxton Berrios,WR,2018,210,6,Miami (FL),6,93.0,25.7,0,0,5.68
Javon Wims,WR,2018,224,7,Georgia,6,674.0,10.600000000000001,0,0,5.44
Marcell Ateman,WR,2018,228,7,Oklahoma St.,6,791.0,9.6,0,0,5.18
Richie James,WR,2018,240,7,Middle Tenn. St.,6,24.0,33.400000000000006,1,0,5.99
Auden Tate,WR,2018,253,7,Florida St.,6,447.0,14.1,0,0,1.82
Austin Proehl,WR,2018,255,7,North Carolina,6,999.0,0.0,0,0,3.62
Trey Quinn,WR,2018,256,7,SMU,6,483.0,13.6,0,0,7.01
Marquise Brown,WR,2019,25,1,Oklahoma,5,21.0,33.5,1,0,
N'Keal Harry,WR,2019,32,1,Arizona St.,5,717.0,10.4,0,0,8.44
Deebo Samuel,WR,2019,36,2,South Carolina,5,14.0,35.7,1,0,7.91
A.J. Brown,WR,2019,51,2,Mississippi,5,5.0,39.6,1,1,8.59
Mecole Hardman,WR,2019,56,2,Georgia,5,56.0,28.0,0,0,8.3
JJ Arcega-Whiteside,WR,2019,57,2,Stanford,5,999.0,0.0,0,0,
Parris Campbell,WR,2019,59,2,Ohio St.,5,117.0,23.0,0,0,9.76
Andy Isabella,WR,2019,62,2,Massachusetts,5,231.0,20.099999999999998,0,0,7.26
D.K. Metcalf,WR,2019,64,2,Mississippi,5,999.0,0.0,0,0,
Diontae Johnson,WR,2019,66,3,Toledo,5,41.0,30.5,0,0,4.18
Jalen Hurd,WR,2019,67,3,Baylor,5,999.0,0.0,0,0,8.21
Terry McLaurin,WR,2019,76,3,Ohio St.,5,44.0,30.3,0,0,9.56
Miles Boykin,WR,2019,93,3,Notre Dame,5,558.0,12.2,0,0,9.94
Hakeem Butler,WR,2019,103,4,Iowa St.,5,1964.0,0.0,0,0,9.47
Gary Jennings Jr,WR,2019,120,4,West Virginia,5,999.0,0.0,0,0,
Riley Ridley,WR,2019,126,4,Georgia,5,843.0,8.4,0,0,4.53
Hunter Renfrow,WR,2019,149,5,Clemson,5,58.0,28.700000000000003,0,0,2.91
Darius Slayton,WR,2019,171,5,Auburn,5,26.0,34.1,0,0,8.91
KeeSean Johnson,WR,2019,174,6,Fresno St.,5,701.0,10.2,0,0,3.18
Travis Fulgham,WR,2019,184,6,Old Dominion,5,31.0,31.200000000000003,0,0,8.01
Juwann Winfree,WR,2019,187,6,Colorado,5,1089.0,7.0,0,0,7.14
Marcus Green,WR,2019,203,6,La-Monroe,5,999.0,0.0,0,0,7.22
Kelvin Harmon,WR,2019,206,6,North Carolina St.,5,660.0,10.8,0,0,4.88
Scott Miller,WR,2019,208,6,Bowling Green,5,139.0,22.9,0,0,7.76
John Ursua,WR,2019,236,7,Hawaii,5,1589.0,2.1,0,0,6.44
Terry Godwin,WR,2019,237,7,Georgia,5,1149.0,6.5,0,0,5.26
Dillon Mitchell,WR,2019,239,7,Oregon,5,999.0,0.0,0,0,7.96
Olabisi Johnson,WR,2019,247,7,Colorado St.,5,379.0,16.4,0,0,
Henry Ruggs III,WR,2020,12,1,Alabama,4,999.0,0.0,0,0,9.54
Jerry Jeudy,WR,2020,15,1,Alabama,4,8.0,40.5,1,1,6.76
CeeDee Lamb,WR,2020,17,1,Oklahoma,4,5.0,42.2,1,1,7.44
Jalen Reagor,WR,2020,21,1,TCU,4,350.0,16.9,0,0,6.03
Justin Jefferson,WR,2020,22,1,LSU,4,6.0,39.6,1,1,9.69
Brandon Aiyuk,WR,2020,25,1,Arizona St.,4,26.0,32.9,0,0,8.47
Tee Higgins,WR,2020,33,2,Clemson,4,4.0,43.400000000000006,1,1,4.12
Michael Pittman Jr.,WR,2020,34,2,USC,4,999.0,0.0,0,0,8.27
Laviska Shenault Jr.,WR,2020,42,2,Colorado,4,108.0,24.6,0,0,6.97
KJ Hamler,WR,2020,46,2,Penn St.,4,999.0,0.0,0,0,
Chase Claypool,WR,2020,49,2,Notre Dame,4,5.0,42.6,1,1,9.98
Van Jefferson,WR,2020,57,2,Florida,4,171.0,21.0,0,0,
Denzel Mims,WR,2020,59,2,Baylor,4,739.0,10.7,0,0,9.77
Lynn Bowden Jr.,WR,2020,80,3,Kentucky,4,999.0,0.0,0,0,
Bryan Edwards,WR,2020,81,3,South Carolina,4,302.0,17.8,0,0,
Devin Duvernay,WR,2020,92,3,Texas,4,151.0,21.4,0,0,7.86
Gabriel Davis,WR,2020,128,4,Central Florida,4,999.0,0.0,0,0,6.85
Antonio Gandy-Golden,WR,2020,142,4,Liberty,4,1702.0,2.2,0,0,6.13
Joe Reed,WR,2020,151,5,Virginia,4,1053.0,7.4,0,0,9.35
Tyler Johnson,WR,2020,161,5,Minnesota,4,510.0,13.5,0,0,
Collin Johnson,WR,2020,165,5,Texas,4,247.0,19.6,0,0,
Quintez Cephus,WR,2020,166,5,Wisconsin,4,373.0,16.3,0,0,4.5
John Hightower,WR,2020,168,5,Boise St.,4,1101.0,6.9,0,0,8.02
Isaiah Coulter,WR,2020,171,5,Rhode Island,4,2066.0,0.0,0,0,6.68
Darnell Mooney,WR,2020,173,5,Tulane,4,28.0,31.5,0,0,7.04
K.J. Osborn,WR,2020,176,5,Miami (FL),4,28.0,31.700000000000003,0,0,8.0
Donovan Peoples-Jones,WR,2020,187,6,Michigan,4,87.0,26.1,0,0,9.63
Quez Watkins,WR,2020,200,6,Southern Miss,4,128.0,23.3,0,0,7.4
James Proche,WR,2020,201,6,SMU,4,461.0,14.600000000000001,0,0,4.04
Isaiah Hodgins,WR,2020,207,6,Oregon St.,4,93.0,24.5,0,0,7.56
Dezmon Patmon,WR,2020,212,6,Washington St.,4,957.0,8.4,0,0,8.46
Freddie Swain,WR,2020,214,6,Florida,4,171.0,21.0,0,0,8.29
Jauan Jennings,WR,2020,217,7,Tennessee,4,2.0,46.5,1,1,2.7
K.J. Hill,WR,2020,220,7,Ohio St.,4,1101.0,6.9,0,0,3.89
Tyrie Cleveland,WR,2020,252,7,Florida,4,936.0,8.5,0,0,9.65
Ja'Marr Chase,WR,2021,5,1,LSU,3,1.0,55.6,1,1,9.82
Jaylen Waddle,WR,2021,6,1,Alabama,3,4.0,40.1,1,1,
DeVonta Smith,WR,2021,10,1,Alabama,3,31.0,31.3,0,0,
Kadarius Toney,WR,2021,20,1,Florida,3,50.0,29.6,0,0,8.99
Rashod Bateman,WR,2021,27,1,Minnesota,3,120.0,23.0,0,0,8.04
Elijah Moore,WR,2021,34,2,Mississippi,3,50.0,29.6,0,0,8.69
Rondale Moore,WR,2021,49,2,Purdue,3,109.0,24.4,0,0,9.33
D'Wayne Eskridge,WR,2021,56,2,Western Michigan,3,598.0,12.5,0,0,6.71
Tutu Atwell,WR,2021,57,2,Louisville,3,268.0,17.9,0,0,6.25
Terrace Marshall Jr.,WR,2021,59,2,LSU,3,432.0,14.600000000000001,0,0,
Josh Palmer,WR,2021,77,3,Tennessee,3,37.0,30.6,0,0,7.59
Dyami Brown,WR,2021,82,3,North Carolina,3,93.0,24.5,0,0,8.38
Amari Rodgers,WR,2021,85,3,Clemson,3,351.0,16.0,0,0,5.35
Nico Collins,WR,2021,89,3,Michigan,3,16.0,35.8,1,0,9.57
Anthony Schwartz,WR,2021,91,3,Auburn,3,621.0,11.8,0,0,6.89
Dez Fitzpatrick,WR,2021,109,4,Louisville,3,598.0,12.5,0,0,
