player_name,college,draft_year,season,cfbd_school,status,cfbd_name,rush_yards,rush_attempts,rush_tds,rec_tds
Joshua Kelley,UCLA,2020,2019,UCLA,found,Joshua Kelley,1060.0,229.0,12.0,1.0
La'Mical Perine,Florida,2020,2019,Florida,found,Lamical Perine,676.0,132.0,6.0,5.0
Anthony McFarland Jr.,Maryland,2020,2019,Maryland,found,Anthony McFarland,614.0,114.0,8.0,1.0
DeeJay Dallas,Miami (FL),2020,2019,Miami,found,DeeJay Dallas,693.0,114.0,8.0,2.0
Jason Huntley,New Mexico St.,2020,2019,New Mexico State,found,Jason Huntley,1090.0,154.0,9.0,2.0
Eno Benjamin,Arizona St.,2020,2019,Arizona State,found,Eno Benjamin,1083.0,253.0,10.0,2.0
Raymond Calais,Louisiana,2020,2019,Louisiana,found,Raymond Calais,886.0,117.0,6.0,1.0
Malcolm Perry,Navy,2020,2019,Navy,found,Malcolm Perry,2017.0,295.0,21.0,1.0
Najee Harris,Alabama,2021,2020,Alabama,found,Najee Harris,1466.0,251.0,26.0,4.0
Travis Etienne,Clemson,2021,2020,Clemson,found,Travis Etienne,914.0,168.0,14.0,2.0
Javonte Williams,North Carolina,2021,2020,North Carolina,found,Javonte Williams,1140.0,157.0,19.0,3.0
Trey Sermon,Ohio St.,2021,2020,Ohio State,found,Trey Sermon,870.0,116.0,4.0,0.0
Michael Carter,North Carolina,2021,2020,North Carolina,found,Michael Carter,1245.0,156.0,9.0,2.0
Kene Nwangwu,Iowa St.,2021,2020,Iowa State,found,Kene Nwangwu,339.0,61.0,4.0,0.0
Rhamondre Stevenson,Oklahoma,2021,2020,Oklahoma,found,Rhamondre Stevenson,664.0,101.0,7.0,0.0
Chuba Hubbard,Oklahoma St.,2021,2020,Oklahoma State,found,Chuba Hubbard,623.0,132.0,5.0,1.0
Kenneth Gainwell,Memphis,2021,2020,Memphis,found,Kenneth Gainwell,1459.0,231.0,13.0,3.0
Elijah Mitchell,Louisiana,2021,2020,Louisiana,found,Elijah Mitchell,878.0,141.0,8.0,0.0
Gary Brightwell,Arizona,2021,2020,Arizona,found,Gary Brightwell,386.0,86.0,1.0,0.0
Larry Rountree,Missouri,2021,2020,Missouri,found,Larry Rountree III,972.0,209.0,14.0,0.0
Chris Evans,Michigan,2021,2020,Michigan,found,Chris Evans,73.0,16.0,1.0,0.0
Demetric Felton,UCLA,2021,2020,UCLA,found,Demetric Felton,668.0,132.0,5.0,3.0
Khalil Herbert,Virginia Tech,2021,2020,Virginia Tech,found,Khalil Herbert,1183.0,155.0,8.0,1.0
Jake Funk,Maryland,2021,2020,Maryland,found,Jake Funk,511.0,60.0,3.0,1.0
Gerrid Doaks,Cincinnati,2021,2020,Cincinnati,found,Gerrid Doaks,673.0,144.0,7.0,2.0
Kylin Hill,Mississippi St.,2021,2020,Mississippi State,found,Kylin Hill,58.0,15.0,0.0,1.0
Jermar Jefferson,Oregon St.,2021,2020,Oregon State,found,Jermar Jefferson,858.0,133.0,7.0,0.0
Breece Hall,Iowa St.,2022,2021,Iowa State,found,Breece Hall,1472.0,253.0,20.0,3.0
