,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Denarius Moore,5.17,4.45,1.56,17,2.34,34.8,20.7,4,N,5115,8085,26.3,9.500,33.000,7.79,17.9,0,0,,Evan Royster,6.12,90.7,4.65,1.69,212,28.7,114.3,56.9,"1,391",25,3.99,13.2,5.7,0,0
Jeremy Kerley,5.22,4.62,1.63,11,1.74,-21.9,21.8,4,N,5094,8034,27.8,9.000,30.000,4.95,10.8,0,0,,Jordan Todman,6.18,105.7,4.40,1.55,198,29.2,127.6,75.0,"1,789",21,8.20,7.2,5.2,0,0
Ryan Whalen,6.02,4.62,1.55,17,2.96,3.2,20.1,2,N,6011,8071,26.6,9.000,30.000,9.20,13.5,0,0,,Allen Bradford,6.22,107.2,4.61,1.64,242,33.7,103.0,35.9,868,4,6.02,6.3,5.9,0,0
Dwayne Harris,6.11,4.55,1.67,22,2.16,0.2,22.0,4,N,5103,8054,28.7,10.125,31.125,2.73,11.2,0,0,,Da'Rel Scott,7.18,118.4,4.34,1.55,210,29.3,116.3,54.4,"1,304",21,8.18,29.3,5.6,0,0
Aldrick Robinson,6.13,4.43,1.58,23,2.52,45.6,19.8,2,N,5095,8031,26.4,8.750,29.500,8.92,18.3,0,0,,Anthony Allen,7.22,101.0,4.61,1.57,228,30.2,124.0,53.1,"1,404",21,9.89,4.7,5.6,0,0
Ronald Johnson,6.17,4.57,1.61,14,1.53,2.6,22.0,4,N,5112,8060,27.8,9.000,30.750,6.95,12.7,0,0,,Baron Batch,7.29,101.0,4.50,1.50,207,30.4,124.7,55.7,"1,279",57,8.80,10.6,5.4,0,0
Scotty McKnight,7.24,4.50,1.57,23,1.89,7.5,19.5,2,N,5104,N/A,26.1,N/A,N/A,7.67,11.8,0,0,,Jay Finley,7.43,98.1,4.51,1.59,203,28.3,125.9,77.5,"1,294",18,6.72,23.7,5.6,0,0
Stephen Burton,7.33,4.56,1.59,N/A,N/A,N/A,N/A,4,N,6013,8093,29.2,9.125,32.000,6.74,14.6,0,0,,Matt Asiata,UDFA,87.4,4.81,1.70,234,32.6,103.0,68.4,890,32,1.94,-4.1,4.6,0,0
DeMarco Sampson,7.47,4.41,1.53,21,1.90,N/A,19.8,2,N,6020,8110,26.2,9.625,33.000,8.96,18.2,0,0,,Shaun Draughn,UDFA,81.9,4.73,1.73,205,27.8,116.8,62.7,947,21,3.22,4.5,4.6,0,0
Kamar Aiken,UDFA,4.50,1.57,20,1.69,28.8,18.3,1,N,6011,N/A,27.6,N/A,N/A,8.22,15.9,1,31,,,,,,,,,,,,,,,,,
Dontrelle Inman,UDFA,4.52,1.60,8,1.84,15.8,21.6,4,N,6027,N/A,25.6,N/A,N/A,7.88,14.1,0,0,,,,,,,,,,,,,,,,,
Andre Holmes,UDFA,4.53,1.64,N/A,N/A,N/A,21.2,4,N,6043,9023,27.1,8.625,34.000,6.27,13.2,0,0,,,,,,,,,,,,,,,,,
Doug Baldwin,UDFA,4.53,1.54,13,2.26,17.5,20,2,N,5096,8006,27.1,N/A,27.000,7.4,14.2,3,10,,,,,,,,,,,,,,,,,
