,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Ty Montgomery,3.30,4.55,1.59,18,3.08,-0.7,20.6,3,N,5117,8067,29.3,10.125,31.000,7.75,12.4,0,0,,Jay Ajayi,5.13,101.3,4.57,1.59,221,30.0,126.8,82.9,"2,358",50,8.63,10.7,5.6,1,11
Jamison Crowder,4.06,4.56,1.70,27,2.88,18.9,19.2,2,N,5083,8026,28.1,8.750,30.375,1.31,12.9,1,39,,Karlos Williams,5.19,114.2,4.48,1.60,230,30.3,115.5,46.0,954,29,6.41,8.3,5.9,1,37
Justin Hardy,4.08,4.56,1.60,28,2.35,7.3,20.7,3,N,5102,8063,27.5,10.000,32.125,4.87,11.7,0,0,,Cameron Artis-Payne,5.38,100.7,4.53,1.61,212,30.4,121.1,49.2,"1,755",13,6.00,-6.7,5.6,0,0
Vince Mayle,4.24,4.67,1.67,19,1.92,27.5,23.2,4,N,6020,8096,28.8,9.000,31.750,4.63,13.7,0,0,,Josh Robinson,6.29,88.9,4.70,1.66,217,33.0,110.9,79.7,"1,573",28,1.10,10.7,6.2,0,0
DeAndre Smelter,4.33,4.57,N/A,30,3.52,4.9,22.8,4,N,6020,8105,29.0,11.000,32.625,N/A,18.9,0,0,,Marcus Murphy,7.13,85.5,4.61,1.68,193,29.3,103.8,74.0,"1,136",28,0.24,16.9,5.8,0,0
Rashad Greene,5.03,4.53,1.63,24,2.65,4.2,20.0,2,N,5113,8070,25.4,9.000,31.625,5.37,14.2,0,0,,Kenny Hilliard,7.18,83.1,4.83,1.72,226,30.6,101.4,25.8,485,4,0.91,-2.9,5.2,0,0
Stefon Diggs,5.10,4.46,1.53,28,2.79,13.3,18.6,1,Y,6000,8072,26.4,10.000,31.250,5.66,14.8,8,14,,Malcolm Brown,UDFA,98.3,4.62,1.64,224,31.2,117.2,60.5,"1,099",17,6.84,-7.9,4.3,0,0
Tony Lippett,5.20,4.61,1.63,17,3.00,20.2,21.1,5,N,6024,8112,24.6,9.875,32.750,3.99,15.1,0,0,,Thomas Rawls,UDFA,97.7,4.58,1.69,215,31.7,118.4,32.7,"1,196",10,2.08,10.9,5.1,0,0
J.J. Nelson,5.23,4.28,1.49,22,2.40,52.4,21.4,4,N,5102,8053,22.4,8.250,31.125,7.92,19.6,0,0,,Zach Zenner,UDFA,99.6,4.60,1.64,223,31.1,130.2,N/A,"2,000",N/A,8.39,N/A,N/A,0,0
Kenny Bell,5.26,4.42,1.57,25,2.28,15.9,19.5,2,N,6011,8086,26.0,9.250,31.625,9.20,14.9,0,0,,Raheem Mostert,UDFA,87.1,4.60,1.64,195,28.0,134.0,22.3,643,18,9.37,3.6,5.7,2,25
Keith Mumphery,5.39,4.54,1.62,10,1.15,21.8,N/A,N/A,N,5115,8066,29.2,9.125,31.125,4.36,15.3,0,0,,,,,,,,,,,,,,,,,
Kaelin Clay,6.08,4.51,1.64,20,1.38,8.6,22.7,3,N,5095,8044,28.0,9.000,30.875,2.18,12.2,0,0,,,,,,,,,,,,,,,,,
Geremy Davis,6.10,4.54,1.56,21,2.47,17.9,21.7,4,N,6023,8105,27.7,9.500,32.250,9.66,13.9,0,0,,,,,,,,,,,,,,,,,
Evan Spencer,6.11,4.50,1.60,5,0.59,-16.2,N/A,N/A,N,6013,8092,27.4,10.125,31.875,8.37,11.1,0,0,,,,,,,,,,,,,,,,,
Bud Sasser,6.25,4.58,1.59,14,2.42,9.8,22.3,5,N,6025,8115,27.7,10.125,33.000,7.45,13.9,0,0,,,,,,,,,,,,,,,,,
Darren Waller,6.28,4.46,1.57,18,2.18,5.9,22.0,3,N,6061,9033,29.5,9.000,33.250,9.05,19.0,2,3,,,,,,,,,,,,,,,,,
Neal Sterling,7.03,4.68,1.53,N/A,N/A,N/A,21.6,3,N,6033,9003,31.3,N/A,33.000,6.62,12.9,0,0,,,,,,,,,,,,,,,,,
Andre Debose,7.04,4.49,1.57,6,1.35,N/A,N/A,N/A,N,5115,8077,26.4,8.625,32.250,8.13,18.0,0,0,,,,,,,,,,,,,,,,,
Da'Ron Brown,7.16,4.54,1.55,19,2.77,17.7,22.0,4,N,6001,8081,27.8,10.250,32.000,8.12,14.8,0,0,,,,,,,,,,,,,,,,,
Dezmin Lewis,7.17,4.58,1.63,N/A,2.16,N/A,19.8,2,N,6036,9002,26.0,9.875,32.500,4.77,14.8,0,0,,,,,,,,,,,,,,,,,
Mario Alford,7.21,4.43,1.64,22,1.77,32.6,20.5,4,N,5084,8036,27.4,9.375,31.250,5.40,16.3,0,0,,,,,,,,,,,,,,,,,
Tre McBride,7.28,4.41,1.49,N/A,2.82,N/A,19.8,2,N,6002,8083,28.5,9.000,32.125,9.56,14.3,0,0,,,,,,,,,,,,,,,,,
Titus Davis,UDFA,4.51,1.60,33,N/A,40.0,18.7,1,N,6006,8063,25.9,8.250,29.625,4.08,18.1,0,0,,,,,,,,,,,,,,,,,
Jake Kumerow,UDFA,4.58,1.62,N/A,N/A,N/A,21.6,3,N,6044,9003,24.7,9.500,31.875,5.59,15.9,0,0,,,,,,,,,,,,,,,,,
Tyrell Wiliiams,UDFA,4.48,1.51,N/A,2.05,N/A,20.6,2,N,6034,9010,25.5,9.875,33.500,9.89,17.1,1,16,,,,,,,,,,,,,,,,,
Damiere Byrd,UDFA,4.32,1.51,9,1.50,36.9,N/A,N/A,N,5092,8031,23.9,8.000,29.875,9.18,18.6,0,0,,,,,,,,,,,,,,,,,
