,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,BOA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Puka Nacua,5.43,4.56,1.62,17,2.06,19.3,20.4,3,N,6016,8096,27.2,9.625,32.000,5.17,15.7,,,,Keaton Mitchell,UDFA,98.2,4.37,1.48,179,27.2,127.6,64.8,"1,704",27,6.17,22.6,6.5,,
Parker Washington,6.08,N/A,N/A,21,1.69,18.5,8.4,1,Y,5096,8026,29.3,10.125,29.000,N/A,13.2,0,0,,Khalan Laborn,UDFA,97.7,4.52,1.56,204,30.9,128.0,51.0,"1,629",16,8.42,-2.9,5.0,0,0
Kayshon Boutte,6.10,4.50,1.56,18,1.75,18.3,10.4,1,Y,5112,8065,27.2,9.500,31.375,4.97,13.6,0,0,,Camerun Peoples,UDFA,96.1,4.61,1.56,217,28.6,123.4,47.3,"1,139",6,6.96,8.8,6.2,0,0
Trey Palmer,6.14,4.33,1.48,14,3.07,21.4,5.2,4,N,6002,8081,26.2,9.625,31.875,6.16,13.4,0,0,,Tavion Thomas,UDFA,93.9,4.74,1.68,237,32.1,110.0,28.5,"1,111",6,4.70,-8.4,5.2,0,0
A.T. Perry,6.18,4.47,1.50,17,2.49,21.9,12.8,4,N,6034,9006,24.7,9.250,33.250,9.85,15.6,0,0,,SaRodorick Thompson,UDFA,87.0,4.67,1.56,207,28.7,115.3,68.4,919,39,4.48,-2.0,4.9,0,0
Elijah Higgins,6.20,4.54,1.58,12,1.57,20.9,5.7,3,N,6030,8106,29.1,10.500,31.750,8.87,11.6,0,0,,Sean Tucker,UDFA,N/A,N/A,N/A,207,30.6,N/A,93.0,"1,751",36,N/A,1.9,5.4,0,0
Xavier Hutchinson ,6.28,4.53,1.55,30,2.44,18.3,6.4,1,N,6017,8092,27.2,9.375,31.375,7.25,11.5,0,0,,Mohamed Ibrahim,UDFA,N/A,N/A,N/A,203,30.9,N/A,56.2,"1,715",8,N/A,10.7,5.4,0,0
Andrei Iosivas,6.29,4.43,1.52,25,2.68,21.9,28.2,3,N,6027,8104,27.1,8.625,31.625,9.96,15.3,,,,Travis Dye,UDFA,74.5,4.82,1.71,201,28.8,99.4,63.9,"1,673",46,0.15,6.8,6.0,0,0
Demario Douglas ,6.33,4.44,1.54,18,2.51,20.7,-4.8,3,N,5082,8024,27.2,8.750,30.250,7.34,12.8,,,,Chris Smith,UDFA,93.8,4.51,1.42,194,29.3,120.2,51.0,930,21,5.46,-0.9,5.8,0,0
Antoine Green,7.02,4.47,1.51,9,1.61,N/A,43.9,N/A,N,6016,8097,26.1,9.000,32.125,8.68,19.0,0,0,,Tiyon Evans,UDFA,107.8,4.52,1.55,225,33.1,N/A,48.3,611,6,6.76,12.3,6.4,0,0
Colton Dowell,7.11,4.42,1.56,N/A,N/A,N/A,22.8,N/A,N,6027,8117,27.1,9.250,33.000,9.78,15.5,0,0,,Xazavian Valladay ,UDFA,97.7,4.52,1.56,204,28.4,129.5,88.6,"1,481",37,9.46,-2.2,5.3,0,0
Jalen Brooks,7.27,4.69,1.60,8,1.20,N/A,27.1,N/A,N,6010,8111,26.5,9.500,34.125,5.59,15.3,0,0,,Jaleel McLaughlin,UDFA,91.2,4.53,1.60,192,29.2,110.2,N/A,"1,884",19,3.90,20.5,6.3,,
Ronnie Bell,7.36,4.54,1.54,16,2.40,21.6,19.0,3,N,5115,8065,26.8,9.500,31.000,8.20,15.6,0,0,,Emari Demercado,UDFA,103.0,4.51,1.60,213,31.5,113.9,43.2,746,13,8.23,-13.4,4.8,,
Grant DuBose,7.39,4.57,1.52,27,2.26,20.2,7.3,3,N,6023,8102,25.8,9.500,31.875,8.78,13.4,0,0,,,,,,,,,,,,,,,,,
Jared Wayne,UDFA,4.73,1.54,17,2.72,21.9,22.4,4,N,6026,8117,26.7,9.750,33.125,9.24,15.8,0,0,,,,,,,,,,,,,,,,,
Tyler Hudson,UDFA,4.74,1.67,34,3.29,19.0,22.6,1,Y,6010,8091,25.9,9.125,32.125,1.75,15.0,0,0,,,,,,,,,,,,,,,,,
C.J. Johnson ,UDFA,4.66,1.69,22,2.10,18.8,33.9,1,N,6014,8094,29.6,10.250,32.000,3.82,16.3,0,0,,,,,,,,,,,,,,,,,
Matt Landers,UDFA,4.37,1.51,13,2.52,22.2,67.2,6,N,6043,9007,24.3,9.250,32.500,9.85,22.5,0,0,,,,,,,,,,,,,,,,,
Bryce Ford-Wheaton,UDFA,4.38,1.52,N/A,1.59,20.5,19.7,2,N,6036,9012,26.9,9.375,33.500,9.96,13.1,0,0,,,,,,,,,,,,,,,,,
Jake Bobo,UDFA,4.99,1.76,14,1.94,24.1,9.3,4,N,6040,9002,25.1,10.000,32.250,2.55,12.3,0,0,,,,,,,,,,,,,,,,,
Dontay Demus Jr.,UDFA,4.57,1.58,19,2.30,19.0,29.3,2,N,6030,9012,26.5,9.750,34.250,7.81,15.7,0,0,,,,,,,,,,,,,,,,,
Rakim Jarerett,UDFA,4.44,1.53,18,1.70,19.6,7.1,1,Y,5117,8072,26.8,9.375,31.375,8.41,13.0,0,0,,,,,,,,,,,,,,,,,
Joseph Ngata ,UDFA,4.54,1.60,9,1.10,N/A,33.7,N/A,N,6031,9002,27.1,10.250,33.125,7.30,14.6,0,0,,,,,,,,,,,,,,,,,
Jacob Copeleand,UDFA,4.42,1.50,9,1.55,N/A,23.1,N/A,N,5112,8067,28.0,8.625,31.625,8.15,15.6,0,0,,,,,,,,,,,,,,,,,
Jason Brownlee,UDFA,4.59,1.56,35,2.58,21.6,26.6,3,N,6020,8116,25.4,9.750,33.750,8.96,15.9,0,0,,,,,,,,,,,,,,,,,
