player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Lamar Radcliffe,188843,HB,S JOSE ST,8,67,11,3,18.0,57,0,316,1,0,11,210,48.6,10,13,285,3,39,30.6,70.9,81.4,,75.0,34.8,72.3,57.5,25,0,24,4,33,79,0,0,5,71,1,316,210,3.13,4.7,0.73,20
Byrd Ficklin,199457,QB,UTAH,12,66,20,7,56.9,294,0,471,0,0,15,284,118.3,18,25,328,3,47,33.9,90.0,82.4,75.2,,51.4,85.6,61.6,74,1,0,0,9,138,46,6,0,60,10,517,321,4.86,7.8,0.0,6
Fernando Mendoza,158323,QB,INDIANA,14,65,11,1,5.7,18,0,84,0,0,2,63,9.7,11,27,190,3,8,67.6,91.1,73.4,90.3,,,73.6,60.0,20,2,0,0,0,430,230,29,0,36,6,316,190,2.92,4.9,,12
Micah Alejado,184162,QB,HAWAII,11,66,10,0,0.0,0,0,30,0,0,3,36,11.2,8,10,180,2,6,74.3,79.9,79.8,81.7,,48.8,55.6,60.2,30,2,0,0,3,225,209,35,1,31,1,239,83,1.26,3.6,0.0,5
Jevon Edwards,198291,HB,COAST CAR,13,66,18,7,46.6,171,0,367,3,2,18,217,90.1,12,16,141,1,25,66.5,62.0,81.7,,36.4,37.4,69.2,50.7,43,1,31,7,61,104,0,0,10,73,1,367,217,3.29,5.6,0.51,41
Javen Jacobs,157190,HB,UTAH ST,13,65,7,7,59.8,256,0,428,0,5,7,216,37.3,11,18,329,1,15,76.1,72.1,87.0,,60.7,69.8,76.7,54.4,58,0,379,42,239,202,0,0,48,107,5,428,216,3.32,6.6,1.59,49
Caden Veltkamp,156642,QB,FAU,12,65,4,1,9.5,18,0,88,0,0,4,70,13.5,6,20,165,8,21,56.9,74.7,89.6,75.4,62.2,80.1,53.7,60.0,18,0,7,1,2,276,102,20,1,46,4,190,92,1.42,2.9,3.5,12
Michael Turner,204473,HB,BAYLOR,8,65,6,3,22.5,72,0,320,0,0,6,186,24.2,7,19,118,0,36,84.2,68.3,81.2,,50.2,58.6,70.1,56.9,40,0,21,6,68,77,0,0,7,71,1,320,186,2.86,4.9,0.31,27
Trent Battle,144683,HB,TCU,13,64,15,5,51.9,181,0,349,1,1,15,211,71.3,11,19,305,0,35,84.3,72.8,23.7,,56.2,49.2,80.8,71.1,65,1,65,10,102,84,0,0,13,74,6,349,211,3.3,5.5,0.64,27
Athan Kaliakmanis,144971,QB,RUTGERS,12,64,9,0,0.0,0,0,17,0,0,1,33,3.2,4,23,278,4,3,73.5,89.2,89.3,88.1,,57.0,64.3,60.0,15,0,0,0,0,371,147,32,0,32,4,164,115,1.8,2.6,,9
Ke'Travion Hargrove,146841,HB,DOMINION,12,64,8,2,16.4,44,0,268,1,3,8,184,45.2,9,16,263,1,42,65.0,67.6,81.8,,62.1,65.7,67.2,56.2,29,1,192,6,32,114,0,0,7,70,4,268,184,2.88,4.2,6.0,22
Jaylon Glover,158484,HB,UNLV,14,64,15,5,38.3,147,0,384,0,0,15,267,89.4,11,16,325,0,42,84.8,72.7,15.8,,70.5,52.5,76.8,53.4,43,1,51,6,66,88,0,0,7,70,1,384,267,4.17,6.0,0.77,22
Frank Peasant,121817,HB,MEMPHIS,13,63,25,3,20.3,56,0,276,0,0,25,240,132.3,13,23,218,1,13,65.1,75.0,81.3,,66.8,57.2,77.7,63.5,19,0,11,9,67,91,0,0,9,72,7,276,240,3.81,4.4,0.16,49
Cyncir Bowers,199540,HB,W VIRGINIA,10,63,4,4,34.8,86,0,247,2,5,4,131,26.4,4,10,343,2,15,47.0,55.4,82.2,,34.2,49.4,59.6,57.0,26,0,134,8,80,108,0,0,13,71,2,247,131,2.08,3.9,1.68,48
Anthony Woods,158969,HB,UCLA,11,63,14,4,29.6,87,0,294,1,12,14,242,114.8,8,11,324,0,19,84.0,71.4,83.0,,46.5,78.1,70.1,75.8,33,0,211,24,122,79,0,0,25,87,0,294,242,3.84,4.7,1.73,43
Evan Simon,129906,QB,TEMPLE,12,63,9,2,12.7,37,0,148,0,0,7,80,35.0,10,17,306,2,4,66.9,68.9,78.4,66.6,,51.6,65.2,60.0,34,2,0,0,3,298,143,23,0,40,2,291,113,1.79,4.6,0.0,30
Robert Briggs,163425,HB,SO MISS,11,63,14,4,24.7,75,0,304,1,1,14,193,61.3,10,15,296,1,28,65.1,65.8,81.4,,27.5,63.6,69.2,43.7,24,0,95,12,82,72,0,0,16,75,1,304,193,3.06,4.8,1.16,30
Trent Howland,144833,HB,OKLA STATE,10,63,7,2,16.3,42,0,257,0,4,7,185,46.8,6,16,262,3,30,29.2,64.4,14.6,50.2,56.7,56.3,67.4,66.3,24,1,37,6,66,77,0,0,9,69,3,257,185,2.94,4.1,0.56,32
Hunter Smith,155556,HB,TEMPLE,12,62,11,5,55.1,222,0,403,0,1,11,193,54.9,8,14,306,0,4,84.0,72.4,80.8,,36.2,66.1,74.0,48.7,72,0,54,6,54,82,0,0,10,68,2,403,193,3.11,6.5,1.0,58
Chris Johnson Jr.,175378,HB,SMU,11,62,12,7,59.4,275,0,463,1,5,12,171,60.1,12,17,287,0,25,84.0,71.9,81.5,,67.0,70.9,73.4,38.9,87,0,176,16,87,74,0,0,19,78,4,463,171,2.76,7.5,2.02,35
Jack Layne,158966,QB,NEW MEXICO,13,62,7,1,16.2,54,0,102,0,0,2,34,12.3,11,20,241,4,4,66.7,73.4,71.5,71.8,,31.2,67.6,60.3,54,2,2,1,5,329,232,39,2,24,4,334,143,2.31,5.4,0.4,3
Cameren Smith,161150,HB,CHARLOTTE,10,62,12,0,0.0,0,0,220,0,2,12,183,56.6,5,16,136,2,20,46.4,66.0,82.0,,26.4,63.5,69.8,57.2,13,0,57,11,84,75,0,0,14,73,0,220,183,2.95,3.5,0.68,41
Rashad Amos,124224,HB,GA STATE,10,62,21,4,30.8,82,0,266,2,6,21,239,144.6,6,12,175,2,20,47.1,62.8,10.2,,85.8,53.0,64.6,54.7,29,1,70,10,63,78,0,0,15,72,2,266,239,3.85,4.3,1.11,42
James Peoples,183706,HB,OHIO STATE,13,62,17,4,33.8,118,0,349,0,0,17,238,90.6,9,17,260,0,39,83.8,76.2,82.4,,21.0,64.6,80.0,57.3,49,0,50,10,79,86,0,0,11,72,3,349,238,3.84,5.6,0.63,20
Girard Pringle Jr.,200163,HB,MIAMI FL,9,62,10,6,37.9,142,0,375,0,1,10,222,59.7,9,17,220,0,35,83.7,76.0,80.6,,49.8,67.8,75.8,57.8,38,0,53,4,42,74,0,0,5,66,4,375,222,3.58,6.0,1.26,27
D'Shawntae Jones,188283,HB,MIAMI OH,12,62,16,3,30.0,83,0,277,0,0,16,208,86.6,6,27,221,0,4,83.9,79.8,77.8,,71.1,57.1,77.1,53.6,46,0,0,0,4,73,0,0,0,62,7,277,208,3.35,4.5,0.0,58
Davion Gause,183328,HB,N CAROLINA,12,61,11,2,16.3,42,0,257,0,6,11,168,60.8,11,14,245,1,30,83.6,72.6,83.1,,68.1,82.1,69.7,48.8,25,1,132,16,98,84,0,0,20,77,3,257,168,2.75,4.2,1.35,30
Dante Moore,173983,QB,OREGON,14,61,2,1,17.0,49,0,133,0,0,0,27,0.0,7,19,264,6,15,51.6,91.6,89.5,91.8,,,60.8,60.3,49,1,0,0,0,409,156,22,0,39,2,289,74,1.21,4.7,,5
Aidan Chiles,173727,QB,MICH STATE,9,61,23,5,36.4,150,0,255,0,0,12,104,74.2,13,29,223,7,2,29.7,63.4,86.1,56.6,,27.1,73.0,60.1,64,2,0,0,2,216,157,20,1,41,6,412,224,3.67,6.8,0.0,21
Jayden Denegal,158533,QB,S DIEGO ST,12,61,10,5,43.7,93,0,146,0,0,7,98,32.4,8,14,284,3,18,59.7,66.5,88.4,62.7,,54.3,65.3,60.2,29,0,0,0,1,398,67,15,1,46,4,213,144,2.36,3.5,0.0,9
Desmond Reid,159936,HB,PITTSBURGH,7,61,12,4,37.6,108,0,287,0,4,12,170,53.1,8,11,268,0,27,84.9,80.2,25.0,,36.6,91.3,74.3,58.4,53,1,310,23,123,73,0,0,26,84,2,287,170,2.79,4.7,2.52,30
Mason Heintschel,199088,QB,PITTSBURGH,10,61,15,0,0.0,0,0,24,0,0,1,19,3.3,13,15,268,8,7,52.1,61.0,88.0,58.8,62.2,,62.4,60.1,36,2,0,0,0,240,296,37,0,24,2,320,179,2.93,5.2,,6
Cade Harris,157896,WR,AIR FORCE,12,60,4,3,25.2,83,0,330,2,3,4,155,19.0,10,18,101,0,14,87.3,72.5,39.9,,68.5,84.4,68.0,51.4,49,2,584,35,161,410,0,0,52,95,4,330,155,2.58,5.5,3.63,30
Gideon Davidson,199633,HB,CLEMSON,13,60,12,3,23.1,60,0,260,1,1,12,163,49.7,5,12,140,0,27,83.6,69.4,82.0,,61.0,61.5,71.4,58.0,28,0,93,11,85,78,0,0,12,71,0,260,163,2.72,4.3,1.09,31
PJ Martin,172310,HB,S ALABAMA,8,60,17,4,30.2,98,0,324,0,3,17,257,131.8,7,15,288,1,41,64.3,80.4,80.9,,43.3,75.5,79.2,66.6,36,0,49,5,49,78,0,0,7,65,2,324,257,4.28,5.4,1.0,19
Jaziun Patterson,156421,HB,IOWA,10,60,10,1,5.7,17,0,296,0,0,10,227,60.1,8,17,192,0,17,83.7,77.5,80.8,,45.0,71.9,77.9,41.2,17,0,9,3,25,83,0,0,3,63,0,296,227,3.78,4.9,0.36,43
Brandon Ramirez,173514,FB,FRESNO ST,13,60,14,4,25.5,69,0,271,1,0,14,182,65.3,8,26,169,0,38,83.6,79.6,83.4,,29.9,58.1,82.0,60.0,19,0,52,5,35,130,0,0,6,65,3,271,182,3.03,4.5,1.49,22
TJ Engleman Jr.,184620,HB,E CAROLINA,10,60,11,2,13.3,41,0,308,0,2,11,190,61.4,8,12,156,1,12,63.9,81.1,80.3,,83.8,67.4,80.0,57.2,23,0,37,7,37,76,0,0,8,67,1,308,190,3.17,5.1,1.0,48
James Laubstein,190465,QB,NEW MEXICO,9,60,19,5,40.3,149,0,340,0,1,13,195,85.5,13,19,241,1,38,64.4,88.7,78.4,72.3,65.5,89.7,78.0,60.0,58,0,13,1,1,69,30,4,1,57,1,370,235,3.92,6.2,13.0,10
Gideon Ituka,183661,HB,WISCONSIN,6,60,14,2,13.7,35,0,255,0,0,14,188,71.9,5,14,349,1,22,63.4,75.1,0.0,,31.2,55.0,80.2,59.4,18,3,0,1,31,98,0,0,2,61,0,255,188,3.13,4.3,0.0,38
Kamario Taylor,198868,QB,MISS STATE,10,60,18,3,19.4,80,0,222,0,0,9,149,63.4,14,28,227,1,26,69.9,86.5,54.1,61.4,61.2,56.6,90.3,60.0,39,1,0,0,3,98,191,14,0,46,7,413,264,4.4,6.9,0.0,14
TJ Horton,173999,HB,BALL ST,10,60,12,0,0.0,0,0,173,1,3,12,145,47.1,5,7,117,0,25,83.9,67.1,83.7,,27.5,74.3,66.7,45.8,13,1,73,17,74,110,0,0,19,77,0,173,145,2.42,2.9,0.99,33
Isaiah West,199862,HB,OHIO STATE,11,59,17,4,31.3,97,0,310,0,0,17,199,94.0,11,17,260,0,26,83.5,75.6,80.8,,48.2,61.3,75.1,59.5,38,0,12,2,33,65,0,0,2,61,2,310,199,3.37,5.3,0.36,33
Terrance Shelton Jr.,188159,HB,BUFFALO,9,59,4,2,14.1,35,0,248,0,2,4,149,22.6,6,15,126,0,13,84.1,65.4,82.5,,71.1,59.3,67.9,44.8,20,0,42,8,95,104,0,0,9,67,1,248,149,2.53,4.2,0.44,45
Kevin Riley,191139,HB,ALABAMA,11,59,8,1,9.8,22,0,224,1,5,8,157,44.4,5,12,103,0,31,83.7,72.0,81.8,,51.1,75.5,70.6,53.5,22,0,176,19,79,65,0,0,21,78,2,224,157,2.66,3.8,2.23,28
Jo'Shon Barbie,160174,HB,MARSHALL,9,58,13,5,42.7,105,0,246,0,0,13,168,59.8,7,17,214,0,10,83.1,71.0,82.4,,88.0,55.2,74.8,47.8,28,0,30,5,66,99,0,0,5,63,5,246,168,2.9,4.2,0.45,46
Ty Clark III,190943,HB,WAKE,12,58,18,1,6.5,15,0,232,0,8,18,170,105.8,8,19,339,0,26,83.5,71.8,83.5,,77.5,67.1,73.5,61.1,15,0,136,14,137,125,0,0,19,72,3,232,170,2.93,4.0,0.99,32
Joey Aguilar,174978,QB,TENNESSEE,13,58,4,2,22.1,55,0,101,0,0,3,50,13.0,6,15,307,8,14,51.0,90.5,89.7,90.6,,,57.8,60.1,28,4,0,0,0,410,148,24,0,34,4,249,84,1.45,4.3,,9
Ashton Gray,190611,HB,N TEXAS,10,58,15,7,50.1,189,0,377,0,1,15,220,102.9,10,18,251,1,14,62.3,76.7,0.0,58.0,51.8,54.9,78.6,59.5,51,1,9,1,36,71,0,0,1,59,5,377,220,3.79,6.5,0.25,41
Kade Frew,173863,FB,AIR FORCE,12,58,16,1,5.9,17,0,287,1,3,16,146,73.6,11,18,101,0,23,83.7,69.2,87.3,,68.6,51.0,78.3,57.6,17,0,52,7,90,402,0,0,11,65,2,287,146,2.52,4.9,0.58,25
Logan Fife,128176,QB,NEW MEX ST,10,58,5,2,17.6,39,0,102,0,0,0,22,0.0,11,17,242,10,10,29.5,60.4,88.2,61.7,81.4,,51.4,60.0,24,1,0,0,0,224,119,25,0,33,1,221,112,1.93,3.8,,10
Kanye Udoh,171024,HB,ARIZONA ST,11,57,13,3,26.4,65,0,246,1,0,13,141,55.4,8,16,110,0,36,83.4,63.9,82.3,,47.0,41.0,69.2,31.4,25,0,6,1,34,79,0,0,2,58,2,246,141,2.47,4.3,0.18,20
Ofa Mataele,200038,HB,W MICHIGAN,12,57,10,2,16.9,43,0,254,1,0,10,164,46.4,7,18,347,0,30,83.3,67.3,11.7,,20.1,47.1,73.6,68.7,22,1,8,5,67,90,0,0,6,62,3,254,164,2.88,4.5,0.12,27
Elijah Green,122836,HB,SM HOUSTON,8,57,14,6,59.7,231,0,387,1,5,14,246,113.9,11,16,281,0,18,83.0,76.7,81.5,,47.3,69.5,80.4,55.0,80,0,133,15,82,68,0,0,17,72,2,387,246,4.32,6.8,1.62,36
Jason Patterson,184636,HB,KENTUCKY,11,57,8,2,20.4,46,1,225,1,4,8,150,42.7,5,11,202,0,26,83.3,72.6,6.2,,45.6,70.9,74.0,60.0,29,1,85,17,83,58,0,0,20,74,1,225,150,2.63,3.9,1.02,30
Caden Williams,184698,HB,LIBERTY,7,57,7,2,19.4,48,0,248,0,0,7,169,36.4,6,9,206,2,25,40.0,60.3,81.3,,82.9,49.6,61.1,52.5,25,0,0,0,44,87,0,0,0,57,0,248,169,2.96,4.4,0.0,32
Maurki James,190066,HB,DOMINION,9,56,7,3,25.5,60,0,235,0,1,7,164,37.8,6,14,263,2,31,46.6,69.5,80.6,,81.3,47.7,71.2,56.6,30,0,39,6,40,79,0,0,8,62,2,235,164,2.93,4.2,0.98,25
Solomon Beebe,190756,HB,UAB,12,56,17,4,39.6,134,0,338,3,13,17,305,187.8,9,18,321,1,19,55.9,76.4,84.7,,66.0,73.7,76.6,62.6,81,0,284,31,152,103,0,0,38,87,6,338,305,5.45,6.0,1.87,37
Christian Clark,184505,HB,TEXAS,8,56,12,1,9.3,22,0,237,0,2,12,122,50.8,7,17,311,0,30,83.3,71.5,82.3,,42.4,61.2,73.7,69.8,22,0,57,4,79,67,0,0,7,60,2,237,122,2.18,4.2,0.72,26
Sam Leavitt,175465,QB,ARIZONA ST,7,56,18,1,4.5,18,0,76,0,0,2,45,11.5,18,25,110,3,11,65.6,76.4,74.7,67.4,,,83.2,60.1,52,2,0,0,0,200,322,28,0,28,5,398,309,5.52,7.1,,3
Carson Smith,171016,HB,ARMY,10,56,4,0,0.0,0,0,236,1,0,4,141,18.0,2,12,114,0,14,83.1,66.6,84.7,,51.5,30.3,70.0,58.9,11,0,0,0,10,183,0,0,1,56,2,236,141,2.52,4.2,0.0,7
Ta'Quan Roberson,101625,QB,BUFFALO,11,55,6,1,14.1,40,0,118,0,0,4,83,32.4,9,18,126,9,16,30.1,58.1,60.6,57.1,,,61.1,60.1,40,6,0,0,0,270,165,23,0,32,3,283,147,2.67,5.1,,12
Jacob Clark,101628,QB,MO STATE,12,55,7,0,0.0,0,0,20,0,0,1,9,2.6,10,17,230,5,1,74.0,84.7,62.7,84.5,,81.4,60.9,60.1,14,3,29,1,2,260,218,37,2,19,3,238,139,2.53,4.3,14.5,5
Braylen Russell,184393,HB,ARKANSAS,9,55,12,5,33.9,97,0,286,1,1,12,178,71.3,6,17,111,1,31,62.1,74.6,82.7,,29.2,50.2,81.1,56.4,23,0,27,4,55,85,0,0,5,59,5,286,178,3.24,5.2,0.49,19
Brandon Chatman,162541,HB,NAVY,12,53,16,7,40.9,169,2,382,4,3,16,158,82.1,16,21,237,0,25,86.6,61.3,24.9,,75.5,48.5,76.9,55.6,36,4,158,16,169,496,0,0,24,69,3,413,158,2.98,7.8,0.93,15
Khalil Wilkins,189946,QB,W VIRGINIA,6,55,14,4,27.6,69,0,222,0,0,12,130,67.7,9,14,343,4,23,24.2,48.3,49.4,35.1,62.2,,62.1,60.0,20,1,0,0,0,97,28,7,0,48,2,250,159,2.89,4.5,,17
Ashton Daniels,157259,QB,AUBURN,4,55,7,2,9.3,31,0,147,0,0,2,71,13.9,11,17,115,1,24,66.8,71.2,63.3,64.0,,,72.0,60.0,26,2,0,0,0,101,187,23,0,32,2,334,174,3.16,6.1,,3
Cameran Brown,184894,QB,GA STATE,10,55,17,3,14.2,45,0,188,0,0,9,117,71.1,13,20,175,4,13,54.1,78.6,41.2,77.5,,,68.4,60.0,22,4,0,1,0,157,128,17,1,39,4,316,201,3.65,5.7,,14
Chandler Morris,122938,QB,VIRGINIA,14,55,10,2,17.4,60,0,128,0,0,4,31,15.8,11,18,335,4,5,64.7,78.4,82.8,74.4,62.2,59.9,73.4,60.2,42,2,0,0,1,420,216,27,0,28,5,344,137,2.49,6.3,0.0,6
Xavier Terrell,169927,HB,FAU,5,54,5,0,0.0,0,0,166,1,6,5,97,29.5,3,13,165,0,22,82.9,62.1,81.6,,51.6,52.5,65.8,54.7,14,0,89,13,99,61,0,0,17,67,1,166,97,1.8,3.1,0.9,32
Quincy Craig,159061,HB,ARIZONA,11,54,8,6,48.9,160,0,327,1,5,8,138,48.1,9,16,109,2,22,46.3,64.2,26.4,,27.6,55.6,71.0,70.7,54,1,115,15,127,76,0,0,16,69,2,327,138,2.56,6.1,0.91,31
CJ Baxter,173153,HB,TEXAS,8,54,5,1,9.3,18,0,193,1,0,5,130,18.2,4,10,311,1,30,63.2,60.8,82.1,,33.4,56.2,63.3,58.5,18,0,41,12,74,62,0,0,13,66,0,193,130,2.41,3.6,0.55,23
Malachi Thomas,144107,HB,PURDUE,12,53,5,1,23.5,57,0,243,0,1,5,151,26.7,5,10,273,0,22,82.7,70.6,81.9,,80.7,76.2,68.2,56.7,57,0,99,11,88,77,0,0,13,64,0,243,151,2.85,4.6,1.13,30
Jalen John,131577,HB,COAST CAR,11,53,9,0,0.0,0,0,167,0,4,9,118,50.8,2,9,141,0,10,82.7,64.1,79.6,,27.9,75.6,63.8,55.5,11,0,54,4,32,72,0,0,4,57,0,167,118,2.23,3.2,1.69,43
Kevin Jennings,158272,QB,SMU,12,53,7,0,0.0,0,0,60,0,0,0,24,0.0,8,16,287,4,15,63.0,81.3,89.2,80.5,,52.1,61.4,60.1,26,1,0,0,2,314,173,26,1,27,4,233,114,2.15,4.4,0.0,6
Hunter Watson,183993,QB,SM HOUSTON,7,53,8,3,29.5,112,0,185,0,0,4,59,41.0,10,16,281,6,8,39.5,60.4,27.4,61.9,,55.4,58.6,60.0,55,5,0,0,1,133,195,29,0,24,2,380,119,2.25,7.2,0.0,9
Josh McCray,144799,HB,GEORGIA,13,53,4,1,12.6,17,0,135,0,0,4,118,15.9,1,13,173,0,23,83.0,70.2,79.8,,78.6,55.5,72.3,36.4,17,0,5,3,33,64,0,0,4,56,3,135,118,2.23,2.5,0.15,29
Ramone Green Jr.,171449,HB,MO STATE,13,53,17,4,36.3,102,0,281,0,8,17,191,111.2,11,13,230,0,32,82.6,81.1,84.0,,63.5,89.6,81.9,57.6,45,0,428,28,147,65,0,0,35,81,1,281,191,3.6,5.3,2.91,19
Rocko Griffin,124350,HB,UMASS,9,53,5,5,57.6,141,1,245,0,5,5,188,56.3,5,11,216,1,31,61.7,61.0,82.2,,6.9,59.6,68.4,62.7,43,1,61,10,88,68,0,0,11,63,2,245,188,3.55,4.6,0.69,22
Khristian Lando,189795,HB,JVILLE ST,14,52,6,4,32.3,65,0,201,1,2,6,126,35.2,5,12,196,0,16,82.7,62.9,81.7,,71.6,48.3,66.6,55.2,17,0,29,3,65,113,0,0,6,55,1,201,126,2.42,3.9,0.45,36
Ryan Browne,174949,QB,PURDUE,12,52,10,0,0.0,0,0,65,0,0,5,27,28.0,12,16,273,6,14,58.8,69.7,88.1,67.3,,90.9,62.2,60.5,16,1,11,2,3,243,201,31,2,23,4,266,127,2.44,5.1,3.67,4
Samuel Singleton Jr.,170356,HB,FLORIDA ST,8,51,11,7,54.7,197,0,360,0,1,11,195,88.2,10,14,167,0,8,82.6,85.3,78.4,,62.7,61.5,83.3,56.1,53,0,16,1,15,65,0,0,1,52,4,360,195,3.82,7.1,1.07,38
Gavin Wimsatt,155757,QB,JVILLE ST,13,51,13,1,14.7,44,0,208,0,0,8,118,51.1,10,17,196,3,22,55.3,74.9,68.1,67.9,76.5,56.7,74.1,61.5,44,2,24,2,15,209,91,9,3,44,4,299,165,3.24,5.9,1.6,16
Xavier Brown,156371,HB,VIRGINIA,7,51,5,1,8.3,20,0,241,1,0,5,142,24.9,7,16,335,0,9,82.4,72.8,81.2,,24.1,55.1,76.1,58.2,20,0,36,5,51,56,0,0,9,56,1,241,142,2.78,4.7,0.71,42
Jariel Cobb,204765,HB,CHARLOTTE,7,51,6,1,11.1,21,0,190,0,2,6,139,37.0,6,9,136,1,16,60.5,58.7,80.3,,16.0,66.3,62.9,58.1,21,0,49,8,64,62,0,0,12,59,0,190,139,2.73,3.7,0.77,35
Cornell Hatcher Jr.,191215,HB,OREGON ST,12,51,10,3,30.5,89,0,292,2,1,10,199,76.6,8,13,265,2,15,39.2,63.0,80.7,,40.5,43.0,68.6,55.6,42,0,17,5,52,67,0,0,9,56,2,292,199,3.9,5.7,0.33,36
DJ Lagway,184426,QB,FLORIDA,12,51,20,2,26.2,64,0,151,0,0,9,104,104.0,5,15,163,4,12,58.2,66.4,88.7,62.2,,60.0,69.4,60.7,38,0,0,0,1,315,93,21,0,30,1,244,219,4.29,4.8,0.0,7
Jon Denman,199271,HB,TCU,10,50,9,1,9.0,16,0,178,1,0,9,122,41.4,4,16,305,0,21,82.5,66.8,79.3,,52.8,45.2,69.2,59.7,16,0,6,3,23,57,0,0,4,53,3,178,122,2.44,3.6,0.26,26
Arnold Barnes III,169972,HB,TULANE,13,50,11,0,0.0,0,0,219,2,1,11,142,65.5,7,10,319,1,25,59.2,65.1,11.9,,64.0,44.2,68.8,63.9,14,1,16,2,49,90,0,0,4,52,0,219,142,2.84,4.4,0.33,24
A'Marion Peterson,174165,HB,UTSA,11,49,13,0,0.0,0,0,177,1,1,13,138,77.3,5,10,331,1,20,58.3,61.3,79.5,,36.8,46.4,65.5,56.1,14,0,7,2,31,57,0,0,3,51,3,177,138,2.82,3.6,0.23,28
Jayden Maiava,158135,QB,USC,13,49,10,5,37.1,88,0,173,0,0,7,88,36.6,11,20,326,4,12,63.2,86.9,89.5,81.8,,60.0,77.8,60.3,21,3,0,0,2,373,64,8,0,41,6,237,145,2.96,4.8,0.0,16
Duke Watson,190596,HB,LOUISVILLE,7,49,16,1,9.5,15,0,158,0,1,16,130,82.0,3,8,210,2,23,36.8,64.4,81.1,,29.7,62.0,66.0,58.9,15,0,49,6,56,59,0,0,8,55,1,158,130,2.65,3.2,0.88,26
Justin Marshall,173460,HB,COLO STATE,10,49,21,2,35.4,91,0,257,2,8,21,207,214.9,7,11,144,1,18,60.1,73.1,79.9,,22.6,58.1,76.9,70.1,73,0,74,8,61,61,0,0,11,57,1,257,207,4.22,5.2,1.21,31
David Mbadinga,174136,HB,GA SOUTHRN,7,49,10,1,8.1,16,0,198,0,3,10,144,70.7,6,10,174,0,34,82.4,71.0,81.3,,56.6,57.6,72.8,77.5,16,0,18,5,72,74,0,0,5,54,1,198,144,2.94,4.0,0.25,13
Kenny Tracy,130531,HB,MIAMI OH,5,49,5,5,35.3,96,0,272,0,2,5,141,33.6,11,15,221,1,6,60.5,73.4,81.1,,72.9,76.1,69.9,58.6,21,0,121,11,35,63,0,0,11,60,1,272,141,2.88,5.6,3.46,43
Byron Cardwell Jr.,86353,HB,S DIEGO ST,11,48,15,6,43.8,117,0,267,0,4,15,187,139.7,9,14,284,0,19,82.3,79.9,80.6,,86.0,76.2,77.1,57.8,22,0,108,5,23,82,0,0,6,53,1,267,187,3.9,5.6,4.7,29
Xavier Williams,189698,HB,IOWA,10,48,6,4,41.7,118,0,283,1,2,6,157,48.5,6,10,192,0,14,82.0,64.4,81.8,,39.8,56.2,69.1,48.3,43,0,40,6,56,80,0,0,7,54,3,283,157,3.27,5.9,0.71,34
Kalieb Osborne,184132,QB,TOLEDO,7,48,20,5,34.6,112,0,218,0,0,12,153,179.3,11,21,316,4,14,29.6,74.0,81.4,63.5,,,73.5,60.4,33,0,0,0,0,107,106,16,0,32,2,324,225,4.69,6.8,,10
Kaderris Roberts,149713,HB,BOWL GREEN,10,48,15,1,7.0,15,0,215,0,3,15,148,79.3,10,11,122,2,29,45.9,62.8,81.2,,74.6,67.5,59.4,65.2,15,0,141,22,77,68,0,0,30,70,0,215,148,3.08,4.5,1.83,16
Eli Sanders,144541,HB,USC,6,47,7,8,51.1,135,0,264,0,2,7,128,44.6,9,13,326,0,30,82.0,68.8,79.9,,56.5,65.3,69.7,53.7,20,0,126,8,58,61,0,0,8,55,2,264,128,2.72,5.6,2.17,15
Carson Beck,124010,QB,MIAMI FL,14,47,1,0,0.0,0,0,25,0,0,0,9,0.0,2,6,220,1,1,73.8,77.6,82.4,80.2,,59.6,48.9,60.5,11,2,14,1,9,415,103,27,2,21,1,128,62,1.32,2.7,1.56,6
CJ Stokes,162827,HB,CHARLOTTE,5,47,4,2,24.8,37,0,149,2,0,4,89,14.6,4,7,136,3,16,24.9,51.8,79.8,,58.5,41.3,54.1,57.8,21,0,37,5,43,55,0,0,8,52,1,149,89,1.89,3.2,0.86,31
Josh Holst,171312,QB,N ILLINOIS,7,47,10,2,14.7,33,0,75,0,0,3,45,37.4,5,9,254,1,2,64.6,48.7,85.1,47.9,,55.4,53.9,60.3,36,1,0,0,1,210,149,28,0,19,1,224,127,2.7,4.8,0.0,11
Maddux Madsen,163379,QB,BOISE ST,11,47,13,0,0.0,0,0,10,0,0,0,8,0.0,7,15,120,3,3,62.0,69.8,88.2,67.5,,,63.9,60.0,25,3,0,0,0,294,186,31,0,16,4,196,100,2.13,4.2,,0
Malachi Singleton,172426,QB,PURDUE,11,47,4,2,26.5,58,0,172,0,0,3,141,22.9,8,12,273,1,33,79.5,69.9,80.4,65.7,,,67.2,60.5,40,0,0,0,0,77,47,4,0,43,1,219,169,3.6,4.7,,9
