season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,name_clean,best_ppr,best_ppg,best_season,hit24,hit12,games_fantasy
2023,6,193,WAS,00-0038611,RodrCh00,christopher-rodriguez-jr-1,Chris Rodriguez,False,RB,RB,O,Kentucky,22.0,2025.0,0,0,0,6.0,,6.0,35.0,0.0,0.0,0.0,0.0,0.0,198.0,920.0,10.0,6.0,54.0,0.0,4.0,,,chris rodriguez,31.5,5.25,2024.0,0,0,6.0
2023,6,195,NOR,00-0038612,PerrAT00,at-perry-1,A.T. Perry,False,WR,WR,O,Wake Forest,23.0,2023.0,0,0,0,2.0,,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,246.0,4.0,,,,at perry,60.6,7.574999809265137,2023.0,0,0,8.0
2023,6,197,MIA,00-0039041,HiggEl00,elijah-higgins-1,Elijah Higgins,False,WR,WR,O,Stanford,22.0,2025.0,0,0,0,6.0,,,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,636.0,3.0,6.0,,,elijah higgins,0.0,0.0,,0,0,
2023,6,205,HOU,00-0038618,HutcXa00,xavier-hutchinson-1,Xavier Hutchinson,False,WR,WR,O,Iowa St.,23.0,2025.0,0,0,0,6.0,,6.0,49.0,0.0,0.0,0.0,0.0,0.0,8.0,71.0,0.0,55.0,635.0,3.0,3.0,,,xavier hutchinson,37.3,2.331249952316284,2024.0,0,0,16.0
2023,6,206,CIN,00-0038619,IosiAn00,,Andrei Iosivas,False,WR,WR,O,Princeton,23.0,2025.0,0,0,1,9.0,,9.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,84.0,1030.0,12.0,3.0,,,andrei iosivas,119.9,7.052941266228171,2024.0,0,0,17.0
2023,6,210,NWE,00-0038621,DougDe00,demario-douglas-1,DeMario Douglas,False,WR,WR,O,Liberty,22.0,2025.0,0,0,0,12.0,,12.0,48.0,0.0,0.0,0.0,0.0,0.0,18.0,78.0,0.0,146.0,1629.0,6.0,,,,demario douglas,147.7,9.231249809265137,2024.0,0,0,16.0
2023,6,212,DAL,00-0038622,VaugDe00,deuce-vaughn-1,Deuce Vaughn,False,RB,RB,O,Kansas St.,21.0,2024.0,0,0,0,1.0,,1.0,14.0,0.0,0.0,0.0,0.0,0.0,40.0,110.0,0.0,10.0,58.0,0.0,,,,deuce vaughn,15.0,2.5,2023.0,0,0,6.0
2023,6,215,LAR,00-0039136,EvanZa00,zach-evans-1,Zach Evans,False,RB,RB,O,Mississippi,22.0,2023.0,0,0,0,0.0,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,0.0,0.0,0.0,0.0,,,,zach evans,1.9000001,0.4750000238418579,2023.0,0,0,4.0
2023,7,219,DET,00-0038627,GreeAn00,antoine-green-1,Antoine Green,False,WR,WR,O,North Carolina,23.0,2023.0,0,0,0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,antoine green,1.2,0.6000000238418579,2023.0,0,0,2.0
2023,7,222,MIN,00-0039046,McBrDe00,dewayne-mcbride-1,DeWayne McBride,False,RB,RB,O,Ala-Birmingham,22.0,,0,0,0,,,,,,,,,,,,,,,,,,,dewayne mcbride,0.0,0.0,,0,0,
2023,7,228,TEN,00-0038632,DoweCo00,,Colton Dowell,False,WR,WR,O,UT Martin,24.0,2023.0,0,0,0,0.0,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,,,colton dowell,1.3,0.6499999761581421,2023.0,0,0,2.0
2023,7,235,GNB,00-0038409,NichLe00,lew-nichols-1,Lew Nichols,False,RB,RB,O,Central Michigan,22.0,2025.0,0,0,0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,lew nichols,0.0,0.0,,0,0,
