player_name,draft_year,pick,round,college,games_played,games_source
Auden Tate,2018,253,7,Florida St.,12.0,PFF
Austin Proehl,2018,255,7,North Carolina,6.0,PFF
Trey Quinn,2018,256,7,SMU,13.0,PFF
Marquise Brown,2019,25,1,Oklahoma,14.0,PFF
N'Keal Harry,2019,32,1,Arizona St.,12.0,PFF
Deebo Samuel,2019,36,2,South Carolina,12.0,PFF
A.J. Brown,2019,51,2,Mississippi,12.0,PFF
Mecole Hardman,2019,56,2,Georgia,14.0,PFF
JJ Arcega-Whiteside,2019,57,2,Stanford,12.0,PFF
Parris Campbell,2019,59,2,Ohio St.,14.0,PFF
Andy Isabella,2019,62,2,Massachusetts,12.0,PFF
D.K. Metcalf,2019,64,2,Mississippi,7.0,PFF
Diontae Johnson,2019,66,3,Toledo,13.0,PFF
Jalen Hurd,2019,67,3,Baylor,12.0,PFF
Terry McLaurin,2019,76,3,Ohio St.,14.0,PFF
Miles Boykin,2019,93,3,Notre Dame,13.0,PFF
Hakeem Butler,2019,103,4,Iowa St.,13.0,PFF
Gary Jennings Jr,2019,120,4,West Virginia,11.0,PFF
Riley Ridley,2019,126,4,Georgia,14.0,PFF
Hunter Renfrow,2019,149,5,Clemson,15.0,PFF
Darius Slayton,2019,171,5,Auburn,12.0,PFF
KeeSean Johnson,2019,174,6,Fresno St.,14.0,PFF
Travis Fulgham,2019,184,6,Old Dominion,12.0,PFF
Juwann Winfree,2019,187,6,Colorado,8.0,PFF
Marcus Green,2019,203,6,La-Monroe,12.0,PFF
Kelvin Harmon,2019,206,6,North Carolina St.,12.0,PFF
Scott Miller,2019,208,6,Bowling Green,11.0,PFF
John Ursua,2019,236,7,Hawaii,13.0,PFF
Terry Godwin,2019,237,7,Georgia,13.0,PFF
Dillon Mitchell,2019,239,7,Oregon,13.0,PFF
Olabisi Johnson,2019,247,7,Colorado St.,11.0,PFF
Henry Ruggs III,2020,12,1,Alabama,12.0,PFF
Jerry Jeudy,2020,15,1,Alabama,13.0,PFF
CeeDee Lamb,2020,17,1,Oklahoma,13.0,PFF
Jalen Reagor,2020,21,1,TCU,12.0,PFF
Justin Jefferson,2020,22,1,LSU,15.0,PFF
Brandon Aiyuk,2020,25,1,Arizona St.,12.0,PFF
Tee Higgins,2020,33,2,Clemson,15.0,PFF
Michael Pittman Jr.,2020,34,2,USC,13.0,PFF
Laviska Shenault Jr.,2020,42,2,Colorado,11.0,PFF
KJ Hamler,2020,46,2,Penn St.,13.0,PFF
Chase Claypool,2020,49,2,Notre Dame,13.0,PFF
Van Jefferson,2020,57,2,Florida,13.0,PFF
Denzel Mims,2020,59,2,Baylor,14.0,PFF
Lynn Bowden Jr.,2020,80,3,Kentucky,13.0,PFF
Bryan Edwards,2020,81,3,South Carolina,10.0,PFF
Devin Duvernay,2020,92,3,Texas,13.0,PFF
Gabriel Davis,2020,128,4,Central Florida,12.0,PFF
Antonio Gandy-Golden,2020,142,4,Liberty,12.0,CFBD (receiving games)
Joe Reed,2020,151,5,Virginia,13.0,PFF
Tyler Johnson,2020,161,5,Minnesota,13.0,PFF
Collin Johnson,2020,165,5,Texas,7.0,PFF
Quintez Cephus,2020,166,5,Wisconsin,14.0,PFF
John Hightower,2020,168,5,Boise St.,14.0,PFF
Isaiah Coulter,2020,171,5,Rhode Island,2.0,"CFBD (FCS, likely incomplete)"
Darnell Mooney,2020,173,5,Tulane,13.0,PFF
K.J. Osborn,2020,176,5,Miami (FL),13.0,PFF
Donovan Peoples-Jones,2020,187,6,Michigan,11.0,PFF
Quez Watkins,2020,200,6,Southern Miss,11.0,PFF
James Proche,2020,201,6,SMU,13.0,PFF
Isaiah Hodgins,2020,207,6,Oregon St.,12.0,PFF
Dezmon Patmon,2020,212,6,Washington St.,13.0,PFF
Freddie Swain,2020,214,6,Florida,12.0,PFF
Jauan Jennings,2020,217,7,Tennessee,13.0,PFF
K.J. Hill,2020,220,7,Ohio St.,14.0,PFF
Tyrie Cleveland,2020,252,7,Florida,13.0,PFF
Ja'Marr Chase,2021,5,1,LSU,14.0,PFF
Jaylen Waddle,2021,6,1,Alabama,5.0,PFF
DeVonta Smith,2021,10,1,Alabama,13.0,PFF
Kadarius Toney,2021,20,1,Florida,11.0,PFF
Rashod Bateman,2021,27,1,Minnesota,5.0,PFF
Elijah Moore,2021,34,2,Mississippi,8.0,PFF
Rondale Moore,2021,49,2,Purdue,3.0,PFF
D'Wayne Eskridge,2021,56,2,Western Michigan,6.0,PFF
Tutu Atwell,2021,57,2,Louisville,9.0,PFF
Terrace Marshall Jr.,2021,59,2,LSU,7.0,PFF
Josh Palmer,2021,77,3,Tennessee,10.0,PFF
Dyami Brown,2021,82,3,North Carolina,11.0,PFF
Amari Rodgers,2021,85,3,Clemson,12.0,PFF
Nico Collins,2021,89,3,Michigan,12.0,PFF
Anthony Schwartz,2021,91,3,Auburn,10.0,PFF
Dez Fitzpatrick,2021,109,4,Louisville,11.0,PFF
Amon-Ra St. Brown,2021,112,4,USC,6.0,PFF
Jaelon Darden,2021,129,4,North Texas,9.0,PFF
Tylan Wallace,2021,131,4,Oklahoma St.,9.0,PFF
Jacob Harris,2021,141,4,Central Florida,10.0,PFF
Ihmir Smith-Marsette,2021,157,5,Iowa,7.0,PFF
Simi Fehoko,2021,179,5,Stanford,6.0,PFF
Cornell Powell,2021,181,5,Clemson,12.0,PFF
Frank Darby,2021,187,6,Arizona St.,3.0,PFF
Marquez Stevenson,2021,203,6,Houston,5.0,PFF
Shi Smith,2021,204,6,South Carolina,9.0,PFF
Racey McMath,2021,205,6,LSU,6.0,PFF
Jalen Camp,2021,209,6,Georgia Tech,10.0,PFF
Seth Williams,2021,219,6,Auburn,11.0,PFF
Dazz Newsome,2021,221,6,North Carolina,12.0,PFF
Mike Strachan,2021,229,7,Charleston (WV),,no_data (D2/NAIA)
Tre Nixon,2021,242,7,Central Florida,4.0,PFF
Ben Skowronek,2021,249,7,Notre Dame,10.0,PFF
Kawaan Baker,2021,255,7,South Alabama,10.0,PFF
Dax Milne,2021,258,7,BYU,11.0,CFBD (receiving games)
Drake London,2022,8,1,USC,8.0,PFF
Garrett Wilson,2022,10,1,Ohio St.,11.0,PFF
Chris Olave,2022,11,1,Ohio St.,12.0,PFF
Jameson Williams,2022,12,1,Alabama,15.0,PFF
Jahan Dotson,2022,16,1,Penn St.,12.0,PFF
Treylon Burks,2022,18,1,Arkansas,12.0,PFF
Christian Watson,2022,34,2,North Dakota St.,15.0,CFBD (team games)
Wan'Dale Robinson,2022,43,2,Kentucky,13.0,PFF
John Metchie,2022,44,2,Alabama,13.0,PFF
Tyquan Thornton,2022,50,2,Baylor,14.0,PFF
George Pickens,2022,52,2,Georgia,4.0,PFF
Alec Pierce,2022,53,2,Cincinnati,14.0,PFF
Skyy Moore,2022,54,2,Western Michigan,12.0,PFF
Velus Jones Jr.,2022,71,3,Tennessee,13.0,PFF
Jalen Tolbert,2022,88,3,South Alabama,12.0,PFF
David Bell,2022,99,3,Purdue,11.0,PFF
Danny Gray,2022,105,3,SMU,10.0,PFF
Erik Ezukanma,2022,125,4,Texas Tech,11.0,PFF
Romeo Doubs,2022,132,4,Nevada,11.0,PFF
Calvin Austin III,2022,138,4,Memphis,12.0,PFF
Khalil Shakir,2022,148,5,Boise St.,12.0,PFF
Montrell Washington,2022,162,5,Samford,1.0,"CFBD (FCS, likely incomplete)"
Kyle Philips,2022,163,5,UCLA,11.0,PFF
Jalen Nailor,2022,191,6,Michigan St.,9.0,PFF
Michael Woods II,2022,202,6,Oklahoma,11.0,PFF
Bo Melton,2022,229,7,Rutgers,11.0,PFF
Dareke Young,2022,233,7,Lenoir-Rhyne,,no_data (D2/NAIA)
Samori Toure,2022,258,7,Nebraska,12.0,PFF
Jaxon Smith-Njigba,2023,20,1,Ohio St.,3.0,PFF
Quentin Johnston,2023,21,1,TCU,14.0,PFF
Zay Flowers,2023,22,1,Boston Col.,12.0,PFF
Jordan Addison,2023,23,1,USC,11.0,PFF
Jonathan Mingo,2023,39,2,Mississippi,13.0,PFF
Jayden Reed,2023,50,2,Michigan St.,11.0,PFF
Rashee Rice,2023,55,2,SMU,12.0,PFF
Marvin Mims,2023,63,2,Oklahoma,13.0,PFF
Tank Dell,2023,69,3,Houston,13.0,PFF
Jalin Hyatt,2023,73,3,Tennessee,12.0,PFF
Cedric Tillman,2023,74,3,Tennessee,6.0,PFF
Josh Downs,2023,79,3,North Carolina,11.0,PFF
Michael Wilson,2023,94,3,Stanford,6.0,PFF
Tre Tucker,2023,100,3,Cincinnati,12.0,PFF
Derius Davis,2023,125,4,TCU,14.0,PFF
Charlie Jones,2023,131,4,Purdue,13.0,PFF
Tyler Scott,2023,133,4,Cincinnati,11.0,PFF
Justin Shorter,2023,150,5,Florida,9.0,PFF
Dontayvion Wicks,2023,159,5,Virginia,8.0,PFF
Puka Nacua,2023,177,5,BYU,8.0,CFBD (receiving games)
Parker Washington,2023,185,6,Penn St.,10.0,PFF
Kayshon Boutte,2023,187,6,LSU,11.0,PFF
Trey Palmer,2023,191,6,Nebraska,12.0,PFF
A.T. Perry,2023,195,6,Wake Forest,13.0,PFF
Elijah Higgins,2023,197,6,Stanford,12.0,PFF
Xavier Hutchinson,2023,205,6,Iowa St.,12.0,PFF
Andrei Iosivas,2023,206,6,Princeton,10.0,CFBD (receiving games)
DeMario Douglas,2023,210,6,Liberty,12.0,CFBD (receiving games)
Antoine Green,2023,219,7,North Carolina,9.0,PFF
Colton Dowell,2023,228,7,UT Martin,11.0,CFBD (receiving games)
Jalen Brooks,2023,244,7,South Carolina,12.0,PFF
Ronnie Bell,2023,253,7,Michigan,14.0,PFF
Grant Dubose,2023,256,7,Charlotte,12.0,PFF
Marvin Harrison Jr.,2024,4,1,Ohio St.,12.0,PFF
Malik Nabers,2024,6,1,LSU,13.0,PFF
Rome Odunze,2024,9,1,Washington,15.0,PFF
Brian Thomas,2024,23,1,LSU,13.0,PFF
Xavier Worthy,2024,28,1,Texas,14.0,PFF
Ricky Pearsall,2024,31,1,Florida,12.0,PFF
Xavier Legette,2024,32,1,South Carolina,12.0,PFF
Keon Coleman,2024,33,2,Florida St.,12.0,PFF
Ladd McConkey,2024,34,2,Georgia,9.0,PFF
Ja'Lynn Polk,2024,37,2,Washington,15.0,PFF
Adonai Mitchell,2024,52,2,Texas,14.0,PFF
Malachi Corley,2024,65,3,Western Kentucky,12.0,PFF
Jermaine Burton,2024,80,3,Alabama,13.0,PFF
Roman Wilson,2024,84,3,Michigan,15.0,PFF
Jalen McMillan,2024,92,3,Washington,11.0,PFF
Luke McCaffrey,2024,100,3,Rice,13.0,PFF
Troy Franklin,2024,102,4,Oregon,13.0,PFF
Javon Baker,2024,110,4,Central Florida,13.0,PFF
Devontez Walker,2024,113,4,North Carolina,8.0,PFF
Jacob Cowing,2024,135,4,Arizona,13.0,PFF
Anthony Gould,2024,142,5,Oregon St.,11.0,PFF
Ainias Smith,2024,152,5,Texas A&M,12.0,PFF
Jamari Thrash,2024,156,5,Louisville,12.0,PFF
Bub Means,2024,170,5,Pittsburgh,12.0,PFF
Jha'Quan Jackson,2024,182,6,Tulane,10.0,PFF
Malik Washington,2024,184,6,Virginia,12.0,PFF
Johnny Wilson,2024,185,6,Florida St.,10.0,PFF
Casey Washington,2024,187,6,Illinois,12.0,PFF
Tejhaun Palmer,2024,191,6,Ala-Birmingham,12.0,PFF
Jordan Whittington,2024,213,6,Texas,14.0,PFF
Ryan Flournoy,2024,216,6,SE Missouri St.,9.0,CFBD (receiving games)
Brenden Rice,2024,225,7,USC,12.0,PFF
Devaughn Vele,2024,235,7,Utah,10.0,PFF
Tahj Washington,2024,241,7,USC,13.0,PFF
Cornelius Johnson,2024,253,7,Michigan,15.0,PFF
Travis Hunter,2025,2,1,Colorado,13.0,PFF
Tetairoa McMillan,2025,8,1,Arizona,12.0,PFF
Emeka Egbuka,2025,19,1,Ohio State,16.0,PFF
Matthew Golden,2025,23,1,Texas,16.0,PFF
Jayden Higgins,2025,34,2,Iowa State,13.0,PFF
Luther Burden III,2025,39,2,Missouri,12.0,PFF
Tre Harris,2025,55,2,Ole Miss,8.0,PFF
Kyle Williams,2025,69,3,Washington State,13.0,PFF
Isaac TeSlaa,2025,70,3,Arkansas,13.0,PFF
Pat Bryant,2025,74,3,Illinois,12.0,PFF
Chimere Dike,2025,103,4,Florida,13.0,PFF
Elic Ayomanor,2025,136,4,Stanford,12.0,PFF
Tez Johnson,2025,235,7,Oregon,12.0,PFF
