player_name,college,draft_year,season,cfbd_school,cfbd_name,rec_yards,receptions,rec_tds,team_pass_att,status
Damion Ratley,Texas A&M,2018,2017,Texas A&M,Damion Ratley,694.0,30.0,6.0,449.0,found
Deon Cain,Clemson,2018,2017,Clemson,Deon Cain,734.0,58.0,6.0,470.0,found
Ray-Ray McCloud,Clemson,2018,2017,Clemson,Ray-Ray McCloud,503.0,49.0,1.0,470.0,found
Dylan Cantrell,Texas Tech,2018,2017,Texas Tech,Dylan Cantrell,816.0,71.0,7.0,541.0,found
Russell Gage,LSU,2018,2017,LSU,Russell Gage,285.0,21.0,3.0,300.0,found
Tremon Smith,Central Arkansas,2018,2017,,,,,,,skipped
Equanimeous St. Brown,Notre Dame,2018,2017,Notre Dame,Equanimeous St. Brown,515.0,33.0,4.0,351.0,found
Cedrick Wilson Jr.,Boise St.,2018,2017,Boise State,Cedrick Wilson,1511.0,83.0,7.0,449.0,found
Braxton Berrios,Miami (FL),2018,2017,Miami,Braxton Berrios,670.0,54.0,9.0,425.0,found
Javon Wims,Georgia,2018,2017,Georgia,Javon Wims,724.0,46.0,7.0,305.0,found
Marcell Ateman,Oklahoma St.,2018,2017,Oklahoma State,Marcell Ateman,1156.0,59.0,8.0,503.0,found
Richie James,Middle Tenn. St.,2018,2017,Middle Tennessee,Richie James,290.0,31.0,3.0,473.0,found
Auden Tate,Florida St.,2018,2017,Florida State,Auden Tate,548.0,40.0,10.0,345.0,found
Austin Proehl,North Carolina,2018,2017,North Carolina,Austin Proehl,337.0,21.0,1.0,407.0,found
Trey Quinn,SMU,2018,2017,SMU,Trey Quinn,1236.0,114.0,13.0,487.0,found
Marquise Brown,Oklahoma,2019,2018,Oklahoma,Marquise Brown,1318.0,75.0,10.0,400.0,found
N'Keal Harry,Arizona St.,2019,2018,Arizona State,N'Keal Harry,1088.0,73.0,9.0,395.0,found
Deebo Samuel,South Carolina,2019,2018,South Carolina,Deebo Samuel,882.0,62.0,11.0,443.0,found
A.J. Brown,Mississippi,2019,2018,Ole Miss,A.J. Brown,1355.0,85.0,6.0,440.0,found
Mecole Hardman,Georgia,2019,2018,Georgia,Mecole Hardman,532.0,34.0,7.0,356.0,found
JJ Arcega-Whiteside,Stanford,2019,2018,Stanford,JJ Arcega-Whiteside,1040.0,62.0,14.0,423.0,found
Parris Campbell,Ohio St.,2019,2018,Ohio State,Parris Campbell,983.0,88.0,11.0,559.0,found
Andy Isabella,Massachusetts,2019,2018,Massachusetts,Andy Isabella,1697.0,101.0,13.0,411.0,found
D.K. Metcalf,Mississippi,2019,2018,Ole Miss,D.K. Metcalf,569.0,26.0,5.0,440.0,found
Diontae Johnson,Toledo,2019,2018,Toledo,Diontae Johnson,761.0,49.0,8.0,394.0,found
Jalen Hurd,Baylor,2019,2018,Baylor,Jalen Hurd,946.0,69.0,4.0,486.0,found
Terry McLaurin,Ohio St.,2019,2018,Ohio State,Terry McLaurin,701.0,35.0,11.0,559.0,found
Miles Boykin,Notre Dame,2019,2018,Notre Dame,Miles Boykin,872.0,59.0,8.0,418.0,found
Hakeem Butler,Iowa St.,2019,2018,Iowa State,Hakeem Butler,1318.0,60.0,9.0,363.0,found
Gary Jennings Jr,West Virginia,2019,2018,West Virginia,Gary Jennings,917.0,54.0,13.0,445.0,found
Riley Ridley,Georgia,2019,2018,Georgia,Riley Ridley,570.0,44.0,9.0,356.0,found
Hunter Renfrow,Clemson,2019,2018,Clemson,Hunter Renfrow,544.0,49.0,1.0,508.0,found
Darius Slayton,Auburn,2019,2018,Auburn,Darius Slayton,670.0,35.0,5.0,382.0,found
