,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
David Moore,7.08,4.48,1.59,N/A,2.56,N/A,19.6,2,N,6005,8072,28.9,9.500,30.625,8.99,18.5,0,0,,Austin Ekeler,UDFA,98.8,4.48,N/A,199,29.4,132.9,N/A,"2,093",38,N/A,N/A,6.3,6,15
Isaiah Ford,7.19,4.61,1.61,32,2.95,15.9,18.6,1,Y,6010,8095,26.6,9.250,32.625,5.06,14.1,0,0,,,,,,,,,,,,,,,,,
Noah Brown,7.21,4.64,1.61,9,0.98,14.9,N/A,N/A,Y,6020,8096,28.5,9.130,31.750,6.88,12.5,0,0,,,,,,,,,,,,,,,,,
Malachi Dupre,7.29,4.52,1.57,26,N/A,15.3,18.9,2,Y,6024,8100,25.2,9.000,31.500,7.20,16.4,0,0,,,,,,,,,,,,,,,,,
Tim Patrick,UDFA,4.52,1.56,16,1.78,9.8,22.8,3,N,6040,9015,25.3,9.500,33.625,9.52,14.6,0,0,,,,,,,,,,,,,,,,,
Zach Pascal,UDFA,4.55,1.54,30,2.53,11.2,19.7,2,N,6016,8096,28.1,10.000,32.000,8.18,13.8,0,0,,,,,,,,,,,,,,,,,
Kendrick Bourne,UDFA,4.68,1.61,N/A,2.16,N/A,20.1,2,N,6012,8096,26.8,9.125,32.500,4.96,15.3,0,0,,,,,,,,,,,,,,,,,
Greg Ward,UDFA,4.64,1.56,N/A,N/A,N/A,N/A,N/A,N,5106,8057,25.9,9.875,31.125,3.02,N/A,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Early Declare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
