draft_year,player_name,position,college,pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,full_athletic_data,draft_capital_score,breakout_score,athletic_score,slap_score,position_convert,tier
2021,Tutu Atwell,WR,Louisville,57,21.0,625.0,315.0,155.0,4.42,combine,combine,True,51.1,52.6,17.7,36.7,False,Below Avg
2021,Terrace Marshall Jr.,WR,LSU,59,21.0,731.0,421.0,205.0,4.4,combine,combine,True,50.7,47.6,64.3,68.8,False,Average
2021,Josh Palmer,WR,Tennessee,77,21.0,475.0,285.0,210.0,4.52,pro_day,pro_day,True,48.0,46.2,49.8,51.3,False,Below Avg
2021,Dyami Brown,WR,North Carolina,82,21.0,1084.0,357.0,189.0,4.46,combine,pro_day,True,47.4,74.0,41.4,76.6,False,Good
2021,Amari Rodgers,WR,Clemson,85,21.0,1020.0,490.0,212.0,4.52,combine,combine,True,47.0,54.6,51.4,62.0,False,Average
2021,Trey Sermon,RB,Ohio State,88,22.0,95.0,225.0,215.0,4.57,combine,combine,True,51.7,44.1,41.6,47.1,False,Below Avg
2021,Nico Collins,WR,Michigan,89,22.0,729.0,410.0,215.0,4.43,combine,combine,True,46.6,44.8,68.0,61.4,False,Average
2021,Anthony Schwartz,WR,Auburn,91,21.0,652.0,362.0,186.0,4.27,combine,combine,True,46.4,48.9,68.4,65.9,False,Average
2021,Michael Carter,RB,North Carolina,107,22.0,267.0,357.0,201.0,4.5,combine,combine,True,48.8,59.4,40.7,63.0,False,Average
2021,Dez Fitzpatrick,WR,Louisville,109,23.0,833.0,315.0,208.0,4.43,combine,combine,True,44.8,55.3,62.0,66.9,False,Average
2021,Amon-Ra St. Brown,WR,USC,112,21.0,478.0,263.0,197.0,4.51,combine,combine,True,44.6,49.2,40.9,39.3,False,Below Avg
2021,Kene Nwangwu,RB,Iowa State,119,23.0,22.0,372.0,,,missing,missing,False,47.4,26.7,,7.5,False,Below Avg
2021,Rhamondre Stevenson,RB,Oklahoma,120,23.0,211.0,362.0,231.0,4.64,combine,combine,True,47.3,48.6,43.6,46.8,False,Below Avg
2021,Chuba Hubbard,RB,Oklahoma State,126,22.0,52.0,340.0,210.0,4.48,combine,combine,True,46.6,31.4,51.7,21.8,False,Below Avg
2021,Jaelon Darden,WR,North Texas,129,22.0,1190.0,336.0,174.0,4.47,combine,combine,True,43.5,77.1,27.5,67.9,False,Average
2021,Tylan Wallace,WR,Oklahoma State,131,22.0,917.0,340.0,194.0,4.48,combine,combine,True,43.4,61.6,42.7,58.1,False,Average
2021,Jacob Harris,WR,UCF,141,24.0,539.0,408.0,219.0,4.39,combine,combine,True,42.9,31.1,78.4,42.2,False,Below Avg
2021,Kenneth Gainwell,RB,Memphis,150,22.0,610.0,441.0,201.0,4.42,combine,combine,True,44.5,89.2,53.6,88.6,False,Good
2021,Ihmir Smith-Marsette,WR,Iowa,157,22.0,345.0,248.0,181.0,4.43,combine,combine,True,42.1,37.7,38.8,14.0,False,Below Avg
2021,Simi Fehoko,WR,Stanford,179,23.0,584.0,220.0,222.0,4.44,combine,combine,True,41.2,55.5,72.3,69.2,False,Average
2021,Cornell Powell,WR,Clemson,181,23.0,882.0,490.0,204.0,4.53,combine,combine,True,41.2,41.6,43.6,19.2,False,Below Avg
2021,Frank Darby,WR,Arizona State,187,23.0,46.0,87.0,201.0,4.56,combine,combine,True,41.0,20.9,37.1,0.6,False,Below Avg
2021,Elijah Mitchell,RB,Louisiana,194,23.0,153.0,308.0,201.0,4.38,combine,combine,True,41.6,45.0,60.5,45.1,False,Below Avg
2021,Gary Brightwell,RB,Arizona,196,22.0,58.0,188.0,218.0,4.62,combine,combine,True,41.5,38.7,36.6,12.3,False,Below Avg
2021,Larry Rountree,RB,Missouri,198,22.0,100.0,363.0,,4.62,missing,combine,False,41.4,37.2,,13.0,False,Below Avg
2021,Chris Evans,RB,Michigan,202,23.0,87.0,213.0,211.0,4.5,combine,combine,True,41.2,41.3,49.3,23.7,False,Below Avg
2021,Marquez Stevenson,WR,Houston,203,23.0,307.0,297.0,180.0,4.48,combine,combine,True,40.5,29.1,31.2,2.3,False,Below Avg
2021,Shi Smith,WR,South Carolina,204,22.0,621.0,295.0,237.0,4.79,combine,combine,True,40.4,50.8,32.3,22.4,False,Below Avg
2021,Racey McMath,WR,LSU,205,22.0,195.0,421.0,217.0,4.36,combine,combine,True,40.4,20.8,82.0,19.8,False,Below Avg
2021,Jalen Camp,WR,Georgia Tech,209,23.0,392.0,283.0,226.0,4.48,combine,combine,True,40.3,34.8,69.0,31.5,False,Below Avg
2021,Demetric Felton,RB,UCLA,211,23.0,159.0,200.0,189.0,4.55,combine,combine,True,40.7,57.4,23.3,26.9,False,Below Avg
2021,Khalil Herbert,RB,Virginia Tech,217,23.0,179.0,253.0,210.0,4.46,combine,combine,True,40.5,53.8,55.0,53.2,False,Average
2021,Seth Williams,WR,Auburn,219,21.0,744.0,362.0,211.0,4.49,combine,combine,True,40.0,54.1,55.1,52.9,False,Average
2021,Dazz Newsome,WR,North Carolina,221,22.0,684.0,357.0,190.0,4.59,combine,combine,True,40.0,47.3,25.0,12.7,False,Below Avg
2021,Mike Strachan,WR,Charleston (WV),229,24.0,,,,,missing,missing,False,39.8,,,,False,
2021,Jake Funk,RB,Maryland,233,23.0,68.0,157.0,204.0,4.49,combine,combine,True,39.8,42.3,44.8,18.5,False,Below Avg
2021,Tre Nixon,WR,UCF,242,23.0,258.0,408.0,187.0,4.44,combine,combine,True,39.5,22.6,42.5,1.6,False,Below Avg
2021,Gerrid Doaks,RB,Cincinnati,244,23.0,202.0,295.0,228.0,4.58,combine,combine,True,39.3,52.8,50.6,43.8,False,Below Avg
2021,Ben Skowronek,WR,Notre Dame,249,24.0,439.0,362.0,220.0,,combine,missing,False,39.3,29.5,,2.6,False,Below Avg
2021,Kawaan Baker,WR,South Alabama,255,23.0,656.0,350.0,210.0,4.44,combine,combine,True,39.2,42.8,62.1,38.0,False,Below Avg
2021,Kylin Hill,RB,Mississippi State,256,23.0,237.0,557.0,214.0,4.51,combine,combine,True,38.9,42.0,50.3,21.4,False,Below Avg
2021,Jermar Jefferson,RB,Oregon State,257,21.0,67.0,233.0,206.0,4.57,combine,combine,True,38.9,39.3,34.4,6.8,False,Below Avg
2021,Dax Milne,WR,BYU,258,22.0,1189.0,375.0,,4.54,missing,combine,False,39.1,70.3,,70.5,False,Good
2022,Drake London,WR,USC,8,21.0,1084.0,500.0,219.0,4.5,existing,training,True,88.9,56.4,60.0,95.5,False,Elite
2022,Garrett Wilson,WR,Ohio State,10,22.0,1058.0,494.0,183.0,4.38,existing,existing,True,82.6,51.5,47.8,92.2,False,Elite
2022,Chris Olave,WR,Ohio State,11,22.0,936.0,494.0,187.0,4.39,existing,existing,True,80.0,46.9,49.9,89.6,False,Good
2022,Jameson Williams,WR,Alabama,12,21.0,1572.0,571.0,179.0,4.25,existing,estimate,True,77.8,68.2,64.9,95.8,False,Elite
