player_name,position,draft_year,pick,seasons_played,hit24,hit12,best_ppr,best_rank,first_3yr_ppg,career_ppg,nfl_seasons_in_data,first_3yr_seasons_in_data,career_games_in_data,first_3yr_complete,limited_sample,data_coverage
Trent Taylor,WR,2017,177,8,0,0,98.0,67.0,,2.238888904783461,5,0,18,False,False,no_data_before_2020 (first 3 years were 2017-2019)
T.J. Logan,RB,2017,179,8,0,0,10.9,106.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Aaron Jones,RB,2017,182,8,1,1,314.8,2.0,,14.34534876623819,6,0,86,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Saquon Barkley,RB,2018,2,7,1,1,385.8,1.0,7.700000286102295,16.348052034749614,6,1,77,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
D.J. Moore,WR,2018,24,7,1,1,286.5,6.0,14.1,13.427272727272728,4,1,66,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Calvin Ridley,WR,2018,26,7,1,1,281.5,5.0,18.766666666666666,13.590163909411821,5,1,61,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Rashaad Penny,RB,2018,27,7,0,0,121.7,42.0,1.1333333651224773,8.671428430648078,4,1,21,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Sony Michel,RB,2018,31,7,0,0,152.6,31.0,9.412500381469727,7.042857317243303,3,1,35,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Nick Chubb,RB,2018,35,7,1,1,281.4,6.0,17.308333079020183,12.927941176470586,6,1,68,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Ronald Jones II,RB,2018,38,7,1,0,186.3,20.0,13.307143075125557,8.285294117647059,3,1,34,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Courtland Sutton,WR,2018,40,7,1,0,240.3,14.0,9.600000381469727,11.798048852129682,6,1,82,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Kerryon Johnson,RB,2018,43,7,0,0,139.4,34.0,5.128571646554129,5.128571646554129,1,1,14,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Dante Pettis,WR,2018,44,7,0,0,103.5,70.0,5.866666793823242,5.220645178517987,5,1,31,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Christian Kirk,WR,2018,47,7,1,1,243.9,11.0,10.457142421177455,11.101012519160403,6,1,79,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Anthony Miller,WR,2018,51,7,0,0,127.5,56.0,6.793749809265137,6.289999847412109,3,1,20,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Derrius Guice,RB,2018,59,7,0,0,57.4,69.0,,,0,0,0,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
James Washington,WR,2018,60,7,0,0,133.5,54.0,6.199999809265137,5.15625,3,1,32,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
DJ Chark,WR,2018,61,7,1,0,225.8,17.0,,8.25,1,0,14,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Royce Freeman,RB,2018,71,7,0,0,142.2,36.0,3.3727271340110083,3.9114285932268413,4,1,35,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Michael Gallup,WR,2018,81,7,1,0,212.7,24.0,10.831250190734863,8.327272782759232,4,1,55,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Tre'Quan Smith,WR,2018,91,7,0,0,103.1,72.0,7.93076911339393,7.612499856948853,3,1,32,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Keke Coutee,WR,2018,103,7,0,0,89.0,87.0,11.125,9.15,3,1,10,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Nyheim Hines,RB,2018,104,7,1,0,193.2,15.0,,5.817647013944739,3,0,34,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Antonio Callaway,WR,2018,105,7,0,0,132.3,55.0,1.3333333333333333,1.3333333333333333,1,1,3,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Mark Walton,RB,2018,112,7,0,0,0.0,999.0,,,0,0,0,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
DaeSean Hamilton,WR,2018,113,7,0,0,66.3,95.0,5.191666603088379,5.191666603088379,1,1,12,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Ito Smith,RB,2018,126,7,0,0,97.7,51.0,4.092857088361468,4.246666622161865,2,1,15,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Kalen Ballage,RB,2018,131,7,0,0,93.9,52.0,8.5363637750799,5.278947453749807,2,1,19,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Jaleel Scott,WR,2018,132,7,0,0,2.6,204.0,2.5999999046325684,2.5999999046325684,1,1,1,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
J'Mon Moore,WR,2018,133,7,0,0,3.5,187.0,,,0,0,0,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Chase Edmonds,RB,2018,134,7,0,0,168.0,25.0,10.5,7.874074130588107,4,1,54,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Justin Watson,WR,2018,144,7,0,0,89.0,77.0,5.466666539510091,4.476923069587121,5,1,52,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Daurice Fountain,WR,2018,159,7,0,0,4.3,196.0,2.1500000953674316,2.1500000953674316,1,1,2,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Jordan Lasley,WR,2018,162,7,0,0,0.0,999.0,,,0,0,0,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Jordan Wilkins,RB,2018,169,7,0,0,61.3,70.0,5.108333269755046,4.749999952316284,2,1,16,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Marquez Valdes-Scantling,WR,2018,174,7,0,0,137.3,54.0,9.807143075125557,6.4962500381469725,6,1,80,False,False,"partial_early_data (first 3 years were 2018-2020, data starts 2020)"
Josh Jacobs,RB,2019,24,6,1,1,328.3,3.0,15.243333435058593,16.314130467953888,6,2,92,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Marquise Brown,WR,2019,25,6,1,0,226.3,22.0,12.790625095367432,11.410666707356771,6,2,75,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
N'Keal Harry,WR,2019,32,6,0,0,30.4,141.0,3.3777777353922525,3.6666666412353517,2,1,15,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Deebo Samuel,WR,2019,36,6,1,1,338.96000000000004,3.0,18.246086784031082,14.873199920654297,4,2,50,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
A.J. Brown,WR,2019,51,6,1,1,299.6,5.0,15.866666440610532,16.34606734715151,6,2,89,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Miles Sanders,RB,2019,53,6,1,0,218.7,15.0,11.983333269755045,9.693055534362795,6,2,72,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Mecole Hardman,WR,2019,56,6,0,0,140.9,48.0,8.212121212121213,7.601785714285714,6,2,56,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
JJ Arcega-Whiteside,WR,2019,57,6,0,0,32.9,134.0,,,0,0,0,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Parris Campbell,WR,2019,59,6,0,0,149.1,48.0,5.862500071525574,6.524324339789313,5,2,37,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Andy Isabella,WR,2019,62,6,0,0,54.8,112.0,4.758333583672841,4.086666866938273,3,2,15,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
D.K. Metcalf,WR,2019,64,6,1,1,273.3,7.0,15.684848207415957,14.043749904632568,6,2,96,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Diontae Johnson,WR,2019,66,6,1,1,274.4,8.0,16.070967643491684,12.787499957614477,5,2,72,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Jalen Hurd,WR,2019,67,6,0,0,0.0,999.0,,,0,0,0,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Darrell Henderson,RB,2019,70,6,0,0,163.4,27.0,10.862962510850695,10.007316775438262,4,2,41,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
David Montgomery,RB,2019,73,6,1,1,264.8,4.0,16.42142813546317,13.81146053699965,6,2,89,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Devin Singletary,RB,2019,74,6,1,0,197.8,18.0,10.345454822887074,9.082040909747688,6,2,98,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Terry McLaurin,WR,2019,76,6,1,1,267.8,7.0,13.665625095367432,13.456989280126429,6,2,93,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Damien Harris,RB,2019,87,6,1,0,210.1,14.0,12.055999755859375,9.792856997535342,4,2,42,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Miles Boykin,WR,2019,93,6,0,0,69.6,99.0,5.085714178425925,3.761904690379188,4,2,21,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Alexander Mattison,RB,2019,102,6,0,0,137.4,32.0,7.337931139715787,7.523684250681024,5,2,76,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Hakeem Butler,WR,2019,103,6,0,0,0.0,215.0,0.0,0.0,1,1,1,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Bryce Love,RB,2019,112,6,0,0,0.0,999.0,,,0,0,0,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Justice Hill,RB,2019,113,6,0,0,127.1,37.0,2.1666666666666665,6.04406779661017,5,1,59,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Gary Jennings Jr,WR,2019,120,6,0,0,0.0,999.0,,,0,0,0,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Benny Snell Jr.,RB,2019,122,6,0,0,74.9,61.0,3.1428572109767368,3.441935545398343,3,2,31,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Riley Ridley,WR,2019,126,6,0,0,12.9,159.0,3.950000047683716,3.950000047683716,1,1,2,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Tony Pollard,RB,2019,128,6,1,1,248.8,8.0,9.141935779202369,11.827835145930655,6,2,97,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Ryquell Armstead,RB,2019,140,6,0,0,51.2,72.0,6.300000190734863,6.300000190734863,1,1,2,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Hunter Renfrow,WR,2019,149,6,1,1,259.1,10.0,11.83939384691643,8.937096724971648,5,2,62,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Qadree Ollison,RB,2019,152,6,0,0,30.7,88.0,2.8571429678371976,2.8571429678371976,2,2,7,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Jordan Scarlett,RB,2019,154,6,0,0,0.9,128.0,,,0,0,0,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Darius Slayton,WR,2019,171,6,0,0,170.0,37.0,7.227586154280038,7.81797751094518,6,2,89,False,False,"partial_early_data (first 3 years were 2019-2021, data starts 2020)"
Henry Ruggs III,WR,2020,12,5,0,0,84.5,86.0,8.429999923706054,8.429999923706054,2,2,20,False,False,full_coverage
Jerry Jeudy,WR,2020,15,5,1,1,240.9,12.0,10.897561124475992,10.463736330807864,6,3,91,True,False,full_coverage
CeeDee Lamb,WR,2020,17,5,1,1,405.2000000000001,1.0,15.348979591836736,17.25106382978724,6,3,94,True,False,full_coverage
