player_name,draft_year,pick,round,college,age,best_season,season_rank,RAS,rec_yards,receptions,team_pass_att,cfbd_name,best_ppr,best_ppg,hit24,hit12
AJ Dillon,2020,62,2,Boston Col.,22.0,2023.0,43.0,,195.0,13.0,305.0,aj dillon,194.09999,10.783332824707031,0,0
Antonio Gibson,2020,66,3,Memphis,22.0,2021.0,13.0,,735.0,38.0,441.0,antonio gibson,229.1,14.318750381469728,0,1
Ke'Shawn Vaughn,2020,76,3,Illinois,23.0,2021.0,80.0,5.17,,,,,50.8,7.257142748151507,0,0
Zack Moss,2020,86,3,Utah,22.0,2023.0,33.0,2.8,388.0,28.0,321.0,zack moss,169.6,12.114286150251116,0,1
Darrynton Evans,2020,93,3,Appalachian St.,22.0,2023.0,84.0,9.11,,,,,30.0,5.0,0,0
Joshua Kelley,2020,112,4,UCLA,22.0,2020.0,60.0,7.59,71.0,11.0,426.0,joshua kelley,81.2,6.246153611403245,0,0
La'Mical Perine,2020,120,4,Florida,22.0,2020.0,77.0,5.25,262.0,40.0,467.0,lamical perine,14.0,7.0,0,0
Anthony McFarland Jr.,2020,124,4,Maryland,22.0,,,,126.0,17.0,342.0,anthony mcfarland,0.0,0.0,0,0
DeeJay Dallas,2020,144,4,Miami (FL),21.0,2021.0,71.0,,140.0,14.0,437.0,deejay dallas,56.899998,7.112499713897705,0,0
Jason Huntley,2020,172,5,New Mexico St.,22.0,2021.0,128.0,8.08,192.0,40.0,446.0,jason huntley,5.1,5.099999904632568,0,0
Eno Benjamin,2020,222,7,Arizona St.,21.0,2022.0,52.0,5.76,347.0,42.0,383.0,eno benjamin,89.6,7.466666539510091,0,0
Raymond Calais,2020,245,7,Louisiana,22.0,,,7.6,67.0,10.0,412.0,raymond calais,0.0,0.0,0,0
Malcolm Perry,2020,246,7,Navy,23.0,2020.0,97.0,,167.0,9.0,129.0,malcolm perry,24.7,3.087500095367432,0,0
Najee Harris,2021,24,1,Alabama,23.0,2021.0,4.0,,425.0,43.0,425.0,najee harris,303.5,16.86111111111111,0,1
Travis Etienne,2021,25,1,Clemson,22.0,2023.0,5.0,9.12,588.0,48.0,490.0,travis etienne,282.4,16.611764346852024,0,1
Javonte Williams,2021,35,2,North Carolina,21.0,2021.0,18.0,8.79,305.0,25.0,357.0,javonte williams,204.9,12.052940817440255,0,1
Trey Sermon,2021,88,3,Ohio St.,22.0,2024.0,66.0,9.67,95.0,12.0,225.0,trey sermon,28.3,5.659999847412109,0,0
Michael Carter,2021,107,4,North Carolina,22.0,2021.0,30.0,6.2,267.0,25.0,357.0,michael carter,35.8,11.933333079020182,0,0
Kene Nwangwu,2021,119,4,Iowa St.,23.0,2021.0,116.0,9.88,22.0,3.0,372.0,kene nwangwu,6.0,6.0,0,0
Rhamondre Stevenson,2021,120,4,Oklahoma,23.0,2022.0,10.0,3.98,211.0,18.0,362.0,rhamondre stevenson,249.09999,14.652940637925091,0,1
Chuba Hubbard,2021,126,4,Oklahoma St.,22.0,2024.0,16.0,8.43,52.0,8.0,340.0,chuba hubbard,241.6,16.10666707356771,0,1
Kenneth Gainwell,2021,150,5,Memphis,22.0,2021.0,35.0,5.66,610.0,51.0,441.0,kenneth gainwell,139.9,8.22941140567555,0,0
Elijah Mitchell,2021,194,6,Louisiana,23.0,2021.0,20.0,9.5,153.0,16.0,308.0,elijah mitchell,200.6,14.32857186453683,0,1
Gary Brightwell,2021,196,6,Arizona,22.0,2022.0,89.0,4.57,58.0,13.0,188.0,gary brightwell,11.6,3.866666793823242,0,0
Larry Rountree,2021,198,6,Missouri,22.0,2021.0,112.0,2.01,100.0,15.0,363.0,larry rountree iii,5.3,2.650000095367432,0,0
Chris Evans,2021,202,6,Michigan,23.0,2021.0,77.0,9.84,87.0,9.0,213.0,chris evans,52.399998,4.366666475931804,0,0
Demetric Felton,2021,211,6,UCLA,23.0,2021.0,81.0,,159.0,22.0,200.0,demetric felton,50.5,4.590909090909091,0,0
Khalil Herbert,2021,217,6,Virginia Tech,23.0,2022.0,42.0,6.14,179.0,10.0,253.0,khalil herbert,112.5,9.375,0,0
Jake Funk,2021,233,7,Maryland,23.0,2023.0,120.0,9.76,68.0,10.0,157.0,jake funk,3.2,3.200000047683716,0,0
Gerrid Doaks,2021,244,7,Cincinnati,23.0,,,8.3,202.0,14.0,295.0,gerrid doaks,0.0,0.0,0,0
Kylin Hill,2021,256,7,Mississippi St.,23.0,2021.0,132.0,7.28,237.0,23.0,557.0,kylin hill,3.9,0.975000023841858,0,0
Jermar Jefferson,2021,257,7,Oregon St.,21.0,2021.0,101.0,2.22,67.0,9.0,233.0,jermar jefferson,25.7,6.425000190734863,0,0
Breece Hall,2022,36,2,Iowa St.,21.0,2023.0,4.0,9.96,302.0,36.0,446.0,breece hall,290.5,17.08823529411765,0,1
Kenneth Walker III,2022,41,2,Michigan St.,21.0,2023.0,22.0,9.24,89.0,13.0,400.0,kenneth walker iii,0.0,0.0,0,0
James Cook,2022,63,2,Georgia,22.0,2024.0,5.0,8.75,284.0,27.0,407.0,james cook,324.3,17.06842041015625,0,1
Rachaad White,2022,91,3,Arizona St.,23.0,2023.0,2.0,9.87,456.0,43.0,313.0,rachaad white,295.5,15.552631578947368,0,1
Tyrion Davis-Price,2022,93,3,LSU,21.0,2022.0,115.0,6.65,64.0,10.0,443.0,tyrion davis-price,2.1,2.0999999046325684,0,0
Brian Robinson Jr.,2022,98,3,Alabama,23.0,,,6.58,296.0,35.0,571.0,brian robinson jr.,0.0,0.0,0,0
Dameon Pierce,2022,107,4,Florida,22.0,2022.0,29.0,7.09,216.0,19.0,416.0,dameon pierce,166.4,12.799999530498798,0,1
Zamir White,2022,122,4,Georgia,22.0,2023.0,57.0,9.81,75.0,9.0,407.0,zamir white,73.9,5.684615501990685,0,0
Isaiah Spiller,2022,123,4,Texas A&M,21.0,2023.0,92.0,5.66,189.0,25.0,370.0,isaiah spiller,19.0,2.111111111111111,0,0
Pierre Strong,2022,127,4,South Dakota St.,23.0,2023.0,74.0,,8.0,3.0,,pierre strong,27.2,6.800000190734863,0,0
Hassan Haskins,2022,131,4,Michigan,22.0,2024.0,80.0,,131.0,18.0,395.0,hassan haskins,26.0,3.7142857142857135,0,0
Tyler Allgeier,2022,151,5,BYU,22.0,2022.0,32.0,7.4,199.0,28.0,389.0,tyler allgeier,159.4,9.962499618530272,0,0
Snoop Conner,2022,154,5,Mississippi,22.0,2022.0,113.0,7.03,82.0,14.0,429.0,snoop conner,10.2,2.039999961853028,0,0
Jerome Ford,2022,156,5,Cincinnati,22.0,2023.0,17.0,6.91,220.0,21.0,400.0,jerome ford,220.4,12.244444105360245,0,1
Kyren Williams,2022,164,5,Notre Dame,22.0,2024.0,8.0,3.46,359.0,42.0,450.0,kyren williams,263.0,20.23076923076923,0,1
Ty Chandler,2022,169,5,North Carolina,24.0,2023.0,48.0,6.35,216.0,15.0,382.0,ty chandler,101.0,7.769230769230769,0,0
Kevin Harris,2022,183,6,South Carolina,21.0,2023.0,88.0,7.13,89.0,11.0,360.0,kevin harris,21.3,5.324999809265137,0,0
