,"Rounds 1-3 
 Draft Capital","4.59 
 or better",10 Yard Split of 1.56 or better,WDOM,YPTPA,YPR DOM,BOA of 18-19,BOY in year 1 or 2,Early Declare,6'+,BMI,Hand Size,Arm Length,,,Standing Vert,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,"Rounds 1-2
 Draft Capital","100+
 Speed score","4.59
 or better",10 Yard Split of 1.56 or better,Weight,BMI,121+ Burst Score,BDR,"A 1500+ 
 Scrimmage
 yard season",30+ Recption Season,RAS,YPA DOM,6+ College YPA,10+ PPG Seasons,AVG Top Finish,Drop %,Y/RR,TGT/YR,RORE
Braxton Berrios,6.36,4.49,1.58,10,1.57,-14.3,21.9,4,N,5085,27.2,9.250,28.000,68.625,96.625,8005,5.70,11.8,0,0,,D'Ernest Johnson,UDFA,71.7,4.86,1.64,200,27.9,110.4,68.2,949,28,2.77,-22.9,4.3,0,0,3.41%,1.75,22,37
Javon Wims,7.06,4.53,1.59,17,2.36,13.9,23.0,4,N,6027,26.9,9.250,31.500,74.875,106.375,8103,5.40,14.7,0,0,,Dontrell Hilliard,UDFA,101.2,4.47,1.59,202,28.2,121.2,71.1,"1,206",30,8.06,5.0,5.3,0,0,7.61%,1.37,23,29
Marcell Ateman,7.10,4.62,1.64,13,2.30,28.9,23.0,5,N,6044,25.6,9.875,32.875,76.500,109.375,9013,5.20,16.9,0,0,,Godwin Igwebuike,UDFA,109.6,4.44,N/A,213,29.7,124.4,N/A,N/A,N/A,9.70,N/A,N/A,0,0,,,,
Richie James,7.22,4.48,1.56,26,2.92,11.9,20.0,2,Y,5101,27.3,9.250,31.250,70.125,101.375,8053,6.00,13.4,0,0,,,,,,,,,,,,,,,,,,,,,
Auden Tate,7.35,4.68,1.64,21,1.59,9.5,20.6,3,Y,6047,27.0,9.375,33.750,76.875,110.625,9025,1.80,14.7,0,0,,,,,,,,,,,,,,,,,,,,,
Austin Proehl,7.37,N/A,N/A,8,1.30,12.0,N/A,N/A,N,5091,26.9,8.500,28.875,69.125,98.000,8020,3.60,13.9,0,0,,,,,,,,,,,,,,,,,,,,,
Trey Quinn,7.38,4.55,1.55,15,2.54,-22.0,21.8,4,Y,5113,28.3,10.125,30.750,71.375,102.125,8061,7.00,11.1,0,0,,,,,,,,,,,,,,,,,,,,,
Allen Lazard,UDFA,4.55,1.58,28,2.56,18.8,19.7,2,N,6045,28.1,9.750,32.250,76.625,108.875,9007,8.60,13.9,0,0,,,,,,,,,,,,,,,,,,,,,
Byron Pringle,UDFA,4.46,1.56,33,2.68,51.7,22.8,3,Y,6011,27.0,9.250,32.000,73.125,105.125,8091,7.30,19.6,0,0,,,,,,,,,,,,,,,,,,,,,
Robert Foster,UDFA,4.41,1.58,3,0.52,-10.7,N/A,N/A,N,6015,25.2,9.250,32.125,73.625,105.750,8096,6.60,11.1,0,0,,,,,,,,,,,,,,,,,,,,,
