player_name,draft_year,pick,round,college,age,RAS,rec_yards,best_ppr,hit24,dc_score,match_status,college_season,pff_file_source,elusive_rating,yards,attempts,yco_attempt,grades_run,grades_offense,team_name
Ty Johnson,2019,186,6,Maryland,21.0,9.74,22.0,117.0,0,,MATCHED,2018,rushing_summary (4).csv,98.7,505.0,66.0,5.08,75.9,70.6,MARYLAND
Dexter Williams,2019,194,6,Notre Dame,22.0,8.13,133.0,1.1,0,,MATCHED,2018,rushing_summary (4).csv,46.0,995.0,158.0,3.48,79.8,77.4,NOTRE DAME
Travis Homer,2019,204,6,Miami (FL),21.0,8.34,186.0,55.8,0,,MATCHED,2018,rushing_summary (4).csv,77.4,983.0,164.0,4.05,67.0,68.0,MIAMI FL
Rodney Anderson,2019,211,6,Oklahoma,22.0,,281.0,0.0,0,,MATCHED,2018,rushing_summary (4).csv,285.1,119.0,11.0,6.27,80.6,79.1,OKLAHOMA
Darwin Thompson,2019,214,6,Utah St.,22.0,7.99,,33.2,0,,MATCHED,2018,rushing_summary (4).csv,173.7,1044.0,151.0,5.07,88.7,86.9,UTAH ST
Mike Weber,2019,218,7,Ohio St.,22.0,7.01,112.0,0.0,0,,MATCHED,2018,rushing_summary (4).csv,57.2,954.0,172.0,2.98,75.9,71.1,OHIO STATE
Cullen Gillaspia,2019,220,7,Texas A&M,24.0,,52.0,0.0,0,,MATCHED,2018,rushing_summary (4).csv,52.0,33.0,5.0,5.2,71.8,71.3,TEXAS A&M
Kerrith Whyte Jr,2019,222,7,Florida Atlantic,22.0,,160.0,0.0,0,,MATCHED,2018,rushing_summary (4).csv,92.7,852.0,133.0,3.92,82.0,84.7,FAU
Chandler Cox,2019,233,7,Auburn,23.0,,81.0,0.0,0,,MATCHED,2018,rushing_summary (4).csv,0.0,3.0,3.0,0.67,64.5,69.7,AUBURN
Myles Gaskin,2019,234,7,Washington,22.0,5.93,77.0,173.6,0,,MATCHED,2018,rushing_summary (4).csv,48.1,1270.0,260.0,2.85,77.9,76.4,WASHINGTON
Clyde Edwards-Helaire,2020,32,1,LSU,21.0,5.41,453.0,194.4,1,,MATCHED,2019,rushing_summary (5).csv,115.5,1419.0,214.0,3.65,91.3,84.1,LSU
D'Andre Swift,2020,35,2,Georgia,21.0,7.55,216.0,214.5,1,,MATCHED,2019,rushing_summary (5).csv,70.7,1220.0,197.0,3.55,80.3,80.4,GEORGIA
Jonathan Taylor,2020,41,2,Wisconsin,21.0,9.53,252.0,373.1,1,,MATCHED,2019,rushing_summary (5).csv,104.4,2002.0,320.0,3.93,90.2,91.1,WISCONSIN
