prospect,position,prospect_college,prospect_pick,prospect_year,comp_rank,comp_player,comp_college,comp_pick,comp_year,similarity_score,comparison_coverage,dominant_category,category_breakdown,hit24,hit12,career_ppg,first_3yr_ppg,nfl_best_season_ppg
Roydell Williams,RB,Florida State,0,2026,6,Jermar Jefferson,Oregon St.,0,2021,71.5,0.442,slap_score,draft_capital=0.03; size_speed=0.82; production=0.93; slap_score=1.52,0.0,0.0,,,1.5117647058823531
Roydell Williams,RB,Florida State,0,2026,7,Chandler Cox,Auburn,0,2019,71.4,0.442,slap_score,draft_capital=0.43; size_speed=0.00; production=0.48; slap_score=1.64,0.0,0.0,,,0.0
Roydell Williams,RB,Florida State,0,2026,8,Myles Gaskin,Washington,0,2019,71.3,0.442,slap_score,draft_capital=0.40; size_speed=0.99; production=0.63; slap_score=1.56,0.0,0.0,16.42,16.42,10.211764705882352
Roydell Williams,RB,Florida State,0,2026,9,Brittain Brown,UCLA,0,2022,71.0,0.442,slap_score,draft_capital=0.10; size_speed=0.00; production=0.56; slap_score=1.68,0.0,0.0,,,0.0
Roydell Williams,RB,Florida State,0,2026,10,Cullen Gillaspia,Texas A&M,0,2019,70.0,0.442,slap_score,draft_capital=0.56; size_speed=0.00; production=0.87; slap_score=1.63,0.0,0.0,,,0.0
Dominic Richardson,RB,Tulsa,0,2026,1,Jacory Croskey-Merritt,Arizona,0,2025,81.7,0.392,slap_score,draft_capital=0.17; size_speed=0.00; production=0.34; slap_score=1.00,,,,,
Dominic Richardson,RB,Tulsa,0,2026,2,Devante Mays,Utah St.,0,2017,79.8,0.442,slap_score,draft_capital=0.26; size_speed=0.00; production=0.66; slap_score=1.09,0.0,0.0,,,0.0647058823529411
Dominic Richardson,RB,Tulsa,0,2026,3,Raymond Calais,Louisiana,0,2020,79.4,0.442,slap_score,draft_capital=0.17; size_speed=0.27; production=0.32; slap_score=1.19,0.0,0.0,,,0.0
Dominic Richardson,RB,Tulsa,0,2026,4,Chris Carson,Oklahoma St.,0,2017,77.2,0.442,slap_score,draft_capital=0.12; size_speed=0.19; production=0.48; slap_score=1.31,1.0,1.0,15.65,15.506667,13.682352941176472
Dominic Richardson,RB,Tulsa,0,2026,5,Kyle Monangai,Rutgers,0,2025,76.6,0.442,slap_score,draft_capital=0.43; size_speed=0.85; production=0.30; slap_score=1.29,,,,,
Dominic Richardson,RB,Tulsa,0,2026,6,Myles Gaskin,Washington,0,2019,76.4,0.442,slap_score,draft_capital=0.40; size_speed=0.99; production=0.27; slap_score=1.28,0.0,0.0,16.42,16.42,10.211764705882352
Dominic Richardson,RB,Tulsa,0,2026,7,Chandler Cox,Auburn,0,2019,76.2,0.442,slap_score,draft_capital=0.43; size_speed=0.00; production=0.34; slap_score=1.36,0.0,0.0,,,0.0
Dominic Richardson,RB,Tulsa,0,2026,8,Zac Brooks,Clemson,0,2016,75.8,0.442,slap_score,draft_capital=0.13; size_speed=0.00; production=1.02; slap_score=1.24,0.0,0.0,,,0.0
Dominic Richardson,RB,Tulsa,0,2026,9,Cullen Gillaspia,Texas A&M,0,2019,75.7,0.442,slap_score,draft_capital=0.56; size_speed=0.00; production=0.47; slap_score=1.35,0.0,0.0,,,0.0
