player_name,draft_year,pick,breakout_age,RAS,team_quality,predicted_ppg,slap_regression,slap_current,best_ppg,hit24
Amari Rodgers,2021,85,21.0,5.35,2,4.671394566963725,16.783160485587697,43.312853004385474,2.5352941176470587,0
Nico Collins,2021,89,19.0,9.57,2,6.5058524892246465,26.07222768831193,56.076658721354356,17.305882352941175,1
Anthony Schwartz,2021,91,21.0,6.89,1,4.5035958133818745,15.933485014899263,45.049582789564795,1.9647058739381678,0
Dez Fitzpatrick,2021,109,20.0,8.81,1,5.819796298118136,22.598273891552687,50.38740214670836,0.9352941232569078,0
Amon-Ra St. Brown,2021,112,19.0,7.13,3,5.956481219938588,23.290399564745808,51.590291743793244,19.599999999999998,1
Jaelon Darden,2021,129,20.0,7.14,0,5.333393845999009,20.13529831142282,47.33080585776007,0.6705882338916554,0
Tylan Wallace,2021,131,20.0,4.71,0,4.417542408841282,15.497740020096877,43.94624585599253,0.4764705882352941,0
Jacob Harris,2021,141,,9.88,2,3.077747600090663,8.713477560150736,38.60038936604367,0.09411764705882353,0
Ihmir Smith-Marsette,2021,157,20.0,6.81,0,4.281773939081807,14.810254946548588,46.05311859768421,1.911764705882353,0
Simi Fehoko,2021,179,21.0,9.18,2,3.3597973021248757,10.14168073936299,45.15357372517517,0.4647058823529412,0
Cornell Powell,2021,181,21.0,7.57,2,3.0310637587755127,8.477086562027823,42.91443496624147,0.0,0
Frank Darby,2021,187,,5.89,1,2.0920818810481396,3.722403634441349,32.04062799212419,0.14705882352941177,0
Marquez Stevenson,2021,203,19.0,5.37,1,4.659182336302483,16.721321928305535,46.746839544294204,0.0,0
Shi Smith,2021,204,21.0,6.78,2,3.2572509146990978,9.62242092280604,41.40269860603146,3.623529411764706,0
Racey McMath,2021,205,,7.43,4,1.633421674230896,1.3999052916667236,33.81276587729225,0.3764705882352941,0
Jalen Camp,2021,209,,9.75,0,2.376874214160805,5.164494558960196,36.911964687475894,0.1,0
Seth Williams,2021,219,20.0,6.86,1,3.964212526898586,13.202232618554092,44.89249580150902,0.25882353502161365,0
Dazz Newsome,2021,221,20.0,2.13,3,3.142083468559069,9.039252383599452,38.40556679047778,0.25294117366566377,0
Mike Strachan,2021,229,,9.22,0,2.77501027885946,7.180519356223409,35.87823264307866,0.5235294117647059,0
Tre Nixon,2021,242,20.0,8.97,2,3.9039933398978146,12.897303261409633,47.44193520956806,0.0,0
Ben Skowronek,2021,249,,,1,2.177792142961031,4.156411072393748,33.44925371014423,4.958823529411766,0
Kawaan Baker,2021,255,19.0,9.08,1,4.787515097366612,17.37115511737461,51.05104932642442,0.0,0
Dax Milne,2021,258,21.0,4.56,1,2.230510307905095,4.423357820546012,37.593460374432794,0.9235294117647058,0
Drake London,2022,8,20.0,,3,17.31625349768255,80.81239928745119,74.68049010042805,16.51764705882353,1
Garrett Wilson,2022,10,20.0,7.77,3,15.061971119906556,69.39748469771234,71.10921895338043,14.81764705882353,1
Chris Olave,2022,11,19.0,8.64,3,15.617073331861903,72.20833235393931,74.44430764350274,13.605882352941178,1
Jameson Williams,2022,12,21.0,,5,13.239111978095865,60.16714975031237,64.53846400113783,17.3,1
Jahan Dotson,2022,16,20.0,6.33,2,12.21572399021931,54.9850631630497,62.49184170254378,7.68235294117647,0
Treylon Burks,2022,18,19.0,5.79,0,12.2002687502309,54.906803116229106,63.94442235646643,5.18235294117647,0
