player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,best_ppg,dc_raw,breakout_score,dc_norm,breakout_norm,ras_norm,slap_score,athletic_status,athletic_contrib,delta
Antonio Gandy-Golden,WR,2020,142,1,196.0,3.5,0,0,6.13,20.0,0.20588235294117646,0.08391813582966891,75,42.22636334568404,54.931407087366345,37.362216733029754,45.943506663374706,observed,5.604332509954463,3.717143317690663
Joe Reed,WR,2020,151,1,182.0,8.900000095367432,0,0,9.35,,0.5235294173745548,0.08137884587711594,25,41.7162744449864,25.96215469072998,64.314877961507,39.59212305847474,observed,9.647231694226049,-2.124151386511656
Tyler Johnson,WR,2020,161,6,47.0,125.50000029802322,0,0,,19.0,7.382352958707249,0.07881104062391006,90,41.20045743184988,63.62218280635726,,50.367992698149976,imputed_avg,7.5,9.1675352663001
Collin Johnson,WR,2020,165,3,108.0,59.20000088214874,0,0,,19.0,3.482352993067573,0.0778498944161523,90,41.00738376886312,63.62218280635726,,50.271455866656595,imputed_avg,7.5,9.264072097793473
Quintez Cephus,WR,2020,166,3,100.0,66.89999985694885,0,0,4.5,21.0,3.9352941092322853,0.07761505257063328,60,40.96020907788379,46.24063136837544,23.718478285073886,40.22209726063438,observed,3.5577717427610827,-0.7381118172494112
John Hightower,WR,2020,168,1,142.0,28.800000227987766,0,0,8.02,23.0,1.6941176604698687,0.07715167498104596,30,40.867126456482914,28.85907993039362,53.18225701930987,38.5115797567757,observed,7.97733855289648,-2.3555466997072116
Isaiah Coulter,WR,2020,171,1,226.0,0.0,0,0,6.68,,0.0,0.07647191129018725,25,40.7305765073699,25.96215469072998,41.96593216025413,35.746932219478566,observed,6.294889824038119,-4.983644287891337
Darnell Mooney,WR,2020,173,3,26.0,219.70000064373016,0,0,7.04,19.0,12.923529449631186,0.07602859212697055,90,40.641523193707926,63.62218280635726,44.97927316716463,49.335416554153696,observed,6.746890975074694,8.69389336044577
K.J. Osborn,WR,2020,176,2,42.0,165.6,0,0,,,9.741176470588234,0.07537783614444091,25,40.51080027117707,25.96215469072998,,36.84215427734403,imputed_avg,7.5,-3.6686459938330387
Donovan Peoples-Jones,WR,2020,187,3,40.0,167.1,0,0,9.63,19.0,9.829411764705881,0.07312724241271307,90,40.058704250641924,63.62218280635726,66.6585876335485,52.29590425257828,observed,9.998788145032275,12.237200001936358
Quez Watkins,WR,2020,200,3,60.0,121.49999976158142,0,0,7.4,20.0,7.14705880950479,0.07071067811865475,75,39.57326830309206,54.931407087366345,47.99261417407513,46.21151875823552,observed,7.198892126111269,6.638250455143464
James Proche,WR,2020,201,3,132.0,36.20000004768372,0,0,4.04,20.0,2.129411767510807,0.07053456158585983,75,39.53789026817417,54.931407087366345,19.868098109577137,41.975152331101874,observed,2.98021471643657,2.437262062927701
Isaiah Hodgins,WR,2020,207,1,56.0,126.0,0,0,7.56,19.0,7.411764705882353,0.06950480468569159,90,39.33103418832219,63.62218280635726,49.33187684381313,49.33306260295811,observed,7.399781526571969,10.002028414635916
Dezmon Patmon,WR,2020,212,2,178.0,10.09999966621399,0,0,8.46,,0.5941176274243523,0.06868028197434452,25,39.16540525610497,25.96215469072998,56.86522936108938,37.19924117397139,observed,8.529784404163408,-1.9661640821335808
Freddie Swain,WR,2020,214,3,85.0,86.49999970197678,0,0,8.29,,5.088235276586869,0.06835859270246633,25,39.100784779465975,25.96215469072998,55.44226277449275,36.953485947662394,observed,8.316339416173912,-2.1472988318035817
Jauan Jennings,WR,2020,217,2,77.0,93.3,0,0,2.7,22.0,5.488235294117647,0.06788442333021306,45,39.00553432033901,37.549855649384526,8.651773250521394,33.94298262503229,observed,1.297765987578209,-5.062551695306716
K.J. Hill,WR,2020,220,4,125.0,14.300000071525574,0,0,3.89,,0.841176474795622,0.06741998624632421,25,38.91223886925202,25.96215469072998,18.612539356697763,31.33475447988617,observed,2.7918809035046643,-7.5774843893658534
Tyrie Cleveland,WR,2020,252,3,169.0,12.299999952316284,0,0,9.65,19.0,0.7235294089597815,0.0629940788348712,90,38.023168976375906,63.62218280635726,66.82599546726576,51.30324779050285,observed,10.023899320089862,13.280078814126945
