player_name,position,college,draft_year,pick,round,dataset_label,data_quality_flag,outlier_note,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,enhanced_breakout,teammate_score,early_declare_score,production_score,speed_score,te_breakout_score,te_production_score,ras_score,breakout_age,broke_out,peak_dominator,peak_dominator_imputed,rush_yards,rec_yards,team_pass_att,ryptpa,model_version,data_as_of_date,pos_rank
Oscar Delp,TE,Georgia,2026,73,3,Drafted Pick 73,complete,,42.6,49.04,78.2,20.5,2026_prospect,,,,,,23.4,4.5,40.0,,False,10.3,False,,261.0,417.0,0.6259,V5.0,2026-05-04,8
Justin Joly,TE,NC State,2026,152,5,Drafted Pick 152,complete,,37.8,46.73,39.6,44.3,2026_prospect,,,,,,80.3,11.3,40.0,19.3,True,25.55604012211077,False,,489.0,413.0,1.184,V5.0,2026-05-04,9
Will Kacmarek,TE,Ohio State,2026,87,3,Drafted Pick 87,complete,,36.5,46.36,71.4,19.7,2026_prospect,,,,,,24.2,1.6,40.0,,False,11.51,False,,168.0,408.0,0.4118,V5.0,2026-05-04,10
Tanner Koziol,TE,Houston,2026,164,5,Drafted Pick 164,complete,,32.2,44.57,34.7,42.8,2026_prospect,,,,,,66.7,20.9,40.0,19.0,True,28.34964562942963,False,,727.0,377.0,1.9284,V5.0,2026-05-04,11
Seydou Traore,TE,Mississippi State,2026,180,6,Drafted Pick 180,complete,,25.5,42.53,26.1,42.8,2026_prospect,,,,,,79.1,8.3,40.0,19.8,True,23.25925925925926,False,,372.0,390.0,0.9538,V5.0,2026-05-04,12
Matthew Hibner,TE,SMU,2026,133,4,Drafted Pick 133,complete,,20.6,40.74,49.4,22.9,2026_prospect,,,,,,26.8,7.6,40.0,,False,11.825332248440466,False,,436.0,460.0,0.9478,V5.0,2026-05-04,13
Joe Royer,TE,Cincinnati,2026,170,5,Drafted Pick 170,complete,,12.6,36.92,32.8,25.6,2026_prospect,,,,,,31.7,10.0,40.0,22.7,True,18.39323467230444,False,,416.0,363.0,1.146,V5.0,2026-05-04,14
Jaren Kanak,TE,Oklahoma,2026,225,7,Drafted Pick 225,complete,,10.2,35.29,12.6,38.0,2026_prospect,,,,,,61.1,13.6,40.0,20.8,True,17.29200652528548,False,,533.0,431.0,1.2367,V5.0,2026-05-04,15
Josh Cuevas,TE,Alabama,2026,173,5,Drafted Pick 173,complete,,10.2,35.02,30.7,21.8,2026_prospect,,,,,,25.4,6.1,40.0,20.0,True,20.59,False,,411.0,523.0,0.7859,V5.0,2026-05-04,15
Riley Nowakowski,TE,Indiana,2026,169,5,Drafted Pick 169,complete,,10.2,35.81,32.8,22.5,2026_prospect,,,,,,25.1,8.3,40.0,,False,10.128238680973569,False,,387.0,406.0,0.9532,V5.0,2026-05-04,15
Bauer Sharp,TE,LSU,2026,185,6,Drafted Pick 185,complete,,7.1,33.78,25.5,22.5,2026_prospect,,,,,,29.5,3.7,40.0,20.0,True,15.02,False,,252.0,443.0,0.5688,V5.0,2026-05-04,18
Jack Endries,TE,Texas,2026,221,7,Drafted Pick 221,complete,,6.5,32.54,13.2,30.0,2026_prospect,,,,,,46.8,6.6,40.0,21.4,True,18.59701492537313,False,,346.0,420.0,0.8238,V5.0,2026-05-04,19
John Michael Gyllenborg,TE,Wyoming,2026,258,7,UDFA,complete,,5.3,30.21,1.0,34.5,2026_prospect,,,,,,62.1,3.3,40.0,20.9,True,19.200351493848856,False,,217.0,384.0,0.5651,V5.0,2026-05-04,20
Jack Velling,TE,Michigan State,2026,258,7,UDFA,complete,,2.8,28.45,1.0,30.1,2026_prospect,,,,,,45.4,8.3,40.0,20.0,True,18.54,False,,359.0,378.0,0.9497,V5.0,2026-05-04,21
Michael Trigg,TE,Baylor,2026,258,7,UDFA,complete,,1.6,27.21,1.0,27.0,2026_prospect,,,,,,31.8,13.6,40.0,22.8,True,18.670971213344096,False,,694.0,510.0,1.3608,V5.0,2026-05-04,22
Dallen Bentley,TE,Utah,2026,258,7,UDFA,complete,,1.6,28.13,1.0,29.3,2026_prospect,,,,,,34.1,17.5,40.0,22.5,True,23.16890881913304,False,,620.0,373.0,1.6622,V5.0,2026-05-04,22
Dae'Quan Wright,TE,Mississippi,2026,258,7,UDFA,complete,,1.6,26.63,1.0,25.6,2026_prospect,,,,,,29.0,12.5,40.0,22.0,True,16.65,False,,635.0,523.0,1.2141,V5.0,2026-05-04,22
Carsen Ryan,TE,BYU,2026,248,7,Drafted Pick 248,complete,,1.6,27.1,6.5,24.0,2026_prospect,,,,,,22.5,14.8,40.0,23.0,True,20.090732339598187,False,,620.0,403.0,1.5385,V5.0,2026-05-04,22
Lance Mason,TE,Wisconsin,2026,258,7,UDFA,complete,,1.6,26.19,1.0,24.5,2026_prospect,,,,,,24.7,13.9,40.0,23.0,True,27.33,False,,398.0,272.0,1.4632,V5.0,2026-05-04,22
Toby Payne,TE,Marshall,2026,258,7,UDFA,complete,,1.6,26.6,1.0,25.5,2026_prospect,,,,,,30.4,10.9,40.0,22.9,True,15.770465489566613,False,,387.0,335.0,1.1552,V5.0,2026-05-04,22
Lake McRee,TE,USC,2026,258,7,UDFA,complete,,1.6,25.97,1.0,23.9,2026_prospect,,,,,,26.6,10.6,40.0,,False,11.564449064449065,False,,450.0,420.0,1.0714,V5.0,2026-05-04,22
Nate Rutchena,TE,UC Davis,2026,258,7,UDFA,partial_data,,1.6,26.17,1.0,24.4,2026_prospect,,,,,,31.8,6.6,40.0,,,,False,,,,,V5.0,2026-05-04,22
Chamon Metayer,TE,Arizona State,2026,258,7,UDFA,complete,,1.6,25.69,1.0,23.2,2026_prospect,,,,,,28.0,7.3,40.0,,False,14.23,False,,375.0,430.0,0.8721,V5.0,2026-05-04,22
Dan Villari,TE,Syracuse,2026,258,7,UDFA,complete,,1.6,24.71,1.0,20.8,2026_prospect,,,,,,20.4,8.4,40.0,24.1,True,15.77924601632336,False,,412.0,408.0,1.0098,V5.0,2026-05-04,22
Ty Thompson,TE,Tulane,2026,258,7,UDFA,complete,,1.6,24.89,1.0,21.2,2026_prospect,,,,,,23.3,6.6,40.0,,False,8.252032520325203,False,,0.0,391.0,0.0,V5.0,2026-05-04,22
Brett Norfleet,TE,Missouri,2026,258,7,UDFA,complete,,1.6,25.05,1.0,21.6,2026_prospect,,,,,,25.4,5.6,40.0,22.0,True,22.93,False,,254.0,361.0,0.7036,V5.0,2026-05-04,22
