player_name,position,school,draft_year,pick,round,dc_score,production_score,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,rec_yards,team_pass_att,nfl_best_ppr,nfl_best_ppg,nfl_hit24,nfl_hit12,data_type
Leonard Fournette,RB,LSU,2017,4,1,96.73123522513825,29.395973154362412,receiving_production,80.39999999999999,70.71420821659596,-26.017027008542286,observed,observed,146.0,298.0,289.8,17.04705882352941,1,1,backtest
Dalvin Cook,RB,Florida St.,2017,41,2,78.40408953083528,69.54869358669833,receiving_production,46.5,70.51908752076206,-7.885002010073222,observed,observed,488.0,421.0,337.8,19.87058823529412,1,1,backtest
Alvin Kamara,RB,Tennessee,2017,67,3,69.86299160356411,62.058047493403684,receiving_production,80.8,68.77181242447335,-1.0911791790907586,observed,observed,392.0,379.0,410.9,24.170588235294115,1,1,backtest
Kareem Hunt,RB,Toledo,2017,86,3,64.41603636571921,57.16312056737588,receiving_production,51.5,59.940110381441166,-4.475925984278042,observed,observed,403.0,423.0,308.90000000000003,18.17058823529412,1,1,backtest
Jeremy McNichols,RB,Boise St.,2017,162,5,46.15155112223164,73.38494018296974,receiving_production,66.5,58.73550462515523,12.583953502923592,observed,imputed,474.0,406.0,73.60000000000001,4.329411764705883,0,0,backtest
James Conner,RB,Pittsburgh,2017,105,3,59.41186469623246,55.92592592592592,receiving_production,43.3,55.775006422190295,-3.6368582740421687,observed,observed,302.0,324.0,280.0,16.470588235294116,1,1,backtest
Marlon Mack,RB,South Florida,2017,143,4,50.33815139213819,39.85634477254588,receiving_production,87.8,52.288796366460154,1.9506449743219676,observed,observed,227.0,358.0,206.1,12.123529411764707,1,0,backtest
Donnel Pumphrey,RB,San Diego St.,2017,132,4,52.85873645151093,54.14062499999999,receiving_production,40.099999999999994,51.39358697575546,-1.4651494757554673,observed,observed,231.0,256.0,0.0,0.0,0,0,backtest
Aaron Jones,RB,Texas-El Paso,2017,182,5,41.94175972374306,42.75229357798165,receiving_production,92.10000000000001,49.74918261416511,7.807422890422046,observed,observed,233.0,327.0,359.70000000000005,21.15882352941177,1,1,backtest
D'Onta Foreman,RB,Texas,2017,89,3,63.59988204942709,11.727078891257994,receiving_production,78.2,47.63441863665385,-15.96546341277324,observed,observed,75.0,402.0,131.0,7.705882352941177,0,0,backtest
Joe Williams,RB,Utah,2017,121,4,55.46053111366024,14.5578231292517,receiving_production,77.8,44.495503652068216,-10.965027461592022,observed,observed,107.0,399.0,0.0,0.0,0,0,backtest
Tarik Cohen,RB,North Carolina A&T,2017,119,4,55.94308596859041,30.0,receiving_production,39.2,44.35154298429521,-11.591542984295202,imputed,observed,,,235.6,13.858823529411763,1,1,backtest
Elijah McGuire,RB,Louisiana,2017,188,6,40.71364508735466,39.76608187134502,receiving_production,66.5,44.249951198648084,3.5363061112934275,observed,imputed,238.0,342.0,85.9,5.052941176470589,0,0,backtest
T.J. Logan,RB,North Carolina,2017,179,5,42.56157955714502,30.442919525888954,receiving_production,75.6,43.27581161263364,0.7142320554886155,observed,observed,244.0,458.0,10.9,0.6411764705882353,0,0,backtest
Samaje Perine,RB,Oklahoma,2017,114,4,57.16316107479519,17.351190476190474,receiving_production,49.400000000000006,42.06449720406427,-15.098663870730924,observed,observed,106.0,384.0,165.4,9.729411764705883,0,0,backtest
Wayne Gallman,RB,Clemson,2017,140,4,51.018045072501344,14.499205087440382,receiving_production,62.800000000000004,40.00374431685481,-11.014300755646538,observed,observed,152.0,629.0,136.6,8.035294117647059,0,0,backtest
Brian Hill,RB,Wyoming,2017,156,5,47.452429780384286,11.111948737278551,receiving_production,74.0,38.715396948239636,-8.73703283214465,observed,observed,67.0,379.0,95.4,5.611764705882353,0,0,backtest
De'Angelo Henderson,RB,Coastal Carolina,2017,203,6,37.70677743241549,30.0,receiving_production,56.6,37.84338871620775,0.13661128379225573,imputed,observed,,,0.0,0.0,0,0,backtest
Devante Mays,RB,Utah St.,2017,238,7,31.00152182589578,30.0,receiving_production,76.6,37.49076091294789,6.489239087052113,imputed,observed,,,1.1,0.0647058823529411,0,0,backtest
Jamaal Williams,RB,BYU,2017,134,4,52.39467932215801,11.650485436893202,receiving_production,45.5,37.10000956399163,-15.294669758166386,observed,observed,80.0,412.0,225.9,13.288235294117648,1,0,backtest
Matthew Dayes,RB,North Carolina St.,2017,252,7,28.42591925759298,34.83365949119373,receiving_production,66.5,36.379740450714294,7.953821193121314,observed,imputed,267.0,438.0,0.0,0.0,0,0,backtest
Chris Carson,RB,Oklahoma St.,2017,249,7,28.97316023447314,16.51612903225806,receiving_production,79.1,32.13222527852689,3.1590650440537473,observed,observed,128.0,465.0,232.6,13.682352941176472,1,0,backtest
Khalfani Muhammad,RB,California,2017,241,7,30.444862386220947,12.753623188405795,receiving_production,75.19999999999999,30.9661993090525,0.5213369228315514,observed,observed,132.0,621.0,0.0,0.0,0,0,backtest
Elijah Hood,RB,North Carolina,2017,242,7,30.25989524574358,19.48845913911416,receiving_production,56.900000000000006,30.485908321561745,0.226013075818166,observed,observed,142.0,458.0,0.0,0.0,0,0,backtest
Brandon Wilson,RB,Houston,2017,207,6,36.919368987448195,5.681507784758262,receiving_production,66.5,30.423212218389487,-6.496156769058707,observed,imputed,52.0,523.0,0.0,0.0,0,0,backtest
Saquon Barkley,RB,Penn St.,2018,2,1,98.71149956490876,86.73736743605738,receiving_production,99.7,94.66882838507446,-4.042671179834301,observed,observed,632.0,458.0,455.7,26.80588235294117,1,1,backtest
Rashaad Penny,RB,San Diego St.,2018,27,1,83.87932650686992,32.14285714285713,receiving_production,72.6,64.07966325343494,-19.79966325343497,observed,observed,135.0,252.0,121.7,7.158823529411765,0,0,backtest
Sony Michel,RB,Georgia,2018,31,1,82.22305120306456,17.985948477751755,receiving_production,89.5,60.83160756874539,-21.391443634319167,observed,observed,96.0,305.0,210.6,12.388235294117647,1,0,backtest
Kerryon Johnson,RB,Auburn,2018,43,2,77.68493914356304,31.922213911742706,receiving_production,70.9,60.65024444089146,-17.03469470267158,observed,observed,194.0,382.0,139.4,8.200000000000001,0,0,backtest
Ronald Jones II,RB,USC,2018,38,2,79.50835134744189,23.939482106488214,receiving_production,66.5,58.10799441099182,-21.400356936450066,observed,imputed,187.0,491.0,0.0,0.0,0,0,backtest
Royce Freeman,RB,Oregon,2018,71,3,68.67193564014815,31.63987138263665,receiving_production,82.6,57.7999228039969,-10.87201283615125,observed,observed,164.0,311.0,142.20000000000002,8.364705882352942,0,0,backtest
Derrius Guice,RB,LSU,2018,59,2,72.3295803529313,25.980952380952377,receiving_production,73.7,56.313123509798984,-16.016456843132318,observed,observed,124.0,300.0,57.400000000000006,3.3764705882352946,0,0,backtest
Nick Chubb,RB,Georgia,2018,35,2,80.64628526255893,5.901639344262294,receiving_production,91.5,56.11371640177127,-24.532568860787663,observed,observed,30.0,305.0,281.4,16.552941176470586,1,1,backtest
John Kelly,RB,Tennessee,2018,176,6,43.185359664653696,58.916256157635466,receiving_production,44.3,48.85836948749926,5.6730098228455645,observed,observed,299.0,319.0,12.1,0.7117647058823531,0,0,backtest
Chase Edmonds,RB,Fordham,2018,134,4,52.39467932215801,30.0,receiving_production,78.89999999999999,48.53233966107901,-3.8623396610790053,imputed,observed,21.0,,168.0,9.882352941176473,0,0,backtest
Ito Smith,RB,Southern Miss,2018,126,4,54.26721625603232,30.0,receiving_production,62.599999999999994,47.023608128016164,-7.243608128016156,imputed,observed,,,97.7,5.747058823529412,0,0,backtest
Nyheim Hines,RB,North Carolina St.,2018,104,4,59.66616074360643,19.740259740259738,receiving_production,56.8,45.26217128089412,-14.40398946271231,observed,observed,152.0,484.0,163.3,9.605882352941178,0,0,backtest
Kalen Ballage,RB,Arizona St.,2018,131,4,53.091766375709646,13.124999999999998,receiving_production,91.19999999999999,44.81963318785482,-8.272133187854827,observed,observed,91.0,416.0,93.9,5.523529411764706,0,0,backtest
Jordan Wilkins,RB,Mississippi,2018,169,5,44.65677995993028,30.144832126398942,receiving_production,77.4,44.48908122420477,-0.16769873572551575,observed,observed,241.0,434.0,61.3,3.605882352941177,0,0,backtest
Trenton Cannon,RB,Virginia St.,2018,204,6,37.50937673477087,30.0,receiving_production,90.7,42.85968836738543,5.350311632614563,imputed,observed,,,48.7,2.864705882352941,0,0,backtest
Boston Scott,RB,Louisiana Tech,2018,201,6,38.10269095611306,24.625850340136054,receiving_production,88.5,40.945393097104144,2.8427021409910864,observed,observed,181.0,420.0,109.1,6.417647058823529,0,0,backtest
Mark Walton,RB,Miami (FL),2018,112,4,57.65686444404836,13.458823529411763,receiving_production,45.5,40.3640204573183,-17.292843986730063,observed,observed,91.0,425.0,0.0,0.0,0,0,backtest
Justin Jackson,RB,Northwestern,2018,251,7,28.608056453145068,35.92190889370932,receiving_production,88.4,40.13669633937079,11.528639886225726,observed,observed,276.0,461.0,86.2,5.070588235294117,0,0,backtest
Bo Scarbrough,RB,Alabama,2018,236,7,31.374110141410995,18.760757314974178,receiving_production,92.5,36.12832013094646,4.754209989535468,observed,observed,109.0,332.0,43.2,2.541176470588236,0,0,backtest
Nick Bawden,RB,San Diego St.,2018,237,7,31.187666633411297,24.52380952380952,receiving_production,66.5,34.15216665003898,2.9645000166276816,observed,imputed,103.0,252.0,0.0,0.0,0,0,backtest
David Williams,RB,Arkansas,2018,226,7,33.25536729822588,27.302521008403364,receiving_production,47.599999999999994,33.323566002054115,0.06819870382823723,observed,observed,171.0,340.0,0.0,0.0,0,0,backtest
Josh Jacobs,RB,Alabama,2019,24,1,85.18360526375135,35.446836268754076,receiving_production,56.5,63.4731953259396,-21.710409937811747,observed,observed,247.0,438.0,328.3,19.31176470588236,1,1,backtest
Darrell Henderson,RB,Memphis,2019,70,3,68.96725571920754,42.85714285714285,receiving_production,76.8,61.00362785960377,-7.9636278596037755,observed,observed,295.0,413.0,171.4,10.08235294117647,0,0,backtest
Tony Pollard,RB,Memphis,2019,128,4,53.79494679154125,64.50363196125906,receiving_production,71.7,60.2287445822113,6.433797790670049,observed,observed,444.0,413.0,266.0,15.647058823529411,1,1,backtest
Miles Sanders,RB,Penn St.,2019,53,2,74.26400482294514,22.005277044854875,receiving_production,94.80000000000001,59.05384937717177,-15.210155445773367,observed,observed,139.0,379.0,244.8,14.4,1,1,backtest
Damien Harris,RB,Alabama,2019,87,3,64.14280026523261,27.94520547945205,receiving_production,63.6,51.39222205042452,-12.750578214808087,observed,observed,204.0,438.0,214.8,12.63529411764706,1,0,backtest
David Montgomery,RB,Iowa St.,2019,73,3,68.08599462283559,25.95041322314049,receiving_production,51.5,50.85064193951697,-17.235352683318617,observed,observed,157.0,363.0,267.90000000000003,15.758823529411767,1,1,backtest
Alexander Mattison,RB,Boise St.,2019,102,3,60.177557959621616,23.639751552795026,receiving_production,68.1,48.57769202328907,-11.599865936332549,observed,observed,173.0,460.0,137.4,8.08235294117647,0,0,backtest
Justice Hill,RB,Oklahoma St.,2019,113,4,57.409597693011136,8.705266220541167,receiving_production,93.3,45.746642023694974,-11.662955669316162,observed,observed,68.0,491.0,147.3,8.664705882352942,0,0,backtest
Benny Snell Jr.,RB,Kentucky,2019,122,4,55.220391068257086,22.3728813559322,receiving_production,66.5,45.415704008704814,-9.804687059552272,observed,imputed,105.0,295.0,0.0,0.0,0,0,backtest
Bryce Love,RB,Stanford,2019,112,4,57.65686444404836,14.04255319148936,receiving_production,66.5,43.718325839045455,-13.938538605002904,observed,imputed,99.0,423.0,0.0,0.0,0,0,backtest
Travis Homer,RB,Miami (FL),2019,204,6,37.50937673477087,32.93360160965794,receiving_production,83.4,42.79144893076571,5.282072195994843,observed,observed,186.0,355.0,55.8,3.282352941176471,0,0,backtest
Trayveon Williams,RB,Texas A&M,2019,182,6,41.94175972374306,39.661568499837294,receiving_production,46.0,41.75242883681458,-0.18933088692848088,observed,observed,277.0,439.0,21.700000000000003,1.2764705882352942,0,0,backtest
Rodney Anderson,RB,Oklahoma,2019,211,6,36.13772172752879,38.937644341801374,receiving_production,66.5,41.672036383394875,5.534314655866083,observed,imputed,281.0,433.0,0.0,0.0,0,0,backtest
