player_name,college,position,height,weight,forty_yard_dash,bench_press,vertical_jump,broad_jump,three_cone,shuttle,RAS_score,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,total_touchdowns,games_played,team_pass_attempts,team_rec_yards,team_rec_tds,rec_yards_share,rec_td_share,dominator_rating,rec_yards_per_team_pass_att,projected_pick,slap_v5_score,dc_score,delta_vs_dc,breakout_age,peak_dominator,slap_tier
Miles Kitselman,Tennessee,TE,"6'5""",255.0,,,,,,,40.0,1.0,2.0,0.0,26.0,253.0,2.0,2.0,13.0,437.0,3807.0,26.0,6.6,7.7,7.2,0.58,409,1.0,1.0,0.0,,10.5,Long Shot
Jaren Kanak,Oklahoma,TE,"6'2""",233.0,,,,,,,40.0,,,,44.0,533.0,0.0,0.0,13.0,431.0,3066.0,17.0,17.4,0.0,8.7,1.24,411,1.0,1.0,0.0,20.8,17.3,Long Shot
Matthew Hibner,SMU,TE,"6'5""",252.0,,,,,,,40.0,,,,31.0,436.0,4.0,4.0,13.0,460.0,3680.0,26.0,11.8,15.4,13.6,0.95,419,1.0,1.0,0.0,,11.8,Long Shot
Tanner Arkin,Illinois,TE,"6'4""",265.0,,,,,,,40.0,,,,13.0,114.0,2.0,2.0,13.0,372.0,3065.0,23.0,3.7,8.7,6.2,0.31,420,1.0,1.0,0.0,,4.9,Long Shot
DJ Rogers,TCU,TE,,,,,,,,,40.0,,,,34.0,319.0,2.0,2.0,13.0,460.0,3771.0,30.0,8.5,6.7,7.6,0.69,421,1.0,1.0,0.0,,8.5,Long Shot
Jameson Geers,Minnesota,TE,"6'5""",250.0,,,,,,,40.0,2.0,1.0,0.0,26.0,206.0,4.0,4.0,13.0,399.0,2469.0,19.0,8.3,21.1,14.7,0.52,423,1.0,1.0,0.0,,10.1,Long Shot
Jack Velling,Michigan State,TE,"6'5""",245.0,,,,,,,40.0,,,,36.0,359.0,3.0,3.0,12.0,378.0,2672.0,20.0,13.4,15.0,14.2,0.95,445,1.0,1.0,0.0,21.7,15.8,Long Shot
Davin Stoffel,Illinois,TE,"6'6""",260.0,,,,,,,40.0,,,,1.0,24.0,0.0,0.0,13.0,372.0,3065.0,23.0,0.8,0.0,0.4,0.06,477,1.0,1.0,0.0,,0.8,Long Shot
Amari Niblack,Texas A&M,TE,"6'3""",235.0,,,,,,,40.0,,,,5.0,69.0,0.0,0.0,13.0,408.0,3378.0,26.0,2.0,0.0,1.0,0.17,480,1.0,1.0,0.0,,10.6,Long Shot
Holden Staes,Indiana,TE,"6'4""",248.0,,,,,,,40.0,,,,7.0,62.0,2.0,2.0,16.0,406.0,3826.0,46.0,1.6,4.3,3.0,0.15,501,1.0,1.0,0.0,,5.5,Long Shot
Josh Kattus,Kentucky,TE,"6'4""",247.0,,,,,,,40.0,,,,17.0,195.0,2.0,2.0,12.0,367.0,2423.0,15.0,8.0,13.3,10.7,0.53,528,1.0,1.0,0.0,,8.0,Long Shot
Ty Thompson,Tulane,TE,"6'4""",224.0,,,,,,,40.0,,,,,,,,14.0,425.0,3432.0,18.0,,,,,586,1.0,1.0,0.0,,8.3,Long Shot
Jerand Bradley,Kansas State,TE,,223.0,,,,,,,40.0,,0.0,,13.0,184.0,2.0,2.0,12.0,342.0,2380.0,18.0,7.7,11.1,9.4,0.54,608,1.0,1.0,0.0,,8.7,Long Shot
Chamon Metayer,Arizona State,TE,"6'4""",255.0,,,,,,,40.0,1.0,1.0,0.0,38.0,375.0,4.0,4.0,13.0,430.0,2908.0,20.0,12.9,20.0,16.4,0.87,615,1.0,1.0,0.0,,13.0,Long Shot
Nate Rutchena,UC Davis,TE,"6'3""",230.0,,,,,,,40.0,,,,,,,,13.0,,,,,,,,662,1.0,1.0,0.0,,,Long Shot
