player_name,position,college,draft_year,pick,round,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,enhanced_breakout,teammate_score,early_declare_score,breakout_age,peak_dominator,rush_yards,rec_yards,team_pass_att,pos_rank
Raymond Cottrell,WR,West Alabama,2026,250,7,2.4,28.61,3.9,28.2,2026_prospect,17.3,0.0,100.0,,2.3,,,,55
Dane Key,WR,Nebraska,2026,237,7,2.4,28.55,8.4,22.4,2026_prospect,33.6,0.0,0.0,,18.6,,,,55
Tyler Brown,WR,Clemson,2026,250,7,2.2,27.94,3.9,26.0,2026_prospect,38.9,0.0,0.0,,18.9,71.0,,,57
Hykeem Williams,WR,Colorado,2026,250,7,2.2,28.49,3.9,27.8,2026_prospect,16.7,0.0,100.0,,1.7,,,,57
Nathan Leacock,WR,North Carolina,2026,250,7,2.2,28.37,3.9,27.4,2026_prospect,16.1,0.0,100.0,,1.1,6.0,,,57
Ryan Niblett,WR,Texas,2026,250,7,2.2,28.34,3.9,27.3,2026_prospect,15.9,0.0,100.0,,0.9,15.0,,,57
Squirrel White,WR,Florida State,2026,250,7,2.2,28.32,3.9,27.2,2026_prospect,15.9,0.0,100.0,,0.9,6.0,,,57
Jaquaize Pettaway,WR,East Carolina,2026,250,7,2.2,28.24,3.9,27.0,2026_prospect,15.5,0.0,100.0,,0.5,2.0,,,57
Braylon James,WR,TCU,2026,250,7,2.2,28.19,3.9,26.8,2026_prospect,15.2,0.0,100.0,,0.2,,,,57
Eric Rivers,WR,Georgia Tech,2026,242,7,2.2,28.4,5.9,24.1,2026_prospect,36.1,0.0,0.0,,16.1,56.0,,,57
Jalen Walthall,WR,Incarnate Word,2026,250,7,2.2,28.15,3.9,26.7,2026_prospect,40.0,0.0,0.0,,55.9,50.0,,,57
Vinny Anthony II,WR,Wisconsin,2026,250,7,2.2,28.15,3.9,26.7,2026_prospect,40.0,0.0,0.0,,28.5,27.0,,,57
Tyren Montgomery,WR,John Carroll,2026,229,7,1.9,27.88,11.1,16.7,2026_prospect,25.0,0.0,0.0,,,,,,67
Trebor Pena,WR,Penn State,2026,250,7,1.9,27.67,3.9,25.0,2026_prospect,37.6,0.0,0.0,,17.6,69.0,,,67
Caullin Lacy,WR,Louisville,2026,250,7,1.9,27.48,3.9,24.4,2026_prospect,36.6,0.0,0.0,,16.6,53.0,,,67
Rara Thomas,WR,Troy,2026,250,7,1.9,27.48,3.9,24.4,2026_prospect,36.6,0.0,0.0,23.0,23.2,39.0,,,67
Dillon Bell,WR,Georgia,2026,250,7,1.6,26.71,3.9,21.9,2026_prospect,32.8,0.0,0.0,,12.8,109.0,,,71
Jordan Dwyer,WR,TCU,2026,250,7,1.6,27.15,3.9,23.3,2026_prospect,35.0,0.0,0.0,,21.3,,,,71
Griffin Wilde,WR,Northwestern,2026,250,7,1.6,27.15,3.9,23.3,2026_prospect,35.0,0.0,0.0,,41.7,5.0,,,71
C.J. Williams,WR,Stanford,2026,250,7,1.6,27.15,3.9,23.3,2026_prospect,35.0,0.0,0.0,,35.6,,,,71
Justus Ross-Simmons,WR,Syracuse,2026,250,7,1.6,27.15,3.9,23.3,2026_prospect,35.0,0.0,0.0,,20.7,,,,71
Jalil Farooq,WR,Maryland,2026,250,7,1.6,27.15,3.9,23.3,2026_prospect,35.0,0.0,0.0,,20.0,8.0,,,71
Malik Benson,WR,Oregon,2026,250,7,1.6,26.98,3.9,22.8,2026_prospect,34.1,0.0,0.0,,19.1,-4.0,,,71
Jeff Caldwell,WR,Cincinnati,2026,250,7,1.6,26.82,3.9,22.2,2026_prospect,33.3,0.0,0.0,,18.3,,,,71
Harrison Wallace III,WR,Mississippi,2026,250,7,1.6,26.68,3.9,21.8,2026_prospect,32.6,0.0,0.0,,17.6,,,,71
J.Michael Sturdivant,WR,Florida,2026,250,7,1.3,26.47,3.9,21.1,2026_prospect,31.6,0.0,0.0,,16.6,1.0,,,80
Kaleb Brown,WR,UAB,2026,250,7,1.0,24.95,3.9,16.0,2026_prospect,24.0,0.0,0.0,,9.0,5.0,,,81
Colbie Young,WR,Georgia,2026,250,7,1.0,24.71,3.9,15.2,2026_prospect,22.8,0.0,0.0,,7.8,,,,81
Jayden Ballard,WR,Wisconsin,2026,250,7,1.0,26.29,3.9,20.5,2026_prospect,30.7,0.0,0.0,,15.7,,,,81
Michael Wortham,WR,Montana,2026,250,7,1.0,26.15,3.9,20.0,2026_prospect,30.0,0.0,0.0,,,345.0,,,81
