player_name,position,school,draft_year,pick,round,dc_score,production_score,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,rec_yards,team_pass_att,nfl_best_ppr,nfl_best_ppg,nfl_hit24,nfl_hit12,data_type
Royce Freeman,RB,Oregon,2018,71,3,6.064459509512579,52.73311897106109,receiving_production,82.6,33.87882139462767,27.81436188511509,observed,observed,164.0,311.0,142.20000000000002,8.364705882352942,0,0,backtest
Kerryon Johnson,RB,Auburn,2018,43,2,9.66920167559071,50.78534031413613,receiving_production,70.9,33.244469947743,23.57526827215229,observed,observed,194.0,382.0,139.4,8.200000000000001,0,0,backtest
Jordan Wilkins,RB,Mississippi,2018,169,5,1.6140003337794369,55.52995391705069,receiving_production,77.4,31.852484037857458,30.23848370407802,observed,observed,241.0,434.0,61.3,3.605882352941177,0,0,backtest
Sony Michel,RB,Georgia,2018,31,1,12.55836814562359,31.475409836065577,receiving_production,89.5,30.72057751543474,18.16220936981115,observed,observed,96.0,305.0,210.6,12.388235294117647,1,0,backtest
Derrius Guice,RB,LSU,2018,59,2,7.2913303599247605,41.333333333333336,receiving_production,73.7,29.167331846629047,21.876001486704286,observed,observed,124.0,300.0,57.400000000000006,3.3764705882352946,0,0,backtest
Boston Scott,RB,Louisiana Tech,2018,201,6,0.9330814936247598,43.095238095238095,receiving_production,88.5,28.82487408014571,27.891792586520953,observed,observed,181.0,420.0,109.1,6.417647058823529,0,0,backtest
Ronald Jones II,RB,USC,2018,38,2,10.705510103921506,38.085539714867615,receiving_production,66.5,28.657693952164415,17.95218384824291,observed,imputed,187.0,491.0,0.0,0.0,0,0,backtest
Bo Scarbrough,RB,Alabama,2018,236,7,0.35324869409290793,32.831325301204814,receiving_production,92.5,25.54258820246814,25.18933950837523,observed,observed,109.0,332.0,43.2,2.541176470588236,0,0,backtest
David Williams,RB,Arkansas,2018,226,7,0.5050846543828454,50.294117647058826,receiving_production,47.599999999999994,24.995483503662008,24.490398849279163,observed,observed,171.0,340.0,0.0,0.0,0,0,backtest
Trenton Cannon,RB,Virginia St.,2018,204,6,0.8775979717499552,30.0,receiving_production,90.7,24.54379898587498,23.666201014125022,imputed,observed,,,48.7,2.864705882352941,0,0,backtest
Nick Bawden,RB,San Diego St.,2018,237,7,0.33859591814689466,40.87301587301587,receiving_production,66.5,24.449853514629,24.11125759648211,observed,imputed,103.0,252.0,0.0,0.0,0,0,backtest
Chase Edmonds,RB,Fordham,2018,134,4,2.6226942132758926,30.0,receiving_production,78.89999999999999,23.646347106637947,21.023652893362055,imputed,observed,21.0,,168.0,9.882352941176473,0,0,backtest
Nick Chubb,RB,Georgia,2018,35,2,11.431292043379745,9.836065573770492,receiving_production,91.5,22.883268972509544,11.451976929129799,observed,observed,30.0,305.0,281.4,16.552941176470586,1,1,backtest
Kalen Ballage,RB,Arizona St.,2018,131,4,2.727527122855803,21.875,receiving_production,91.19999999999999,22.700013561427898,19.972486438572094,observed,observed,91.0,416.0,93.9,5.523529411764706,0,0,backtest
Nyheim Hines,RB,North Carolina St.,2018,104,4,3.8666697816442204,31.40495867768595,receiving_production,56.8,21.445070428012194,17.578400646367975,observed,observed,152.0,484.0,163.3,9.605882352941178,0,0,backtest
Ito Smith,RB,Southern Miss,2018,126,4,2.9104986379461453,30.0,receiving_production,62.599999999999994,21.34524931897307,18.434750681026927,imputed,observed,,,97.7,5.747058823529412,0,0,backtest
Mark Walton,RB,Miami (FL),2018,112,4,3.4864870844960096,21.41176470588235,receiving_production,45.5,16.062361189306827,12.575874104810818,observed,observed,91.0,425.0,0.0,0.0,0,0,backtest
Tony Pollard,RB,Memphis,2019,128,4,2.836024299005071,100.0,receiving_production,71.7,47.17301214950254,44.33698785049747,observed,observed,444.0,413.0,266.0,15.647058823529411,1,1,backtest
Darrell Henderson,RB,Memphis,2019,70,3,6.154491197156073,71.42857142857143,receiving_production,76.8,39.59724559857804,33.442754401421965,observed,observed,295.0,413.0,171.4,10.08235294117647,0,0,backtest
Josh Jacobs,RB,Alabama,2019,24,1,15.171704953305461,56.39269406392694,receiving_production,56.5,35.79829539902716,20.6265904457217,observed,observed,247.0,438.0,328.3,19.31176470588236,1,1,backtest
Rodney Anderson,RB,Oklahoma,2019,211,6,0.7527695331324677,64.8960739030023,receiving_production,66.5,33.06501063261704,32.312241099484574,observed,imputed,281.0,433.0,0.0,0.0,0,0,backtest
Travis Homer,RB,Miami (FL),2019,204,6,0.8775979717499552,52.394366197183096,receiving_production,83.4,31.28682715488906,30.409229183139104,observed,observed,186.0,355.0,55.8,3.282352941176471,0,0,backtest
Miles Sanders,RB,Penn St.,2019,53,2,8.055719793635944,36.675461741424805,receiving_production,94.80000000000001,31.084271506316654,23.02855171268071,observed,observed,139.0,379.0,244.8,14.4,1,1,backtest
Trayveon Williams,RB,Texas A&M,2019,182,6,1.3157604889349657,63.097949886104786,receiving_production,46.0,29.642162704604154,28.326402215669187,observed,observed,277.0,439.0,21.700000000000003,1.2764705882352942,0,0,backtest
Damien Harris,RB,Alabama,2019,87,3,4.842260573520457,46.57534246575342,receiving_production,63.6,28.262500149773924,23.420239576253465,observed,observed,204.0,438.0,214.8,12.63529411764706,1,0,backtest
David Montgomery,RB,Iowa St.,2019,73,3,5.889978152981345,43.25068870523416,receiving_production,51.5,25.807730123322628,19.917751970341282,observed,observed,157.0,363.0,267.90000000000003,15.758823529411767,1,1,backtest
Kerrith Whyte Jr,RB,Florida Atlantic,2019,222,7,0.568672632556854,43.956043956043956,receiving_production,66.5,25.64395170089381,25.075279068336954,observed,imputed,160.0,364.0,0.0,0.0,0,0,backtest
