player_name,position,draft_year,pick,college,dc_score,production_score,ras_raw,ras_score,slap_score,slap_tier,best_season_ppg,hit24,hit12,rank
Michael Pittman Jr.,WR,2020,34,USC,81.03375665926983,75.0,8.27,77.69999999999999,80.26369316037936,Great,0.0,0.0,0.0,69
Xavier Legette,WR,2024,32,South Carolina,81.82194951930317,60.0,9.9,94.0,80.2486570914077,Great,7.358823529411764,0.0,0.0,70
N'Keal Harry,WR,2019,32,Arizona St.,81.82194951930317,60.0,8.44,79.39999999999999,79.51865709140769,Good,1.788235294117647,0.0,0.0,71
Dante Pettis,WR,2018,44,Washington,77.33014043640625,100.0,,68.94822695035461,79.17803071846305,Good,6.088235294117647,0.0,0.0,72
Michael Thomas,WR,2016,47,Ohio St.,76.2836840704932,100.0,9.11,86.1,79.14613145991922,Good,22.858823529411765,1.0,1.0,73
Courtland Sutton,WR,2018,40,SMU,78.76865523265029,75.0,9.81,93.10000000000001,79.10835694775274,Good,14.564705882352941,1.0,0.0,74
Josh Jacobs,RB,2019,24,Alabama,85.18360526375135,36.02335290280496,5.65,51.5,78.58339976446914,Good,19.31176470588236,1.0,1.0,75
Tee Higgins,WR,2020,33,Clemson,81.42558366090017,75.0,4.12,36.2,78.52174611176515,Good,16.470588235294116,1.0,1.0,76
Joe Mixon,RB,2017,48,Oklahoma,75.94055021860186,92.32529761904762,9.46,89.60000000000001,78.26199744771634,Good,20.51764705882353,1.0,1.0,77
Javonte Williams,RB,2021,35,North Carolina,80.64628526255893,55.55582232893157,8.79,82.89999999999999,78.24992470606824,Good,12.052941176470588,1.0,0.0,78
Ja'Lynn Polk,WR,2024,37,Washington,79.88373711084623,60.0,8.85,83.5,78.0761765442193,Good,1.9235294117647062,0.0,0.0,79
Anthony Miller,WR,2018,51,Memphis,74.92708446694223,100.0,9.27,87.69999999999999,78.0730217969009,Good,7.5,0.0,0.0,80
Jonathan Mingo,WR,2023,39,Mississippi,79.1367012454148,60.0,9.87,93.69999999999999,77.95119605860258,Good,4.988235294117647,0.0,0.0,81
