player_name,position,school,draft_year,pick,round,dc_score,production_score,production_score_raw,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,breakout_age,nfl_best_ppr,nfl_hit24,nfl_hit12,data_type
Rashard Higgins,WR,Colorado St.,2016,172,5,44.02338900352743,42.18289085545723,67.28780213603147,breakout_age,16.5,39.526781023384274,-4.496607980143153,observed,observed,21.0,139.5,0.0,0.0,backtest
Devin Fuller,WR,UCLA,2016,238,7,31.00152182589578,25.368731563421832,60.0,breakout_age,83.4,37.734735499516624,6.733213673620845,observed,observed,21.0,0.0,0.0,0.0,backtest
Aaron Burbridge,WR,Michigan St.,2016,213,6,35.74901134195683,40.41297935103245,66.32210805358106,breakout_age,27.799999999999997,35.48945324247843,-0.25955809947839725,observed,observed,21.0,15.8,0.0,0.0,backtest
Devin Lucien,WR,Arizona St.,2016,225,7,33.445215911948296,18.289085545722713,48.57430752079581,breakout_age,66.8,35.41720745191093,1.9719915399626373,observed,observed,22.0,0.0,0.0,0.0,backtest
Charone Peake,WR,Clemson,2016,241,7,30.444862386220947,9.734513274336283,45.0,breakout_age,57.599999999999994,30.376063205910867,-0.06879918031008003,observed,observed,22.0,37.6,0.0,0.0,backtest
Demarcus Ayers,WR,Houston,2016,229,7,32.687727412828664,38.05309734513274,65.60449185557037,breakout_age,8.9,30.19264228736518,-2.4950851254634827,observed,observed,21.0,21.8,0.0,0.0,backtest
Daniel Braverman,WR,Western Michigan,2016,230,7,32.499143045455526,24.188790560471976,54.9,breakout_age,25.6,29.802201091640487,-2.6969419538150383,observed,observed,22.0,0.0,0.0,0.0,backtest
Kenny Lawler,WR,California,2016,243,7,30.075218322602993,33.92330383480826,62.66991655014334,breakout_age,20.9,29.468552676653594,-0.6066656459493984,observed,observed,21.0,0.0,0.0,0.0,backtest
John Ross,WR,Washington,2017,9,1,93.02779892479941,62.83185840707964,81.97796583294672,breakout_age,95.0,87.28444098253556,-5.743357942263856,observed,observed,20.0,95.0,0.0,0.0,backtest
Corey Davis,WR,Western Michigan,2017,5,1,95.89012507645334,45.42772861356932,69.9,breakout_age,68.9,81.74912702240854,-14.1409980540448,observed,imputed,21.0,191.4,0.0,1.0,backtest
Mike Williams,WR,Clemson,2017,7,1,94.38004324460745,17.10914454277286,47.90388411969566,breakout_age,72.4,75.62885701754941,-18.751186227058042,observed,observed,22.0,50.2,0.0,1.0,backtest
Zay Jones,WR,East Carolina,2017,37,2,79.88373711084623,43.067846607669615,68.5164697733482,breakout_age,97.10000000000001,75.10299844358397,-4.780738667262256,observed,observed,21.0,232.8,0.0,1.0,backtest
Curtis Samuel,WR,Ohio St.,2017,40,2,78.76865523265029,58.70206489675516,79.50674909412774,breakout_age,74.5,74.11503888057372,-4.653616352076568,observed,observed,20.0,212.09999,0.0,1.0,backtest
JuJu Smith-Schuster,WR,USC,2017,62,2,71.3905481598709,83.48082595870207,93.93534566370636,breakout_age,68.9,73.43502149565651,2.044473335785611,observed,imputed,19.0,296.9,0.0,1.0,backtest
Chris Godwin,WR,Penn St.,2017,84,3,64.96615833500175,61.35693215339233,81.20878601794993,breakout_age,96.6,68.98938934842961,4.023231013427861,observed,observed,20.0,276.1,0.0,1.0,backtest
Taywan Taylor,WR,Western Kentucky,2017,72,3,68.37819198708551,44.54277286135693,69.28801094319432,breakout_age,87.0,66.40437936387697,-1.973812623208545,observed,observed,21.0,87.6,0.0,0.0,backtest
Carlos Henderson,WR,Louisiana Tech,2017,82,3,65.52128074753156,66.3716814159292,83.59025057030918,breakout_age,57.5,64.48816876908135,-1.0331119784502079,observed,observed,20.0,0.0,0.0,0.0,backtest
Josh Reynolds,WR,Texas A&M,2017,117,4,56.42873272246869,45.13274336283185,69.83087126921917,breakout_age,91.0,59.35522494217102,2.9264922197023324,observed,observed,21.0,122.6,0.0,0.0,backtest
Josh Malone,WR,Tennessee,2017,128,4,53.79494679154125,64.89675516224189,82.66013824884793,breakout_age,70.3,58.49106644695019,4.696119655408943,observed,observed,20.0,6.8,0.0,0.0,backtest
Chad Williams,WR,Grambling St.,2017,98,3,61.21193317920564,25.368731563421832,60.0,breakout_age,90.1,58.37650287916803,-2.8354303000376078,observed,observed,21.0,41.0,0.0,0.0,backtest
Kenny Golladay,WR,Northern Illinois,2017,96,3,61.73512832043268,24.188790560471976,54.9,breakout_age,89.39999999999999,58.375591520375636,-3.359536800057043,observed,observed,22.0,248.0,0.0,1.0,backtest
