pick,dc_expected_ppg,dc_hit_probability,dc_percentile,dc_current_sqrt
78,56.78758938869666,24.549019607843135,70.49808429118774,5.483522884464825
79,56.23471280276817,24.094117647058823,70.11494252873564,5.406897628133519
80,55.68183621683968,23.63921568627451,69.73180076628353,5.331713623024515
81,55.12895963091119,23.184313725490195,69.34865900383141,5.25792624734316
82,54.5760830449827,22.72941176470588,68.96551724137932,5.185492789762809
83,54.023206459054215,22.274509803921568,68.5823754789272,5.114372345528729
84,53.47032987312572,21.819607843137256,68.19923371647509,5.0445257193853115
85,52.91745328719723,21.36470588235294,67.81609195402298,4.9759153348032195
86,52.36457670126875,20.909803921568628,67.43295019157088,4.9085051490289455
87,51.811700115340265,20.454901960784316,67.04980842911877,4.8422605735204565
88,51.25882352941178,20.0,66.66666666666666,4.77714839936997
89,50.941835380305974,19.825641025641026,66.28352490421456,4.713136727348582
90,50.624847231200185,19.651282051282053,65.90038314176245,4.650194902237994
91,50.30785908209439,19.47692307692308,65.51724137931035,4.588293451142285
92,49.99087093298859,19.302564102564105,65.13409961685824,4.52740402549772
93,49.673882783882796,19.128205128205128,64.75095785440614,4.467499346521456
94,49.356894634777,18.953846153846154,64.36781609195403,4.408553153860686
95,49.0399064856712,18.77948717948718,63.984674329501914,4.350540157222667
96,48.7229183365654,18.605128205128203,63.601532567049816,4.293435990783257
97,48.40593018745961,18.430769230769233,63.2183908045977,4.2372171701873
98,48.08894203835381,18.25641025641026,62.83524904214559,4.181861051968502
99,47.77195388924802,18.08205128205128,62.45210727969349,4.12734579522951
100,47.45496574014222,17.907692307692308,62.06896551724138,4.073650325434951
101,47.137977591036424,17.733333333333334,61.68582375478927,4.020754300181069
102,46.82098944193062,17.55897435897436,61.30268199233716,3.9686380768157092
103,46.50400129282483,17.384615384615383,60.91954022988506,3.9172826817915847
104,46.18701314371903,17.21025641025641,60.53639846743295,3.86666978164422
105,45.87002499461324,17.035897435897436,60.15325670498084,3.8167816554937812
106,45.553036845507435,16.861538461538462,59.77011494252874,3.767601168977097
107,45.236048696401646,16.68717948717949,59.38697318007663,3.719111749522794
108,44.91906054729585,16.512820512820515,59.00383141762452,3.671297362888519
109,44.60207239819005,16.338461538461537,58.620689655172406,3.624142490884816
110,44.28508424908425,16.164102564102564,58.23754789272031,3.577632110215375
111,43.96809609997846,15.989743589743592,57.8544061302682,3.5317516723681157
112,43.651107950872664,15.815384615384614,57.47126436781609,3.48648708449601
113,43.33411980176686,15.64102564102564,57.08812260536399,3.441824691230549
114,43.017131652661064,15.466666666666667,56.70498084291188,3.3977512573745967
