player_name,college,position,height,weight,forty_yard_dash,bench_press,vertical_jump,broad_jump,three_cone,shuttle,RAS_score,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,total_touchdowns,games_played,team_pass_attempts,team_rec_yards,team_rec_tds,rec_yards_share,rec_td_share,dominator_rating,rec_yards_per_team_pass_att,projected_pick,slap_v5_score,dc_score,delta_vs_dc,breakout_age,peak_dominator,teammate_score,early_declare,slap_tier
Tyren Montgomery,John Carroll,WR,,,,,,,,,,,,,,,,,,,,,,,,,229,2.2,11.1,-8.9,,,0.0,0.0,Long Shot
Dane Key,Nebraska,WR,,210.0,,,,,,,,,,,39.0,452.0,5.0,5.0,13.0,378.0,2920.0,23.0,15.5,21.7,18.6,1.2,237,2.7,8.4,-5.7,,18.6,0.0,0.0,Long Shot
Eric Rivers,Georgia Tech,WR,,170.0,,,,,,,,7.0,56.0,0.0,47.0,671.0,2.0,2.0,13.0,394.0,3413.0,16.0,19.7,12.5,16.1,1.7,242,2.4,5.9,-3.5,,16.1,0.0,0.0,Long Shot
Keelan Marion,Miami (FL),WR,,195.0,,,,,,,,4.0,25.0,0.0,57.0,746.0,2.0,2.0,16.0,496.0,4051.0,32.0,18.4,6.2,12.3,1.5,250,1.0,3.9,-2.9,,12.3,0.0,0.0,Long Shot
Noah Thomas,Georgia,WR,,205.0,,,,,,,,,,,16.0,254.0,4.0,4.0,14.0,417.0,3083.0,25.0,8.2,16.0,12.1,0.61,250,4.2,3.9,0.3,,12.1,0.0,1.0,Long Shot
Vinny Anthony II,Wisconsin,WR,,190.0,,,,,,,,5.0,27.0,2.0,31.0,391.0,1.0,3.0,12.0,272.0,1637.0,9.0,23.9,11.1,17.5,1.44,250,2.4,3.9,-1.5,,28.5,0.0,0.0,Long Shot
Caullin Lacy,Louisville,WR,,190.0,,,,,,,,15.0,53.0,0.0,60.0,635.0,2.0,2.0,13.0,418.0,2868.0,18.0,22.1,11.1,16.6,1.52,250,2.2,3.9,-1.7,,16.6,0.0,0.0,Long Shot
Kendrick Law,Kentucky,WR,,205.0,,,,,,,,8.0,53.0,0.0,53.0,540.0,3.0,3.0,12.0,367.0,2423.0,15.0,22.3,20.0,21.1,1.47,250,3.6,3.9,-0.3,22.0,21.1,0.0,0.0,Long Shot
Colbie Young,Georgia,WR,,215.0,,,,,,,,,,,26.0,358.0,1.0,1.0,14.0,417.0,3083.0,25.0,11.6,4.0,7.8,0.86,250,1.0,3.9,-2.9,,7.8,0.0,0.0,Long Shot
Chris Hilton,LSU,WR,,190.0,,,,,,,,,,,10.0,122.0,0.0,0.0,13.0,443.0,2984.0,20.0,4.1,0.0,2.0,0.28,250,1.0,3.9,-2.9,,8.1,0.0,0.0,Long Shot
Malik Benson,Oregon,WR,,195.0,,,,,,,,1.0,-4.0,0.0,43.0,719.0,6.0,6.0,15.0,437.0,3804.0,31.0,18.9,19.4,19.1,1.65,250,1.3,3.9,-2.6,,19.1,0.0,0.0,Long Shot
Jeff Caldwell,Cincinnati,WR,,215.0,,,,,,,,,,,32.0,478.0,6.0,6.0,13.0,363.0,2992.0,29.0,16.0,20.7,18.3,1.32,250,1.3,3.9,-2.6,,18.3,0.0,0.0,Long Shot
Hank Beatty,Illinois,WR,,185.0,,,,,,,,4.0,46.0,1.0,70.0,864.0,3.0,4.0,13.0,372.0,3065.0,23.0,28.2,13.0,20.6,2.32,250,7.1,3.9,3.2,21.0,20.6,0.0,0.0,Long Shot
Harrison Wallace III,Mississippi,WR,,195.0,,,,,,,,3.0,1.0,0.0,61.0,934.0,4.0,4.0,15.0,523.0,4700.0,26.0,19.9,15.4,17.6,1.79,250,1.3,3.9,-2.6,,17.6,0.0,0.0,Long Shot
J.Michael Sturdivant,Florida,WR,,213.0,,,,,,,,1.0,1.0,0.0,27.0,406.0,3.0,3.0,12.0,374.0,2455.0,18.0,16.5,16.7,16.6,1.09,250,1.0,3.9,-2.9,,16.6,0.0,0.0,Long Shot
Dillon Bell,Georgia,WR,,210.0,,,,,,,,17.0,109.0,2.0,27.0,268.0,2.0,4.0,14.0,417.0,3083.0,25.0,8.7,8.0,8.3,0.64,250,1.3,3.9,-2.6,,12.8,0.0,0.0,Long Shot
Jordan Dwyer,TCU,WR,,195.0,,,,,,,,,,,54.0,730.0,7.0,7.0,13.0,460.0,3771.0,30.0,19.4,23.3,21.3,1.59,250,1.6,3.9,-2.3,,21.3,0.0,0.0,Long Shot
Griffin Wilde,Northwestern,WR,,200.0,,,,,,,,1.0,5.0,0.0,71.0,880.0,8.0,8.0,13.0,378.0,2417.0,17.0,36.4,47.1,41.7,2.33,250,1.6,3.9,-2.3,,41.7,0.0,0.0,Long Shot
Jalil Farooq,Maryland,WR,,213.0,,,,,,,,2.0,8.0,0.0,58.0,545.0,4.0,4.0,12.0,491.0,3068.0,18.0,17.8,22.2,20.0,1.11,250,1.6,3.9,-2.3,,20.0,0.0,0.0,Long Shot
Amare Thomas,Houston,WR,,205.0,,,,,,,,5.0,9.0,0.0,67.0,966.0,12.0,12.0,13.0,377.0,2813.0,26.0,34.3,46.2,40.2,2.56,250,31.9,3.9,28.0,19.0,40.2,0.0,1.0,Long Shot
Romello Brinson,SMU,WR,,190.0,,,,,,,,1.0,4.0,0.0,43.0,638.0,3.0,3.0,13.0,460.0,3680.0,26.0,17.3,11.5,14.4,1.39,250,1.0,3.9,-2.9,,14.4,0.0,0.0,Long Shot
Jalen Walthall,Incarnate Word,WR,,180.0,,,,,,,,4.0,50.0,0.0,70.0,847.0,8.0,8.0,12.0,540.0,1687.0,13.0,50.2,61.5,55.9,1.57,250,2.4,3.9,-1.5,,55.9,0.0,0.0,Long Shot
Emmanuel Henderson,Kansas,WR,,190.0,,,,,,,,4.0,16.0,0.0,45.0,766.0,5.0,5.0,12.0,345.0,2640.0,23.0,29.0,21.7,25.4,2.22,250,3.3,3.9,-0.6,22.0,25.4,0.0,0.0,Long Shot
Zavion Thomas,LSU,WR,,192.0,,,,,,,,19.0,99.0,1.0,41.0,488.0,4.0,5.0,13.0,443.0,2984.0,20.0,16.4,20.0,18.2,1.1,250,31.1,3.9,27.2,18.0,32.7,80.0,0.0,Long Shot
Trebor Pena,Penn State,WR,,186.0,,,,,,,,11.0,69.0,0.0,49.0,552.0,2.0,2.0,13.0,339.0,2439.0,16.0,22.6,12.5,17.6,1.63,250,2.2,3.9,-1.7,,17.6,0.0,0.0,Long Shot
