player_name,pick,breakout_age,RAS,dc_norm,breakout_norm,slap_score,delta,athletic_status
Braylin Presley,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Kobe Prentice,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Andre Greene Jr.,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
C.J. Williams,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Antonio Gates Jr.,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Mikey Matthews,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Tyler Brown,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
London Humphreys,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Braylon James,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Ayden Williams,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Cordale Russell,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Ryan Niblett,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Brandon Inniss,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jalen Brown,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Anthony Evans III,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Nathan Leacock,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Kyion Grayes,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Rara Thomas,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jayden Thomas,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Cody Jackson,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Dacari Collins,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
JoJo Earle,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Ja'Varrius Johnson,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Ja'Mori Maclin,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Kaleb Brown,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jayden Ballard,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Justus Ross-Simmons,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jaron Glover,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Squirrel White,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jayden McGowan,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Raymond Cottrell,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Tobias Merriweather,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Talyn Shettron,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Christian Leary,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Hank Beatty,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jeff Caldwell,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Malik Benson,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Chris Hilton,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Kaden Wetjen,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Colbie Young,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Kendrick Law,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Andrel Anthony,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jaquaize Pettaway,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Deion Colzie,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Malik McClain,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Kyron Ware-Hudson,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
E.J. Williams,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Max Tomzcak,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Joseph Manjack IV,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jaden Bray,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jared Brown,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Donavon Greene,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jerand Bradley,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Shelton Sampson Jr.,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Cyrus Allen,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Hykeem Williams,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Trebor Pena,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Zavion Thomas,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Emmanuel Henderson,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Chase Roberts,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jalen Walthall,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Eli Heidenreich,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Amare Thomas,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jalil Farooq,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Griffin Wilde,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jordan Dwyer,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Barion Brown,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Dillon Bell,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
J.Michael Sturdivant,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Jaden Greathouse,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Harrison Wallace III,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
Romello Brinson,250,,,38.07375318794881,25.961761297798382,35.62349304820384,-2.4502601397449695,imputed_avg
