player_name,draft_year,pick,round,college,dc_score,breakout_age,breakout_score,RAS,ras_score,athletic_status,slap_score,slap_percentile,delta,hit24_prob,hit12_prob,best_ppg,career_ppg,hit24,hit12,top24_seasons,hit24_display,hit12_display
Corey Davis,2017,5,1,Western Michigan,87.9,18.0,100,,,elite_optout,92.9,100.0,23.9,90.0,53.6,11.3,8.0,0,0,0,0,0
Mike Williams,2017,7,1,Clemson,72.1,18.0,100,7.24,72.4,observed,81.9,97.0,20.9,77.7,39.1,14.5,7.7,1,0,4,1,0
John Ross,2017,9,1,Washington,61.9,18.0,100,9.5,95.0,observed,80.2,94.0,24.2,75.1,37.0,5.6,2.2,0,0,0,0,0
Zay Jones,2017,37,2,East Carolina,23.3,18.0,100,9.71,97.1,observed,61.2,91.0,24.6,37.0,17.6,13.7,5.7,1,0,1,1,0
Curtis Samuel,2017,40,2,Ohio St.,21.9,18.0,100,7.45,74.5,observed,57.1,88.0,21.1,29.2,14.7,12.5,7.3,0,0,0,0,0
JuJu Smith-Schuster,2017,62,2,USC,14.8,21.0,60,,,missing,39.5,34.0,7.1,8.3,6.3,17.5,9.3,1,1,4,1,1
Cooper Kupp,2017,69,3,Eastern Washington,13.3,,25,5.0,50.0,observed,22.9,3.0,-8.7,2.1,2.7,32.6,14.3,1,1,3,1,1
Taywan Taylor,2017,72,3,Western Kentucky,12.7,18.0,100,8.7,87.0,observed,54.4,84.0,23.0,24.7,13.0,5.2,2.1,0,0,0,0,0
ArDarius Stewart,2017,79,3,Alabama,11.5,18.0,100,,,missing,51.8,75.0,21.0,20.7,11.5,1.0,1.0,0,0,0,0,0
Carlos Henderson,2017,82,3,Louisiana Tech,11.0,19.0,90,5.75,57.5,observed,45.6,52.0,15.1,13.3,8.5,0.0,,0,0,0,0,0
Chris Godwin,2017,84,3,Penn St.,10.7,21.0,60,9.66,96.6,observed,40.8,38.0,10.4,9.2,6.7,16.2,12.1,1,1,5,1,1
Kenny Golladay,2017,96,3,Northern Illinois,9.1,21.0,60,8.94,89.4,observed,39.0,25.0,9.4,8.0,6.2,14.6,7.1,1,1,2,1,1
