player_name,position,school,draft_year,pick,round,slap_v5,slap_v4,dc_score,enhanced_breakout,teammate_score,early_declare_score,delta_v5_dc,delta_v5_v4,breakout_age,peak_dominator,rush_yards,nfl_hit24,nfl_hit12,nfl_first_3yr_ppg,nfl_career_ppg,nfl_best_ppr,data_type,production_score,speed_score_norm,rec_yards,team_pass_att,weight,forty,nfl_best_ppg
Derrius Guice,RB,LSU,2018,59,2,58.0,56.3,72.3,,,,-14.3,1.7,,,,0,0,11.48,11.48,57.400000000000006,backtest,26.0,63.7,124.0,300.0,224.0,4.49,3.3764705882352946
Nick Chubb,RB,Georgia,2018,35,2,57.2,56.1,80.6,,,,-23.4,1.1,,,,1,1,14.984090909090911,13.307,281.4,backtest,5.9,60.5,30.0,305.0,227.0,4.52,16.552941176470586
Royce Freeman,RB,Oregon,2018,71,3,57.0,57.8,68.7,,,,-11.6,-0.8,,,,0,0,6.843902439024391,5.852307692307693,142.20000000000002,backtest,31.6,58.4,164.0,311.0,229.0,4.54,8.364705882352942
Ito Smith,RB,Southern Miss,2018,126,4,53.8,55.5,54.3,,,,-0.4,-1.7,,,,0,0,5.626470588235295,5.6485714285714295,97.7,backtest,54.2,45.7,396.0,438.0,195.0,,5.747058823529412
John Kelly,RB,Tennessee,2018,176,6,48.2,48.9,43.2,,,,5.1,-0.6,,,,0,0,,,12.1,backtest,58.9,49.9,299.0,319.0,216.0,,0.7117647058823531
Nyheim Hines,RB,North Carolina St.,2018,104,4,47.6,45.3,59.7,,,,-12.1,2.3,,,,0,0,10.05625,7.174,163.3,backtest,19.7,58.0,152.0,484.0,198.0,4.38,9.605882352941178
Mark Walton,RB,Miami (FL),2018,112,4,42.5,40.4,57.7,,,,-15.1,2.2,,,,0,0,,,0.0,backtest,13.5,20.2,91.0,425.0,202.0,4.6,0.0
Kalen Ballage,RB,Arizona St.,2018,131,4,42.2,44.8,53.1,,,,-10.9,-2.6,,,,0,0,5.557575757575757,4.629268292682927,93.9,backtest,13.1,74.6,91.0,416.0,228.0,4.46,5.523529411764706
Jordan Wilkins,RB,Mississippi,2018,169,5,40.6,44.5,44.7,,,,-4.1,-3.9,,,,0,0,4.74054054054054,4.636585365853658,61.3,backtest,30.1,49.9,241.0,434.0,216.0,,3.605882352941177
Chase Edmonds,RB,Fordham,2018,134,4,35.7,38.0,52.4,,,,-16.7,-2.4,,,,0,0,7.473809523809523,7.13875,168.0,backtest,,32.0,129.0,,205.0,4.55,9.882352941176473
Boston Scott,RB,Louisiana Tech,2018,201,6,34.1,40.9,38.1,,,,-4.0,-6.9,,,,0,0,,,109.1,backtest,24.6,38.8,181.0,420.0,203.0,,6.417647058823529
David Williams,RB,Arkansas,2018,226,7,32.1,33.3,33.3,,,,-1.1,-1.2,,,,0,0,,,0.0,backtest,27.3,46.7,171.0,340.0,229.0,,0.0
Justin Jackson,RB,Northwestern,2018,251,7,30.9,40.1,28.6,,,,2.3,-9.2,,,,0,0,,,86.2,backtest,35.9,31.3,276.0,461.0,199.0,4.52,5.070588235294117
Nick Bawden,RB,San Diego St.,2018,237,7,30.7,34.2,31.2,,,,-0.4,-3.4,,,,0,0,,,0.0,backtest,24.5,62.3,103.0,252.0,245.0,,0.0
Bo Scarbrough,RB,Alabama,2018,236,7,29.1,36.1,31.4,,,,-2.3,-7.0,,,,0,0,,,43.2,backtest,18.8,61.5,109.0,332.0,228.0,4.52,2.541176470588236
Trenton Cannon,RB,Virginia St.,2018,204,6,26.5,32.4,37.5,,,,-11.0,-5.9,,,,0,0,,,48.7,backtest,,42.4,225.0,,,,2.864705882352941
Josh Jacobs,RB,Alabama,2019,24,1,69.2,63.5,85.2,,,,-16.0,5.7,,,,1,1,15.090697674418603,16.11904761904762,328.3,backtest,35.4,63.6,247.0,438.0,220.0,,19.31176470588236
Darrell Henderson,RB,Memphis,2019,70,3,60.0,61.0,69.0,,,,-9.0,-1.0,,,,0,0,9.28529411764706,9.014583333333334,171.4,backtest,42.9,46.6,295.0,413.0,208.0,4.49,10.08235294117647
Miles Sanders,RB,Penn St.,2019,53,2,57.4,59.1,74.3,,,,-16.9,-1.7,,,,1,1,12.6575,10.415909090909093,244.8,backtest,22.0,49.8,139.0,379.0,211.0,4.49,14.4
Tony Pollard,RB,Memphis,2019,128,4,56.5,60.2,53.8,,,,2.7,-3.8,,,,1,1,8.280000000000001,11.13963963963964,266.0,backtest,64.5,42.8,444.0,413.0,210.0,4.52,15.647058823529411
David Montgomery,RB,Iowa St.,2019,73,3,53.7,50.9,68.1,,,,-14.3,2.9,,,,1,1,14.322727272727274,13.329714285714289,267.90000000000003,backtest,26.0,34.1,157.0,363.0,222.0,4.63,15.758823529411767
Damien Harris,RB,Alabama,2019,87,3,52.0,51.4,64.1,,,,-12.1,0.7,,,,1,0,11.63846153846154,9.593023255813954,214.8,backtest,27.9,39.3,204.0,438.0,216.0,4.57,12.63529411764706
Alexander Mattison,RB,Boise St.,2019,102,3,47.5,48.6,60.2,,,,-12.7,-1.1,,,,0,0,6.695238095238096,7.193258426966293,137.4,backtest,23.6,26.1,173.0,460.0,221.0,4.67,8.08235294117647
Devin Singletary,RB,Florida Atlantic,2019,74,3,46.4,38.4,67.8,,,,-21.4,8.0,,,,1,1,10.873333333333331,9.435818181818185,237.3,backtest,5.9,11.2,36.0,364.0,203.0,4.66,13.958823529411765
Benny Snell Jr.,RB,Kentucky,2019,122,4,44.1,45.4,55.2,,,,-11.1,-1.3,,,,0,0,3.741025641025641,3.919047619047619,0.0,backtest,22.4,30.6,105.0,295.0,224.0,4.66,0.0
Bryce Love,RB,Stanford,2019,112,4,43.7,43.7,57.7,,,,-14.0,-0.0,,,,0,0,,,0.0,backtest,14.0,39.8,99.0,423.0,200.0,,0.0
Justice Hill,RB,Oklahoma St.,2019,113,4,42.6,45.7,57.4,,,,-14.8,-3.1,,,,0,0,2.9761904761904763,5.487837837837838,147.3,backtest,8.7,53.7,68.0,491.0,198.0,4.4,8.664705882352942
