rank,player_name,school,projected_pick,age,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw,position,production_score,production_status,rec_yards,receptions,team_pass_att,season_year,school_used,overall_rank
80,Kevin Coleman Jr.,Missouri,162,21,37.47963119001676,1.789262380033514,75.0,68.9,35.69036880998325,observed,imputed,20.0,WR,,,,,,,,92
81,De'Zhaun Stribling,Ole Miss,186,22,37.20017307921511,1.230346158430221,75.0,68.9,35.96982692078489,observed,imputed,20.0,WR,,,,,,,,93
82,Keelan Marion,Miami,193,MISSING,37.12865559232935,1.0873111846587034,75.0,68.9,36.04134440767065,observed,imputed,20.0,WR,,,,,,,,94
83,Aaron Anderson,LSU,199,22,37.07038275576146,0.9707655115229064,75.0,68.9,36.09961724423855,observed,imputed,20.0,WR,,,,,,,,95
84,Dane Key,Nebraska,202,22,37.04222485335072,0.9144497067014332,75.0,68.9,36.127775146649284,observed,imputed,20.0,WR,,,,,,,,96
85,Jordan Hudson,SMU,211,MISSING,36.96138476656623,0.7527695331324677,75.0,68.9,36.20861523343377,observed,imputed,20.0,WR,,,,,,,,97
86,Caleb Douglas,Texas Tech,212,21,36.95272170547425,0.7354434109484994,75.0,68.9,36.21727829452575,observed,imputed,20.0,WR,,,,,,,,98
87,Reggie Virgil,Texas Tech,216,21,36.91867316830459,0.66734633660919,75.0,68.9,36.2513268316954,observed,imputed,20.0,WR,,,,,,,,99
88,Harrison Wallace III,Ole Miss,250,22,36.663091876323605,0.1561837526472186,75.0,68.9,36.50690812367639,observed,imputed,20.0,WR,,,,,,,,100
89,Hykeem Williams,Colorado,250,21,36.663091876323605,0.1561837526472186,75.0,68.9,36.50690812367639,observed,imputed,20.0,WR,,,,,,,,101
13,Roman Hemby,Indiana,197,23,36.5851924322591,38.89903839489586,,66.5,-2.313845962636762,,imputed,,RB,20.45906638517476,final_season,165.0,17.0,406.0,2025.0,Indiana,102
90,Chris Bell,Louisville,43,MISSING,36.16960083779536,9.66920167559071,60.0,68.9,26.500399162204648,observed,imputed,21.0,WR,,,,,,,,103
91,Elijah Sarratt,Indiana,44,22,36.07671758935687,9.483435178713735,60.0,68.9,26.593282410643134,observed,imputed,21.0,WR,,,,,,,,104
14,Kaden Feagin,Illinois,250,21,35.6001272750976,28.79046960395864,,66.5,6.809657671138957,,imputed,,RB,32.08540706605223,final_season,188.0,16.0,372.0,2025.0,Illinois,105
92,Chris Brazzell,Tennessee,53,MISSING,35.36285989681797,8.055719793635944,60.0,68.9,27.30714010318203,observed,imputed,21.0,WR,,,,,,,,106
15,J'Mari Taylor,Virginia,245,MISSING,35.166169156502306,29.70672855690705,,66.5,5.459440599595258,,imputed,,RB,29.53658536585366,final_season,253.0,43.0,492.0,2025.0,Virginia,107
24,L.J. Johnson Jr.,Texas State,250,19,34.87023480197932,28.79046960395864,,66.5,6.079765198020681,,imputed,,RB,30.0,imputed,,,,,Texas State,108
23,Barika Kpeenu,North Dakota State,250,MISSING,34.87023480197932,28.79046960395864,,66.5,6.079765198020681,,imputed,,RB,30.0,imputed,,,,,North Dakota State,109
18,TreVonte Citizen,LSU,250,MISSING,34.87023480197932,28.79046960395864,,66.5,6.079765198020681,,imputed,,RB,30.0,imputed,,,,,LSU,110
17,Richard Reese,Stephen F. Austin,250,20,34.87023480197932,28.79046960395864,,66.5,6.079765198020681,,imputed,,RB,30.0,imputed,,,,,Stephen F. Austin,111
16,Quinten Joyner,Texas Tech,250,20,34.87023480197932,28.79046960395864,,66.5,6.079765198020681,,imputed,,RB,30.0,imputed,,,,,Texas Tech,112
25,Alton McCaskill IV,Houston,250,22,34.87023480197932,28.79046960395864,,66.5,6.079765198020681,,imputed,,RB,30.0,imputed,,,,,Houston,113
22,Derrick Davis Jr.,LSU,250,MISSING,34.87023480197932,28.79046960395864,,66.5,6.079765198020681,,imputed,,RB,30.0,imputed,,,,,LSU,114
20,Armoni Goodwin,UT Martin,250,22,34.87023480197932,28.79046960395864,,66.5,6.079765198020681,,imputed,,RB,30.0,imputed,,,,,UT Martin,115
21,Chip Trayanum,Toledo,250,23,34.87023480197932,28.79046960395864,,66.5,6.079765198020681,,imputed,,RB,30.0,imputed,,,,,Toledo,116
