player_name,position,school,projected_pick,age,rec_yards,team_pass_attempts,weight,draft_capital_score,breakout_score,athletic_score,slap_score,delta,tier
Tobias Merriweather,WR,Utah,250,MISSING,130.0,373.0,195.0,34.112149532710276,16.666666666666664,50.0,30.38940809968847,-3.722741433021806,Below Avg
Christian Leary,WR,Western Michigan,250,22,115.0,305.0,180.0,34.112149532710276,15.625,50.0,30.024824766355138,-4.087324766355138,Below Avg
Braylin Presley,WR,Tulsa,250,21,115.0,409.0,170.0,34.112149532710276,14.583333333333334,50.0,29.660241433021806,-4.45190809968847,Below Avg
Jared Brown,WR,South Carolina,250,22,102.0,342.0,195.0,34.112149532710276,13.541666666666666,50.0,29.29565809968847,-4.816491433021806,Below Avg
Jaden Bray,WR,West Virginia,250,22,95.0,327.0,209.0,34.112149532710276,12.5,50.0,28.931074766355138,-5.181074766355138,Below Avg
Jaden Greathouse,WR,Notre Dame,250,20,73.0,322.0,212.0,34.112149532710276,11.458333333333332,50.0,28.566491433021802,-5.545658099688474,Below Avg
Chris Hilton,WR,LSU,250,22,122.0,443.0,190.0,34.112149532710276,10.416666666666668,50.0,28.20190809968847,-5.910241433021806,Below Avg
Hykeem Williams,WR,Colorado,250,21,81.0,356.0,220.0,34.112149532710276,9.375,50.0,27.837324766355138,-6.274824766355138,Below Avg
Ryan Niblett,WR,Texas,250,20,60.0,420.0,187.0,34.112149532710276,8.333333333333332,50.0,27.472741433021802,-6.639408099688474,Below Avg
Squirrel White,WR,Florida State,250,21,52.0,339.0,170.0,34.112149532710276,7.291666666666667,50.0,27.10815809968847,-7.003991433021806,Below Avg
Nathan Leacock,WR,North Carolina,250,20,48.0,355.0,217.0,34.112149532710276,6.25,50.0,26.743574766355138,-7.368574766355138,Below Avg
Jaquaize Pettaway,WR,East Carolina,250,20,32.0,440.0,194.0,34.112149532710276,5.208333333333334,50.0,26.378991433021806,-7.73315809968847,Below Avg
Kyion Grayes,WR,California,250,MISSING,10.0,505.0,190.0,34.112149532710276,4.166666666666666,50.0,26.01440809968847,-8.097741433021806,Below Avg
Jayden McGowan,WR,Charlotte,250,MISSING,7.0,379.0,180.0,34.112149532710276,3.125,50.0,25.649824766355138,-8.462324766355138,Below Avg
Jayden Thomas,WR,Virginia,250,22,9.0,492.0,220.0,34.112149532710276,2.083333333333333,50.0,25.285241433021806,-8.82690809968847,Below Avg
Andre Greene Jr.,WR,Virginia,250,MISSING,7.0,492.0,202.0,34.112149532710276,1.0416666666666665,50.0,24.92065809968847,-9.191491433021806,Below Avg
Bryce Lance,WR,North Dakota State,150,23,1079.0,,209.0,82.2429906542056,,50.0,,,
Vinny Anthony II,WR,Wisconsin,224,MISSING,391.0,,190.0,69.1588785046729,,50.0,,,
Raymond Cottrell,WR,Texas A&M,250,20,,408.0,210.0,34.112149532710276,,50.0,,,
Cordale Russell,WR,Colorado,250,20,,356.0,210.0,34.112149532710276,,50.0,,,
Braylon James,WR,Notre Dame,250,20,,322.0,190.0,34.112149532710276,,50.0,,,
Antonio Gates Jr.,WR,Michigan State,250,21,,378.0,193.0,34.112149532710276,,50.0,,,
Talyn Shettron,WR,Oklahoma State,250,MISSING,,365.0,195.0,34.112149532710276,,50.0,,,
Jaron Glover,WR,Michigan State,250,MISSING,,378.0,205.0,34.112149532710276,,50.0,,,
Max Tomzcak,WR,Northern Illinois,250,MISSING,,,185.0,34.112149532710276,,50.0,,,
Ja'Mori Maclin,WR,Kentucky,250,23,189.0,,195.0,34.112149532710276,,50.0,,,
Ja'Varrius Johnson,WR,Auburn,250,MISSING,,362.0,180.0,34.112149532710276,,50.0,,,
