player_name,draft_year,pick,breakout_age,peak_dominator,score_current,score_option_a,score_option_b,score_option_c,best_ppr,hit24,dc_score
Geremy Davis,2015,186,19.0,320.52,90,87.6156,90.0,91.95622857142857,6.8,0,41.12133897642805
Mario Alford,2015,238,19.0,118.97,90,81.5691,90.0,86.77351428571428,2.5,0,31.00152182589578
Parker Washington,2023,185,19.0,23.5,90,81.0,90.0,85.0,91.0,0,41.325810352464025
Josh Palmer,2021,77,19.0,23.2,90,81.0,90.0,85.0,174.4,0,66.9320986936365
Nico Collins,2021,89,19.0,22.9,90,81.0,90.0,85.0,294.2,1,63.59988204942709
Parris Campbell,2019,59,19.0,163.15,90,82.8945,90.0,87.90957142857143,149.1,0,72.3295803529313
Diontae Johnson,2019,66,19.0,321.39,90,87.6417,90.0,91.9786,288.8,1,70.1649400864357
Terry Godwin,2019,237,19.0,239.6,90,85.188,90.0,89.87542857142857,6.5,0,31.187666633411297
Darnell Mooney,2020,173,19.0,41.7,90,81.0,90.0,85.0,219.7,0,43.81319351407827
James Proche,2020,201,19.0,36.9,90,81.0,90.0,85.0,36.2,0,38.10269095611306
Amari Cooper,2015,4,19.0,272.87,90,86.1861,90.0,90.73094285714285,253.6,1,96.73123522513825
Kevin White,2015,7,19.0,291.97,90,86.7591,90.0,91.22208571428571,38.6,0,94.38004324460745
DeVante Parker,2015,14,19.0,169.25,90,83.0775,90.0,88.06642857142857,246.2,1,90.07432750763405
Phillip Dorsett,2015,29,19.0,188.37,90,83.6511,90.0,88.55808571428571,105.9,0,83.040327760146
Xavier Worthy,2024,28,19.0,36.3,90,81.0,90.0,85.0,253.7,1,83.45697985379842
Kayshon Boutte,2023,187,19.0,22.0,90,81.0,90.0,85.0,121.9,0,40.917284913571535
Xavier Hutchinson,2023,205,19.0,37.3,90,81.0,90.0,85.0,37.3,0,37.312343403797485
Olabisi Johnson,2019,247,19.0,321.39,90,87.6417,90.0,91.9786,82.7,0,29.339380105472458
CeeDee Lamb,2020,17,19.0,31.9,90,81.0,90.0,85.0,425.7000000000001,1,88.49760662357517
Denzel Mims,2020,59,19.0,31.5,90,81.0,90.0,85.0,60.7,0,72.3295803529313
Bryan Edwards,2020,81,19.0,30.6,90,81.0,90.0,85.0,116.2,0,65.80076958583709
Tyler Johnson,2020,161,19.0,44.7,90,81.0,90.0,85.0,81.5,0,46.36707616249658
Collin Johnson,2020,165,19.0,27.3,90,81.0,90.0,85.0,59.2,0,45.50798876586117
Jalen McMillan,2024,92,20.0,22.8,75,71.0,80.0,75.0,141.5,0,62.79411750331776
Luke McCaffrey,2024,100,20.0,30.2,75,71.0,80.0,75.0,34.8,0,60.69278011001499
Troy Franklin,2024,102,20.0,28.5,75,71.0,80.0,75.0,80.5,0,60.177557959621616
Jacob Cowing,2024,135,20.0,26.9,75,71.0,80.0,75.0,12.7,0,52.163638358282164
Jordan Whittington,2024,213,20.0,20.8,75,71.0,80.0,75.0,54.7,0,35.74901134195683
Ryan Flournoy,2024,216,20.0,,75,75.5,80.0,79.5,18.200000000000003,0,35.1685361424386
Jaelen Strong,2015,70,20.0,221.46,75,74.6438,80.0,79.40897142857143,50.8,0,68.96725571920754
Sammie Coates,2015,87,20.0,295.09,75,76.8527,80.0,81.30231428571429,83.3,0,64.14280026523261
Malachi Corley,2024,65,20.0,26.2,75,71.0,80.0,75.0,7.2,0,70.4686321545596
Jerry Jeudy,2020,15,20.0,27.1,75,71.0,80.0,75.0,240.9,1,89.53565074279604
Jalen Reagor,2020,21,20.0,38.4,75,71.0,80.0,75.0,81.2,0,86.55153502322084
Justin Jefferson,2020,22,20.0,29.4,75,71.0,80.0,75.0,379.0,1,86.0877712199221
Tee Higgins,2020,33,20.0,27.0,75,71.0,80.0,75.0,280.0,1,81.42558366090017
Laviska Shenault Jr.,2020,42,20.0,33.8,75,71.0,80.0,75.0,157.1,0,78.04288751567582
Donovan Peoples-Jones,2020,187,20.0,21.0,75,71.0,80.0,75.0,161.1,0,40.917284913571535
Quez Watkins,2020,200,20.0,31.9,75,71.0,80.0,75.0,121.5,0,38.301208870560295
Isaiah Hodgins,2020,207,20.0,38.3,75,71.0,80.0,75.0,126.0,0,36.919368987448195
Dezmon Patmon,2020,212,20.0,16.8,75,71.0,80.0,75.0,10.1,0,35.94319234776309
K.J. Hill,2020,220,20.0,17.6,75,71.0,80.0,75.0,14.3,0,34.399312454218645
Ja'Marr Chase,2021,5,20.0,29.5,75,71.0,80.0,75.0,403.0,1,95.89012507645334
DeVonta Smith,2021,10,20.0,39.9,75,71.0,80.0,75.0,295.3,1,92.39513479671196
Elijah Moore,2021,34,20.0,36.5,75,71.0,80.0,75.0,138.2,0,81.03375665926983
Dontayvion Wicks,2023,159,20.0,25.6,75,71.0,80.0,75.0,129.7,0,46.79965853300224
Puka Nacua,2023,177,20.0,23.4,75,71.0,80.0,75.0,331.4,1,42.97698723959096
Stefon Diggs,2015,146,20.0,278.95,75,76.3685,80.0,80.88728571428571,391.7000000000001,1,49.66365676525262
Keith Mumphery,2015,175,20.0,109.89,75,71.2967,80.0,76.54002857142856,26.9,0,43.39418247364378
Tutu Atwell,2021,57,20.0,41.9,75,71.0,80.0,75.0,121.2,0,72.96570404937304
Dyami Brown,2021,82,20.0,30.0,75,71.0,80.0,75.0,108.3,0,65.52128074753156
Dez Fitzpatrick,2021,109,20.0,31.0,75,71.0,80.0,75.0,15.9,0,58.40374906189059
Jaelon Darden,2021,129,20.0,42.0,75,71.0,80.0,75.0,11.4,0,53.55986428245593
Tylan Wallace,2021,131,20.0,34.9,75,71.0,80.0,75.0,43.1,0,53.091766375709646
Marvin Mims,2023,63,20.0,32.7,75,71.0,80.0,75.0,132.8,0,71.08139694751989
Cedric Tillman,2023,74,20.0,32.3,75,71.0,80.0,75.0,80.4,0,67.79531439030325
Laquon Treadwell,2016,23,20.0,221.27,75,74.6381,80.0,79.40408571428571,82.4,0,85.63195232697663
Leonte Carroo,2016,86,20.0,240.06,75,75.2018,80.0,79.88725714285714,18.8,0,64.41603636571921
Josh Downs,2023,79,20.0,40.2,75,71.0,80.0,75.0,182.2,0,66.36371289664757
Ihmir Smith-Marsette,2021,157,20.0,24.3,75,71.0,80.0,75.0,28.6,0,47.23431360755732
Seth Williams,2021,219,20.0,30.9,75,71.0,80.0,75.0,4.4,0,34.591116608286086
Dazz Newsome,2021,221,20.0,27.4,75,71.0,80.0,75.0,4.3,0,34.207839313634366
