player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,has_ras,best_ppg,log_pick,round,p_observed,ipw,ipw_stable,p_missing,ps_stratum,dc_raw,dc_norm,breakout_score,breakout_norm,ras_norm,slap_mnar,athletic_method,ras_naive,ras_naive_norm,slap_naive
Dezmon Patmon,WR,2020,212,2,178.0,10.09999966621399,0,0,8.46,,1,0.5941176274243523,5.356586274672012,Rd 6-7,0.8800938549942529,1.136242452239972,1.136242452239972,0.11990614500574714,Q1-Low,0.06868028197434452,39.16540525610497,25,25.96215469072998,56.86522936108938,37.19924117397139,RAS observed,8.46,57.46329116010021,37.28895044382301
Freddie Swain,WR,2020,214,3,85.0,86.49999970197678,0,0,8.29,,1,5.088235276586869,5.365976015021851,Rd 6-7,0.880374420020975,1.1358803450651995,1.1358803450651995,0.11962557997902504,Q1-Low,0.06835859270246633,39.100784779465975,25,25.96215469072998,55.44226277449275,36.953485947662394,RAS observed,8.29,55.91636338998716,37.02460103998656
Jauan Jennings,WR,2020,217,2,77.0,93.3,0,0,2.7,22.0,1,5.488235294117647,5.37989735354046,Rd 6-7,0.8807893448726095,1.1353452511901494,1.1353452511901494,0.11921065512739046,Q1-Low,0.06788442333021306,39.00553432033901,45,37.549855649384526,8.651773250521394,33.94298262503229,RAS observed,2.7,5.049738478623183,33.40267740924756
K.J. Hill,WR,2020,220,4,125.0,14.300000071525574,0,0,3.89,,1,0.841176474795622,5.393627546352361,Rd 6-7,0.881197353170822,1.1348195683993934,1.1348195683993934,0.11880264682917799,Q1-Low,0.06741998624632421,38.91223886925202,25,25.96215469072998,18.612539356697763,31.33475447988617,RAS observed,3.89,15.87823286941444,30.924608506793668
Tyrie Cleveland,WR,2020,252,3,169.0,12.299999952316284,0,0,9.65,19.0,1,0.7235294089597815,5.529429087511423,Rd 6-7,0.885168117874872,1.1297288953434275,1.1297288953434275,0.1148318821251279,Q1-Low,0.0629940788348712,38.023168976375906,90,63.62218280635726,66.82599546726576,51.30324779050285,RAS observed,9.65,68.29178555089146,51.523116303046706
Ja'Marr Chase,WR,2021,5,3,3.0,375.5999953746796,1,1,9.82,19.0,1,22.094117374981153,1.6094379124341003,Rd 1,0.7173303375635127,1.394057866556438,1.394057866556438,0.2826696624364872,Q5-High,0.4472135954999579,115.20463093791166,90,63.62218280635726,68.24896205386237,90.10742375926023,RAS observed,9.82,69.8387133210045,90.34588644933154
Jaylen Waddle,WR,2021,6,3,11.0,267.40000000000003,1,1,,,0,15.729411764705885,1.791759469228055,Rd 1,0.7276898540199841,1.3742118218025032,1.3742118218025032,0.2723101459800159,Q5-High,0.4082482904638631,107.37733670110053,25,25.96215469072998,,73.83428171282786,Pattern mixture (opt-out),7.639819819819819,49.99999999999999,70.27542249230575
DeVonta Smith,WR,2021,10,3,8.0,295.3,1,1,,20.0,0,17.370588235294118,2.3025850929940455,Rd 1,0.75541744408493,1.323771390017798,1.323771390017798,0.24458255591507003,Q5-High,0.31622776601683794,88.89238656391242,75,54.931407087366345,,74.90046301957543,Pattern mixture (opt-out),7.639819819819819,49.99999999999999,71.17218576253443
Kadarius Toney,WR,2021,20,3,91.0,82.3600001335144,0,0,8.99,21.0,1,4.84470589020673,2.995732273553991,Rd 1,0.7898759249291313,1.2660216224335756,1.2660216224335756,0.21012407507086875,Q5-High,0.22360679774997896,70.28682013881998,60,46.24063136837544,61.3015369545965,60.52286159153086,RAS observed,8.99,62.28606597280556,60.67054094426222
Rashod Bateman,WR,2021,27,3,71.0,103.49999952316284,0,0,8.04,18.0,1,6.088235266068402,3.295836866004329,Rd 1,0.8036455594425074,1.2443296528555507,1.2443296528555507,0.19635444055749257,Q5-High,0.19245008972987526,64.02810560039002,100,69.41603328568453,53.34966485302712,64.31211417813867,RAS observed,8.04,53.64146961040916,64.35588489174597
