player_name,college,position,height,weight,forty_yard_dash,bench_press,vertical_jump,broad_jump,three_cone,shuttle,RAS_score,speed_score,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,total_touchdowns,games_played,team_pass_attempts,team_rec_yards,team_rec_tds,rec_yards_share,rec_td_share,dominator_rating,rec_yards_per_team_pass_att,projected_pick,slap_v5_score,dc_score,delta_vs_dc,breakout_age,peak_dominator,teammate_score,early_declare,slap_tier
Nate Boerkircher,Texas A&M,TE,"6'4""",250.0,,,,,,,40.0,,3.0,5.0,1.0,20.0,204.0,3.0,4.0,13.0,408.0,3378.0,26.0,6.0,11.5,8.8,0.5,173,9.0,30.7,-21.7,,5.9,,,Long Shot
John Michael Gyllenborg,Wyoming,TE,,,,,,,,,40.0,,,,,24.0,217.0,1.0,1.0,12.0,384.0,2196.0,13.0,9.9,7.7,8.8,0.57,178,20.6,26.1,-5.5,20.9,19.2,,,Long Shot
Dae'Quan Wright,Mississippi,TE,,,,,,,,,40.0,,1.0,2.0,0.0,39.0,635.0,5.0,5.0,15.0,523.0,4700.0,26.0,13.5,19.2,16.4,1.21,179,12.6,26.1,-13.5,,14.0,,,Long Shot
Marlin Klein,Michigan,TE,"6'6""",250.0,,,,,,,40.0,,,,,24.0,248.0,1.0,1.0,13.0,340.0,2428.0,11.0,10.2,9.1,9.7,0.73,187,8.4,25.5,-17.1,,10.2,,,Long Shot
Josh Cuevas,Alabama,TE,"6'3""",256.0,,,,,,,40.0,,1.0,7.0,0.0,37.0,411.0,4.0,4.0,15.0,523.0,3953.0,32.0,10.4,12.5,11.4,0.79,197,8.4,21.8,-13.4,,10.4,,,Long Shot
Riley Nowakowski,Indiana,TE,"6'2""",243.0,,,,,,,40.0,,2.0,2.0,2.0,32.0,387.0,2.0,4.0,16.0,406.0,3826.0,46.0,10.1,4.3,7.2,0.95,211,6.5,17.5,-11.0,,10.1,,,Long Shot
Jaren Kanak,Oklahoma,TE,"6'2""",233.0,,,,,,,40.0,,,,,44.0,533.0,0.0,0.0,13.0,431.0,3066.0,17.0,17.4,0.0,8.7,1.24,250,8.4,5.9,2.5,20.8,17.3,,,Long Shot
Seydou Traore,Mississippi State,TE,"6'4""",235.0,,,,,,,40.0,,,,,35.0,372.0,5.0,5.0,13.0,390.0,3138.0,20.0,11.9,25.0,18.4,0.95,250,9.6,5.9,3.7,19.8,23.3,,,Long Shot
Carsen Ryan,BYU,TE,"6'4""",250.0,,,,,,,40.0,,,,,45.0,620.0,3.0,3.0,14.0,403.0,3096.0,15.0,20.0,20.0,20.0,1.54,250,1.6,5.9,-4.3,23.2,20.1,,,Long Shot
Lance Mason,Wisconsin,TE,,240.0,,,,,,,40.0,,1.0,7.0,0.0,30.0,398.0,4.0,4.0,12.0,272.0,1637.0,9.0,24.3,44.4,34.4,1.46,250,1.6,5.9,-4.3,23.4,24.3,,,Long Shot
Jack Velling,Michigan State,TE,"6'5""",245.0,,,,,,,40.0,,,,,36.0,359.0,3.0,3.0,12.0,378.0,2672.0,20.0,13.4,15.0,14.2,0.95,250,3.4,5.9,-2.5,21.7,15.8,,,Long Shot
Toby Payne,Marshall,TE,"6'4""",232.0,,,,,,,40.0,,1.0,0.0,0.0,36.0,387.0,3.0,3.0,12.0,335.0,2495.0,18.0,15.5,16.7,16.1,1.16,250,1.6,5.9,-4.3,22.9,15.8,,,Long Shot
Lake McRee,USC,TE,"6'4""",250.0,,,,,,,40.0,,,,,30.0,450.0,4.0,4.0,13.0,420.0,3848.0,26.0,11.7,15.4,13.5,1.07,250,1.6,5.9,-4.3,,11.6,,,Long Shot
Matthew Hibner,SMU,TE,"6'5""",252.0,,,,,,,40.0,,,,,31.0,436.0,4.0,4.0,13.0,460.0,3680.0,26.0,11.8,15.4,13.6,0.95,250,1.6,5.9,-4.3,,11.8,,,Long Shot
Chamon Metayer,Arizona State,TE,"6'4""",255.0,,,,,,,40.0,,1.0,1.0,0.0,38.0,375.0,4.0,4.0,13.0,430.0,2908.0,20.0,12.9,20.0,16.4,0.87,250,1.6,5.9,-4.3,,13.0,,,Long Shot
Nate Rutchena,UC Davis,TE,"6'3""",230.0,,,,,,,40.0,,,,,,,,,13.0,,,,,,,,250,1.6,5.9,-4.3,,,,,Long Shot
Dan Villari,Syracuse,TE,"6'4""",245.0,,,,,,,40.0,,17.0,55.0,1.0,39.0,412.0,0.0,1.0,12.0,408.0,2607.0,17.0,15.8,0.0,7.9,1.01,250,1.6,5.9,-4.3,24.1,15.8,,,Long Shot
Ty Thompson,Tulane,TE,"6'4""",224.0,,,,,,,40.0,,,,,,,,,14.0,425.0,3432.0,18.0,,,,,250,1.6,5.9,-4.3,,8.3,,,Long Shot
Brett Norfleet,Missouri,TE,"6'6""",263.0,,,,,,,40.0,,,,,31.0,254.0,5.0,5.0,13.0,361.0,2449.0,15.0,10.4,33.3,21.9,0.7,250,1.6,5.9,-4.3,,10.4,,,Long Shot
R.J. Maryland,SMU,TE,,,,,,,,,40.0,,,,,27.0,322.0,2.0,2.0,13.0,460.0,3680.0,26.0,8.8,7.7,8.2,0.7,250,1.6,5.9,-4.3,,13.3,,,Long Shot
Bauer Sharp,LSU,TE,"6'5""",246.0,,,,,,,40.0,,,,,24.0,252.0,2.0,2.0,13.0,443.0,2984.0,20.0,8.4,10.0,9.2,0.57,250,1.6,5.9,-4.3,,14.5,,,Long Shot
DJ Rogers,TCU,TE,,,,,,,,,40.0,,,,,34.0,319.0,2.0,2.0,13.0,460.0,3771.0,30.0,8.5,6.7,7.6,0.69,250,1.6,5.9,-4.3,,8.5,,,Long Shot
Cooper Flanagan,Notre Dame,TE,"6'6""",258.0,,,,,,,40.0,,,,,,,,,12.0,322.0,3061.0,25.0,,,,,250,1.6,5.9,-4.3,,1.7,,,Long Shot
Miles Kitselman,Tennessee,TE,"6'5""",255.0,,,,,,,40.0,,1.0,2.0,0.0,26.0,253.0,2.0,2.0,13.0,437.0,3807.0,26.0,6.6,7.7,7.2,0.58,250,1.6,5.9,-4.3,,10.5,,,Long Shot
Ethan Davis,Tennessee,TE,"6'5""",245.0,,,,,,,40.0,,,,,21.0,257.0,2.0,2.0,13.0,437.0,3807.0,26.0,6.8,7.7,7.2,0.59,250,1.6,5.9,-4.3,,6.8,,,Long Shot
Jameson Geers,Minnesota,TE,"6'5""",250.0,,,,,,,40.0,,2.0,1.0,0.0,26.0,206.0,4.0,4.0,13.0,399.0,2469.0,19.0,8.3,21.1,14.7,0.52,250,1.6,5.9,-4.3,,10.1,,,Long Shot
Jerand Bradley,Kansas State,TE,,223.0,,,,,,,40.0,,,0.0,,13.0,184.0,2.0,2.0,12.0,342.0,2380.0,18.0,7.7,11.1,9.4,0.54,250,1.6,5.9,-4.3,,8.7,,,Long Shot
Josh Kattus,Kentucky,TE,"6'4""",247.0,,,,,,,40.0,,,,,17.0,195.0,2.0,2.0,12.0,367.0,2423.0,15.0,8.0,13.3,10.7,0.53,250,1.6,5.9,-4.3,,8.0,,,Long Shot
Andrew Rappleyea,Penn State,TE,"6'4""",251.0,,,,,,,40.0,,,,,20.0,180.0,3.0,3.0,13.0,339.0,2439.0,16.0,7.4,18.8,13.1,0.53,250,1.6,5.9,-4.3,,7.4,,,Long Shot
Jaleel Skinner,Louisville,TE,"6'5""",230.0,,,,,,,40.0,,,,,21.0,204.0,2.0,2.0,13.0,418.0,2868.0,18.0,7.1,11.1,9.1,0.49,250,1.6,5.9,-4.3,,7.2,,,Long Shot
Khalil Dinkins,Penn State,TE,"6'4""",251.0,,,,,,,40.0,,,,,14.0,167.0,2.0,2.0,13.0,339.0,2439.0,16.0,6.8,12.5,9.7,0.49,250,1.6,5.9,-4.3,,6.9,,,Long Shot
Will Kacmarek,Ohio State,TE,"6'6""",258.0,,,,,,,40.0,,,,,15.0,168.0,2.0,2.0,14.0,408.0,3755.0,33.0,4.5,6.1,5.3,0.41,250,1.6,5.9,-4.3,,9.2,,,Long Shot
Benji Gosnell,Virginia Tech,TE,"6'5""",254.0,,,,,,,40.0,,,,,12.0,86.0,0.0,0.0,12.0,319.0,1996.0,17.0,4.3,0.0,2.2,0.27,250,1.6,5.9,-4.3,,13.9,,,Long Shot
Tanner Arkin,Illinois,TE,"6'4""",265.0,,,,,,,40.0,,,,,13.0,114.0,2.0,2.0,13.0,372.0,3065.0,23.0,3.7,8.7,6.2,0.31,250,1.6,5.9,-4.3,,4.9,,,Long Shot
Amari Niblack,Texas A&M,TE,"6'3""",235.0,,,,,,,40.0,,,,,5.0,69.0,0.0,0.0,13.0,408.0,3378.0,26.0,2.0,0.0,1.0,0.17,250,1.6,5.9,-4.3,,10.6,,,Long Shot
Jack Pedersen,UCLA,TE,"6'5""",240.0,,,,,,,40.0,,,,,11.0,72.0,0.0,0.0,12.0,361.0,2163.0,15.0,3.3,0.0,1.7,0.2,250,1.6,5.9,-4.3,,4.2,,,Long Shot
Luke Hasz,Mississippi,TE,"6'3""",240.0,,,,,,,40.0,,,,,3.0,28.0,1.0,1.0,15.0,523.0,4700.0,26.0,0.6,3.8,2.2,0.05,250,1.6,5.9,-4.3,,11.2,,,Long Shot
Holden Staes,Indiana,TE,"6'4""",248.0,,,,,,,40.0,,,,,7.0,62.0,2.0,2.0,16.0,406.0,3826.0,46.0,1.6,4.3,3.0,0.15,250,1.6,5.9,-4.3,,5.5,,,Long Shot
Max Bredeson,Michigan,TE,,250.0,,,,,,,40.0,,,0.0,,2.0,11.0,0.0,0.0,13.0,340.0,2428.0,11.0,0.5,0.0,0.2,0.03,250,1.0,5.9,-4.9,,2.5,,,Long Shot
Davin Stoffel,Illinois,TE,"6'6""",260.0,,,,,,,40.0,,,,,1.0,24.0,0.0,0.0,13.0,372.0,3065.0,23.0,0.8,0.0,0.4,0.06,250,1.0,5.9,-4.9,,0.8,,,Long Shot
Joey Schlaffer,Penn State,TE,"6'5""",252.0,,,,,,,40.0,,,,,1.0,19.0,1.0,1.0,13.0,339.0,2439.0,16.0,0.8,6.2,3.5,0.06,250,1.0,5.9,-4.9,,0.8,,,Long Shot
Shamar Easter,North Carolina,TE,"6'5""",215.0,,,,,,,40.0,,,,,2.0,17.0,0.0,0.0,12.0,355.0,2207.0,13.0,0.8,0.0,0.4,0.05,250,1.0,5.9,-4.9,,0.9,,,Long Shot
Carnell Tate,Ohio State,WR,,195.0,,,,,,,,,2.0,16.0,0.0,51.0,875.0,9.0,9.0,14.0,408.0,3755.0,33.0,23.3,27.3,25.3,2.14,7,96.1,96.8,-0.7,20.0,25.3,60.0,1.0,Elite
Jordyn Tyson,Arizona State,WR,,200.0,,,,,,,,,2.0,4.0,1.0,61.0,711.0,8.0,9.0,13.0,430.0,2908.0,20.0,24.4,40.0,32.2,1.65,10,92.1,95.1,-3.0,19.0,36.4,0.0,0.0,Elite
Makai Lemon,USC,WR,,195.0,,,,,,,,,9.0,4.0,2.0,79.0,1156.0,11.0,13.0,13.0,420.0,3848.0,26.0,30.0,42.3,36.2,2.75,13,89.7,93.8,-4.1,21.0,36.2,0.0,1.0,Elite
