player_name,position,college,draft_year,draft_pick,projected_pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,draft_capital_score,breakout_score,athletic_score,slap_score,delta,tier,data_type
Justus Ross-Simmons,WR,Syracuse,2026,,250.0,MISSING,312.0,408.0,210.0,,,,34.1,35.4,50.0,37.0,2.8,Below Avg,2026_prospect
Kobe Prentice,WR,Baylor,2026,,250.0,21,380.0,510.0,190.0,,,,34.1,34.4,50.0,36.6,2.5,Below Avg,2026_prospect
Brandon Inniss,WR,Ohio State,2026,,250.0,20,271.0,408.0,199.0,,,,34.1,33.3,50.0,36.2,2.1,Below Avg,2026_prospect
Kaelon Black,RB,Indiana,2026,,250.0,23,36.0,406.0,210.0,,,,38.0,27.5,50.0,36.1,-1.9,Below Avg,2026_prospect
London Humphreys,WR,Georgia,2026,,250.0,20,276.0,417.0,200.0,,,,34.1,32.3,50.0,35.9,1.7,Below Avg,2026_prospect
Ayden Williams,WR,Mississippi State,2026,,250.0,20,252.0,390.0,205.0,,,,34.1,31.2,50.0,35.5,1.4,Below Avg,2026_prospect
Cam Porter,RB,Northwestern,2026,,250.0,MISSING,23.0,378.0,215.0,,,,38.0,25.0,50.0,35.2,-2.7,Below Avg,2026_prospect
Colbie Young,WR,Georgia,2026,,250.0,23,358.0,417.0,215.0,,,,34.1,30.2,50.0,35.1,1.0,Below Avg,2026_prospect
Dillon Bell,WR,Georgia,2026,,250.0,MISSING,268.0,417.0,210.0,,,,34.1,29.2,50.0,34.8,0.7,Below Avg,2026_prospect
Terion Stewart,RB,Virginia Tech,2026,,250.0,23,19.0,319.0,222.0,,,,38.0,22.5,50.0,34.4,-3.6,Below Avg,2026_prospect
Kaleb Brown,WR,UAB,2026,,250.0,21,255.0,438.0,200.0,,,,34.1,27.1,50.0,34.0,-0.1,Below Avg,2026_prospect
JoJo Earle,WR,UNLV,2026,,250.0,22,258.0,424.0,185.0,,,,34.1,26.0,50.0,33.7,-0.4,Below Avg,2026_prospect
Branson Robinson,RB,Georgia State,2026,,250.0,21,22.0,475.0,211.0,,,,38.0,20.0,50.0,33.5,-4.5,Below Avg,2026_prospect
Tyler Brown,WR,Clemson,2026,,250.0,18,191.0,474.0,,,,,34.1,25.0,50.0,33.3,-0.8,Below Avg,2026_prospect
Jayden Ballard,WR,Wisconsin,2026,,250.0,22,150.0,272.0,205.0,,,,34.1,24.0,50.0,32.9,-1.2,Below Avg,2026_prospect
Roydell Williams,RB,Florida State,2026,,250.0,23,19.0,339.0,221.0,,,,38.0,17.5,50.0,32.6,-5.4,Below Avg,2026_prospect
Jerand Bradley,WR,Kansas State,2026,,250.0,22,184.0,342.0,223.0,,,,34.1,22.9,50.0,32.6,-1.5,Below Avg,2026_prospect
Jalen Brown,WR,Arkansas,2026,,250.0,20,167.0,381.0,202.0,,,,34.1,21.9,50.0,32.2,-1.9,Below Avg,2026_prospect
Dacari Collins,WR,Louisville,2026,,250.0,22,219.0,418.0,215.0,,,,34.1,20.8,50.0,31.8,-2.3,Below Avg,2026_prospect
Armoni Goodwin,RB,UT Martin,2026,,250.0,22,18.0,443.0,195.0,,,,38.0,15.0,50.0,31.7,-6.2,Below Avg,2026_prospect
Deion Colzie,WR,Miami (OH),2026,,250.0,22,178.0,368.0,211.0,,,,34.1,19.8,50.0,31.5,-2.6,Below Avg,2026_prospect
Kaden Wetjen,WR,Iowa,2026,,250.0,23,151.0,286.0,196.0,,,,34.1,18.8,50.0,31.1,-3.0,Below Avg,2026_prospect
Djay Braswell,RB,Georgia State,2026,,250.0,MISSING,17.0,475.0,215.0,,,,38.0,12.5,50.0,30.9,-7.1,Below Avg,2026_prospect
Andrel Anthony,WR,Duke,2026,,250.0,23,246.0,506.0,186.0,,,,34.1,17.7,50.0,30.8,-3.4,Below Avg,2026_prospect
Tobias Merriweather,WR,Utah,2026,,250.0,MISSING,130.0,373.0,195.0,,,,34.1,16.7,50.0,30.4,-3.7,Below Avg,2026_prospect
Christian Leary,WR,Western Michigan,2026,,250.0,22,115.0,305.0,180.0,,,,34.1,15.6,50.0,30.0,-4.1,Below Avg,2026_prospect
E.J. Smith,RB,Texas A&M,2026,,250.0,23,18.0,408.0,,,,,38.0,10.0,50.0,30.0,-8.0,Below Avg,2026_prospect
Braylin Presley,WR,Tulsa,2026,,250.0,21,115.0,409.0,170.0,,,,34.1,14.6,50.0,29.7,-4.5,Below Avg,2026_prospect
Jared Brown,WR,South Carolina,2026,,250.0,22,102.0,342.0,195.0,,,,34.1,13.5,50.0,29.3,-4.8,Below Avg,2026_prospect
Max Bredeson,RB,Michigan,2026,,250.0,22,11.0,340.0,250.0,,,,38.0,7.5,50.0,29.1,-8.9,Below Avg,2026_prospect
Jaden Bray,WR,West Virginia,2026,,250.0,22,95.0,327.0,209.0,,,,34.1,12.5,50.0,28.9,-5.2,Below Avg,2026_prospect
Jaden Greathouse,WR,Notre Dame,2026,,250.0,20,73.0,322.0,212.0,,,,34.1,11.5,50.0,28.6,-5.5,Below Avg,2026_prospect
Kedrick Reescano,RB,Arizona,2026,,250.0,MISSING,12.0,447.0,213.0,,,,38.0,5.0,50.0,28.2,-9.7,Below Avg,2026_prospect
Chris Hilton,WR,LSU,2026,,250.0,22,122.0,443.0,190.0,,,,34.1,10.4,50.0,28.2,-5.9,Below Avg,2026_prospect
Hykeem Williams,WR,Colorado,2026,,250.0,21,81.0,356.0,220.0,,,,34.1,9.4,50.0,27.8,-6.3,Below Avg,2026_prospect
Ryan Niblett,WR,Texas,2026,,250.0,20,60.0,420.0,187.0,,,,34.1,8.3,50.0,27.5,-6.6,Below Avg,2026_prospect
Le'Veon Moss,RB,Texas A&M,2026,,250.0,22,3.0,408.0,210.0,,,,38.0,2.5,50.0,27.4,-10.6,Below Avg,2026_prospect
Squirrel White,WR,Florida State,2026,,250.0,21,52.0,339.0,170.0,,,,34.1,7.3,50.0,27.1,-7.0,Below Avg,2026_prospect
Nathan Leacock,WR,North Carolina,2026,,250.0,20,48.0,355.0,217.0,,,,34.1,6.2,50.0,26.7,-7.4,Below Avg,2026_prospect
Jaquaize Pettaway,WR,East Carolina,2026,,250.0,20,32.0,440.0,194.0,,,,34.1,5.2,50.0,26.4,-7.7,Below Avg,2026_prospect
Kyion Grayes,WR,California,2026,,250.0,MISSING,10.0,505.0,190.0,,,,34.1,4.2,50.0,26.0,-8.1,Below Avg,2026_prospect
Jayden McGowan,WR,Charlotte,2026,,250.0,MISSING,7.0,379.0,180.0,,,,34.1,3.1,50.0,25.6,-8.5,Below Avg,2026_prospect
Jayden Thomas,WR,Virginia,2026,,250.0,22,9.0,492.0,220.0,,,,34.1,2.1,50.0,25.3,-8.8,Below Avg,2026_prospect
Andre Greene Jr.,WR,Virginia,2026,,250.0,MISSING,7.0,492.0,202.0,,,,34.1,1.0,50.0,24.9,-9.2,Below Avg,2026_prospect
Nick Singleton,RB,Penn State,2026,,118.0,21,219.0,,219.0,,,,92.6,,50.0,,,,2026_prospect
C.J. Donaldson,RB,Ohio State,2026,,242.0,MISSING,96.0,,225.0,,,,79.6,,50.0,,,,2026_prospect
Robert Henry Jr.,RB,UTSA,2026,,250.0,MISSING,114.0,,210.0,,,,38.0,,50.0,,,,2026_prospect
Chip Trayanum,RB,Toledo,2026,,250.0,23,212.0,,233.0,,,,38.0,,50.0,,,,2026_prospect
Jaydn Ott,RB,California,2026,,250.0,22,,,205.0,,,,38.0,,50.0,,,,2026_prospect
Quinten Joyner,RB,Texas Tech,2026,,250.0,20,,486.0,205.0,,,,38.0,,50.0,,,,2026_prospect
Samuel Singleton Jr.,RB,Kansas State,2026,,250.0,MISSING,,,205.0,,,,38.0,,50.0,,,,2026_prospect
TreVonte Citizen,RB,LSU,2026,,250.0,MISSING,,,225.0,,,,38.0,,50.0,,,,2026_prospect
Savion Red,RB,Nevada,2026,,250.0,21,,308.0,233.0,,,,38.0,,50.0,,,,2026_prospect
L.J. Johnson Jr.,RB,Texas State,2026,,250.0,19,,361.0,180.0,,,,38.0,,50.0,,,,2026_prospect
Trevion Cooley,RB,Georgia Tech,2026,,250.0,MISSING,,394.0,208.0,,,,38.0,,50.0,,,,2026_prospect
Derrick Davis Jr.,RB,LSU,2026,,250.0,MISSING,,443.0,210.0,,,,38.0,,50.0,,,,2026_prospect
Barika Kpeenu,RB,North Dakota State,2026,,250.0,MISSING,211.0,,199.0,,,,38.0,,50.0,,,,2026_prospect
Alton McCaskill IV,RB,Houston,2026,,250.0,22,,,205.0,,,,38.0,,50.0,,,,2026_prospect
Bryce Lance,WR,North Dakota State,2026,,150.0,23,1079.0,,209.0,,,,82.2,,50.0,,,,2026_prospect
Vinny Anthony II,WR,Wisconsin,2026,,224.0,MISSING,391.0,,190.0,,,,69.2,,50.0,,,,2026_prospect
Raymond Cottrell,WR,Texas A&M,2026,,250.0,20,,408.0,210.0,,,,34.1,,50.0,,,,2026_prospect
Cordale Russell,WR,Colorado,2026,,250.0,20,,356.0,210.0,,,,34.1,,50.0,,,,2026_prospect
Braylon James,WR,Notre Dame,2026,,250.0,20,,322.0,190.0,,,,34.1,,50.0,,,,2026_prospect
Antonio Gates Jr.,WR,Michigan State,2026,,250.0,21,,378.0,193.0,,,,34.1,,50.0,,,,2026_prospect
Talyn Shettron,WR,Oklahoma State,2026,,250.0,MISSING,,365.0,195.0,,,,34.1,,50.0,,,,2026_prospect
Jaron Glover,WR,Michigan State,2026,,250.0,MISSING,,378.0,205.0,,,,34.1,,50.0,,,,2026_prospect
Max Tomzcak,WR,Northern Illinois,2026,,250.0,MISSING,,,185.0,,,,34.1,,50.0,,,,2026_prospect
Ja'Mori Maclin,WR,Kentucky,2026,,250.0,23,189.0,,195.0,,,,34.1,,50.0,,,,2026_prospect
Ja'Varrius Johnson,WR,Auburn,2026,,250.0,MISSING,,362.0,180.0,,,,34.1,,50.0,,,,2026_prospect
Tetairoa McMillan,WR,Arizona,2025,8.0,,22.0,1319.0,437.0,219.0,4.48,combine,pro_day,88.9,67.5,63.5,77.6,-11.3,Elite,backtest
Omarion Hampton,RB,North Carolina,2025,22.0,,22.0,373.0,391.0,221.0,4.46,combine,combine,82.6,69.0,65.1,75.2,-7.4,Elite,backtest
Cam Skattebo,RB,Arizona State,2025,105.0,,23.0,605.0,382.0,219.0,4.65,combine,pro_day,49.1,90.4,33.0,61.1,12.0,Elite,backtest
TreVeyon Henderson,RB,Ohio State,2025,38.0,,22.0,284.0,455.0,202.0,4.43,combine,combine,67.8,53.6,53.0,60.6,-7.2,Good,backtest
Emeka Egbuka,WR,Ohio State,2025,19.0,,22.0,1011.0,455.0,202.0,4.48,combine,pro_day,67.7,52.9,49.7,59.8,-7.9,Good,backtest
Jayden Higgins,WR,Iowa State,2025,34.0,,22.0,1183.0,472.0,224.0,4.47,combine,combine,57.8,58.1,69.2,59.6,1.8,Good,backtest
Quinshon Judkins,RB,Ohio State,2025,36.0,,21.0,161.0,455.0,221.0,4.48,combine,combine,69.1,42.7,61.6,58.7,-10.4,Good,backtest
Matthew Golden,WR,Texas,2025,23.0,,22.0,987.0,541.0,191.0,4.29,combine,combine,64.1,45.7,70.1,58.6,-5.5,Good,backtest
RJ Harvey,RB,UCF,2025,60.0,,24.0,267.0,310.0,205.0,4.4,combine,combine,58.2,55.7,61.0,57.7,-0.5,Good,backtest
Kyle Williams,WR,Washington State,2025,69.0,,22.0,1193.0,399.0,190.0,4.4,combine,combine,49.1,67.0,51.5,55.7,6.6,Good,backtest
Kaleb Johnson,RB,Iowa,2025,83.0,,22.0,188.0,260.0,224.0,4.57,combine,combine,52.6,58.2,49.1,54.0,1.4,Good,backtest
Luther Burden,WR,Missouri,2025,39.0,,21.0,666.0,403.0,206.0,4.41,combine,combine,55.9,45.9,63.8,53.6,-2.3,Good,backtest
Jaydon Blue,RB,Texas,2025,149.0,,21.0,368.0,541.0,196.0,4.38,combine,combine,44.5,59.7,55.8,51.5,7.0,Average,backtest
Pat Bryant,WR,Illinois,2025,74.0,,22.0,978.0,353.0,204.0,4.61,combine,combine,48.3,63.0,33.5,51.2,2.9,Average,backtest
DJ Giddens,RB,Kansas State,2025,151.0,,22.0,258.0,381.0,212.0,4.43,combine,combine,44.4,56.0,62.2,51.1,6.7,Average,backtest
Jaylin Noel,WR,Iowa State,2025,79.0,,23.0,1194.0,472.0,194.0,4.39,combine,combine,47.7,53.4,56.5,51.0,3.3,Average,backtest
Tre Harris,WR,Ole Miss,2025,55.0,,23.0,1063.0,434.0,205.0,4.54,combine,combine,51.5,52.1,43.5,50.5,-1.0,Average,backtest
Dont'e Thornton,WR,Tennessee,2025,108.0,,22.0,661.0,373.0,205.0,4.3,combine,combine,44.9,44.7,81.8,50.4,5.5,Average,backtest
Chimere Dike,WR,Florida,2025,103.0,,23.0,783.0,339.0,196.0,4.34,combine,combine,45.3,49.8,66.4,50.0,4.7,Average,backtest
Elic Ayomanor,WR,Stanford,2025,136.0,,22.0,831.0,370.0,206.0,4.44,combine,combine,43.1,53.4,59.1,49.1,6.0,Average,backtest
Tai Felton,WR,Maryland,2025,102.0,,22.0,1124.0,493.0,183.0,4.37,combine,combine,45.4,54.0,49.8,49.1,3.7,Average,backtest
Devin Neal,RB,Kansas,2025,184.0,,22.0,254.0,306.0,213.0,4.58,combine,combine,42.2,63.2,38.6,49.0,6.8,Average,backtest
KeAndre Lambert-Smith,WR,Auburn,2025,158.0,,23.0,981.0,369.0,190.0,4.37,combine,combine,42.1,55.5,56.1,48.9,6.8,Average,backtest
Brashard Smith,RB,SMU,2025,228.0,,22.0,327.0,437.0,194.0,4.39,combine,combine,40.0,59.4,52.2,48.6,8.6,Average,backtest
