player_name,pick,draft_year,draft_age,college,current_ed,source,cfbd_seasons,correct_ed,changed,status,notes
Bub Means,170,2024,23.0,Pittsburgh,0,derived,2,1,CHANGED,RESOLVED,"Louisiana Tech: [2020, 2021]"
Jha'Quan Jackson,182,2024,24.0,Tulane,0,derived,5,0,OK,RESOLVED,"Tulane: [2019, 2020, 2021, 2022, 2023]"
Malik Washington,184,2024,23.0,Virginia,0,derived,5,0,OK,RESOLVED,"Transfer: Northwestern(2019-2022), Virginia(2023-2023)"
Johnny Wilson,185,2024,23.0,Florida St.,0,derived,4,0,OK,RESOLVED,"Transfer: Florida State(2022-2023), Arizona State(2020-2021)"
Evan Spencer,187,2015,21.0,Ohio St.,0,existing,4,0,OK,RESOLVED,"Ohio State: [2011, 2012, 2013, 2014]"
Casey Washington,187,2024,23.0,Illinois,0,derived,5,0,OK,RESOLVED,"Illinois: [2019, 2020, 2021, 2022, 2023]"
Tejhaun Palmer,191,2024,24.0,Ala-Birmingham,0,derived,3,1,CHANGED,RESOLVED,"UAB: [2021, 2022, 2023]"
Tremon Smith,196,2018,22.0,Central Arkansas,0,derived,3,1,CHANGED,RESOLVED,"Central Arkansas: [2015, 2016, 2017]"
Mike Thomas,206,2016,21.0,Southern Miss,0,existing,1,1,CHANGED,RESOLVED,Southern Miss: [2015]
Scott Miller,208,2019,21.0,Bowling Green,0,existing,4,0,OK,RESOLVED,"Bowling Green: [2015, 2016, 2017, 2018]"
Jordan Whittington,213,2024,23.0,Texas,0,derived,5,0,OK,RESOLVED,"Texas: [2019, 2020, 2021, 2022, 2023]"
Ryan Flournoy,216,2024,24.0,SE Missouri St.,0,derived,2,1,CHANGED,RESOLVED,"Southeast Missouri State: [2022, 2023]"
Dazz Newsome,221,2021,21.0,North Carolina,0,existing,4,0,OK,RESOLVED,"North Carolina: [2017, 2018, 2019, 2020]"
Devaughn Vele,235,2024,26.0,Utah,0,derived,5,0,OK,RESOLVED,"Utah: [2019, 2020, 2021, 2022, 2023]"
Tez Johnson,235,2025,23.0,Oregon,0,derived,5,0,OK,RESOLVED,"Transfer: Troy(2020-2022), Oregon(2023-2024)"
Tahj Washington,241,2024,23.0,USC,0,derived,5,0,OK,RESOLVED,"Transfer: USC(2021-2023), Memphis(2019-2020)"
Cornelius Johnson,253,2024,23.0,Michigan,0,derived,5,0,OK,RESOLVED,"Michigan: [2019, 2020, 2021, 2022, 2023]"
