player_id,player_display_name,position,recent_team,games,receptions,targets,receiving_yards,receiving_tds,carries,rushing_yards,rushing_tds,fantasy_points_ppr,season,fantasy_ppg
00-0036165,Isaiah Hodgins,WR,NYG,6,10.0,19.0,115.0,1.0,0.0,0.0,0.0,27.5,2025,4.583333333333333
00-0036176,Mason Kinsey,WR,TEN,2,2.0,4.0,48.0,0.0,0.0,0.0,0.0,6.800000000000001,2025,3.4000000000000004
00-0036182,Nick Westbrook-Ikhine,WR,MIA,9,11.0,20.0,89.0,0.0,0.0,0.0,0.0,19.9,2025,2.211111111111111
00-0036187,Reggie Gilliam,RB,BUF,3,2.0,3.0,24.0,0.0,2.0,4.0,0.0,4.8,2025,1.5999999999999999
00-0036196,Gabe Davis,WR,BUF,6,12.0,18.0,129.0,1.0,0.0,0.0,0.0,30.900000000000002,2025,5.15
00-0036223,Jonathan Taylor,RB,IND,17,46.0,56.0,378.0,2.0,324.0,1585.0,18.0,362.3,2025,21.311764705882354
00-0036252,Michael Pittman,WR,IND,17,80.0,114.0,793.0,7.0,0.0,0.0,0.0,201.3,2025,11.841176470588236
00-0036259,Jauan Jennings,WR,SF,15,55.0,93.0,643.0,9.0,0.0,0.0,0.0,173.3,2025,11.553333333333335
00-0036265,AJ Dillon,RB,PHI,6,3.0,3.0,21.0,0.0,12.0,60.0,0.0,11.100000000000001,2025,1.8500000000000003
00-0036275,D'Andre Swift,RB,CHI,16,34.0,48.0,290.0,1.0,223.0,1087.0,9.0,231.70000000000002,2025,14.481250000000001
00-0036309,Darnell Mooney,WR,ATL,15,32.0,72.0,443.0,1.0,0.0,0.0,0.0,82.3,2025,5.486666666666666
00-0036322,Justin Jefferson,WR,MIN,17,84.0,142.0,1048.0,2.0,2.0,7.0,0.0,201.5,2025,11.852941176470589
00-0036328,Antonio Gibson,RB,NE,5,2.0,3.0,6.0,0.0,25.0,106.0,1.0,19.2,2025,3.84
00-0036331,Devin Duvernay,WR,CHI,3,2.0,5.0,26.0,0.0,0.0,0.0,0.0,4.6000000000000005,2025,1.5333333333333334
00-0036358,CeeDee Lamb,WR,DAL,13,75.0,117.0,1077.0,3.0,1.0,2.0,0.0,200.9,2025,15.453846153846154
00-0036360,Clyde Edwards-Helaire,RB,KC,2,2.0,2.0,9.0,0.0,7.0,13.0,0.0,4.2,2025,2.1
00-0036407,Jerry Jeudy,WR,CLE,17,50.0,106.0,602.0,2.0,1.0,5.0,0.0,122.7,2025,7.2176470588235295
00-0036410,Tee Higgins,WR,CIN,15,59.0,99.0,846.0,11.0,0.0,0.0,0.0,209.6,2025,13.973333333333333
00-0036414,Cam Akers,RB,SEA,1,0.0,1.0,0.0,0.0,5.0,19.0,0.0,1.9000000000000001,2025,1.9000000000000001
00-0036415,Van Jefferson,WR,TEN,14,29.0,52.0,350.0,1.0,0.0,0.0,0.0,70.0,2025,5.0
00-0036425,DeeJay Dallas,RB,JAX,2,0.0,1.0,0.0,0.0,3.0,21.0,0.0,2.1,2025,1.05
